user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0116faa1-a949-4225-b413-4b99ea21bb81,DeviceInfo,application,2026-01-05 14:18:32.825000+05:30,2026-01-05,Monday,'14:18:32.825000
0116faa1-a949-4225-b413-4b99ea21bb81,Session Started,system,2026-01-05 14:18:35.211000+05:30,2026-01-05,Monday,'14:18:35.211000
0116faa1-a949-4225-b413-4b99ea21bb81,App Installed,system,2026-01-05 14:18:35.255000+05:30,2026-01-05,Monday,'14:18:35.255000
0116faa1-a949-4225-b413-4b99ea21bb81,Journey Started,system,2026-01-05 14:18:36+05:30,2026-01-05,Monday,'14:18:36.000000
0116faa1-a949-4225-b413-4b99ea21bb81,Push Subscribe Process - Device Registered (Push),system,2026-01-05 14:18:37.149000+05:30,2026-01-05,Monday,'14:18:37.149000
0116faa1-a949-4225-b413-4b99ea21bb81,app_start,application,2026-01-05 14:18:40.692000+05:30,2026-01-05,Monday,'14:18:40.692000
0116faa1-a949-4225-b413-4b99ea21bb81,choose_language,application,2026-01-05 14:18:44.701000+05:30,2026-01-05,Monday,'14:18:44.701000
0116faa1-a949-4225-b413-4b99ea21bb81,Onboarding_Language,application,2026-01-05 14:18:44.715000+05:30,2026-01-05,Monday,'14:18:44.715000
0116faa1-a949-4225-b413-4b99ea21bb81,choose_language,application,2026-01-05 14:18:45.332000+05:30,2026-01-05,Monday,'14:18:45.332000
0116faa1-a949-4225-b413-4b99ea21bb81,Onboarding_Language,application,2026-01-05 14:18:45.351000+05:30,2026-01-05,Monday,'14:18:45.351000
0116faa1-a949-4225-b413-4b99ea21bb81,Journey Ended,system,2026-01-05 14:18:46.464000+05:30,2026-01-05,Monday,'14:18:46.464000
0116faa1-a949-4225-b413-4b99ea21bb81,Journey Started,system,2026-01-05 14:18:46.464000+05:30,2026-01-05,Monday,'14:18:46.464000
0116faa1-a949-4225-b413-4b99ea21bb81,Journey Ended,system,2026-01-05 14:18:46.472000+05:30,2026-01-05,Monday,'14:18:46.472000
0116faa1-a949-4225-b413-4b99ea21bb81,Journey Started,system,2026-01-05 14:18:46.472000+05:30,2026-01-05,Monday,'14:18:46.472000
0116faa1-a949-4225-b413-4b99ea21bb81,generate_otp,application,2026-01-05 14:19:01.627000+05:30,2026-01-05,Monday,'14:19:01.627000
0116faa1-a949-4225-b413-4b99ea21bb81,Onboarding_get_otp,application,2026-01-05 14:19:01.659000+05:30,2026-01-05,Monday,'14:19:01.659000
0116faa1-a949-4225-b413-4b99ea21bb81,_auth_generate-otp,application,2026-01-05 14:19:02.533000+05:30,2026-01-05,Monday,'14:19:02.533000
0116faa1-a949-4225-b413-4b99ea21bb81,get_otp,application,2026-01-05 14:19:02.549000+05:30,2026-01-05,Monday,'14:19:02.549000
0116faa1-a949-4225-b413-4b99ea21bb81,Onboarding_signup_,application,2026-01-05 14:19:02.608000+05:30,2026-01-05,Monday,'14:19:02.608000
0116faa1-a949-4225-b413-4b99ea21bb81,verify_otp,application,2026-01-05 14:19:21.511000+05:30,2026-01-05,Monday,'14:19:21.511000
0116faa1-a949-4225-b413-4b99ea21bb81,_auth_verify-otp,application,2026-01-05 14:19:22.379000+05:30,2026-01-05,Monday,'14:19:22.379000
0116faa1-a949-4225-b413-4b99ea21bb81,enter_otp,application,2026-01-05 14:19:22.407000+05:30,2026-01-05,Monday,'14:19:22.407000
0116faa1-a949-4225-b413-4b99ea21bb81,User Login,system,2026-01-05 14:19:22.464000+05:30,2026-01-05,Monday,'14:19:22.464000
0116faa1-a949-4225-b413-4b99ea21bb81,login,application,2026-01-05 14:19:22.746000+05:30,2026-01-05,Monday,'14:19:22.746000
0116faa1-a949-4225-b413-4b99ea21bb81,_user,application,2026-01-05 14:19:22.758000+05:30,2026-01-05,Monday,'14:19:22.758000
0116faa1-a949-4225-b413-4b99ea21bb81,_location_from-town,application,2026-01-05 14:19:23.211000+05:30,2026-01-05,Monday,'14:19:23.211000
0116faa1-a949-4225-b413-4b99ea21bb81,Onboarding_Profile Saved,application,2026-01-05 14:19:24.798000+05:30,2026-01-05,Monday,'14:19:24.798000
0116faa1-a949-4225-b413-4b99ea21bb81,_user,application,2026-01-05 14:19:40.690000+05:30,2026-01-05,Monday,'14:19:40.690000
0116faa1-a949-4225-b413-4b99ea21bb81,_location_special-town-search,application,2026-01-05 14:20:02.950000+05:30,2026-01-05,Monday,'14:20:02.950000
0116faa1-a949-4225-b413-4b99ea21bb81,_history_recommended-journey,application,2026-01-05 14:20:03.011000+05:30,2026-01-05,Monday,'14:20:03.011000
0116faa1-a949-4225-b413-4b99ea21bb81,_location_from-town,application,2026-01-05 14:20:03.095000+05:30,2026-01-05,Monday,'14:20:03.095000
0116faa1-a949-4225-b413-4b99ea21bb81,_user_device,application,2026-01-05 14:20:03.113000+05:30,2026-01-05,Monday,'14:20:03.113000
0116faa1-a949-4225-b413-4b99ea21bb81,_user,application,2026-01-05 14:20:03.282000+05:30,2026-01-05,Monday,'14:20:03.282000
0116faa1-a949-4225-b413-4b99ea21bb81,_location_special-town-search,application,2026-01-05 14:20:03.508000+05:30,2026-01-05,Monday,'14:20:03.508000
0116faa1-a949-4225-b413-4b99ea21bb81,_ticket,application,2026-01-05 14:20:03.614000+05:30,2026-01-05,Monday,'14:20:03.614000
0116faa1-a949-4225-b413-4b99ea21bb81,_location_elastic-town-search,application,2026-01-05 14:20:03.678000+05:30,2026-01-05,Monday,'14:20:03.678000
0116faa1-a949-4225-b413-4b99ea21bb81,Push Failure,system,2026-01-06 14:18:53.932000+05:30,2026-01-06,Tuesday,'14:18:53.932000
