user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
068920ae-a61f-4ccd-abb9-0c068464e125,DeviceInfo,application,2026-01-17 08:26:37.499000+05:30,2026-01-17,Saturday,'08:26:37.499000
068920ae-a61f-4ccd-abb9-0c068464e125,Session Started,system,2026-01-17 08:26:37.667000+05:30,2026-01-17,Saturday,'08:26:37.667000
068920ae-a61f-4ccd-abb9-0c068464e125,App Installed,system,2026-01-17 08:26:37.667000+05:30,2026-01-17,Saturday,'08:26:37.667000
068920ae-a61f-4ccd-abb9-0c068464e125,Journey Started,system,2026-01-17 08:26:37.694000+05:30,2026-01-17,Saturday,'08:26:37.694000
068920ae-a61f-4ccd-abb9-0c068464e125,app_start,application,2026-01-17 08:26:38.395000+05:30,2026-01-17,Saturday,'08:26:38.395000
068920ae-a61f-4ccd-abb9-0c068464e125,Push Subscribe Process - Device Registered (Push),system,2026-01-17 08:26:39.810000+05:30,2026-01-17,Saturday,'08:26:39.810000
068920ae-a61f-4ccd-abb9-0c068464e125,choose_language,application,2026-01-17 08:26:40.905000+05:30,2026-01-17,Saturday,'08:26:40.905000
068920ae-a61f-4ccd-abb9-0c068464e125,Onboarding_Language,application,2026-01-17 08:26:40.909000+05:30,2026-01-17,Saturday,'08:26:40.909000
068920ae-a61f-4ccd-abb9-0c068464e125,Onboarding_get_otp,application,2026-01-17 08:26:51.754000+05:30,2026-01-17,Saturday,'08:26:51.754000
068920ae-a61f-4ccd-abb9-0c068464e125,generate_otp,application,2026-01-17 08:26:51.754000+05:30,2026-01-17,Saturday,'08:26:51.754000
068920ae-a61f-4ccd-abb9-0c068464e125,Journey Started,system,2026-01-17 08:26:51.772000+05:30,2026-01-17,Saturday,'08:26:51.772000
068920ae-a61f-4ccd-abb9-0c068464e125,Journey Ended,system,2026-01-17 08:26:51.772000+05:30,2026-01-17,Saturday,'08:26:51.772000
068920ae-a61f-4ccd-abb9-0c068464e125,_auth_generate-otp,application,2026-01-17 08:26:52.527000+05:30,2026-01-17,Saturday,'08:26:52.527000
068920ae-a61f-4ccd-abb9-0c068464e125,get_otp,application,2026-01-17 08:26:52.538000+05:30,2026-01-17,Saturday,'08:26:52.538000
