user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
06e37da5-585e-446d-af3f-2cdec4df4a3d,App Installed,system,2026-01-12 15:55:54.664000+05:30,2026-01-12,Monday,'15:55:54.664000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:58:44.430000+05:30,2026-01-12,Monday,'15:58:44.430000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:01.873000+05:30,2026-01-12,Monday,'15:59:01.873000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:12.353000+05:30,2026-01-12,Monday,'15:59:12.353000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:14.289000+05:30,2026-01-12,Monday,'15:59:14.289000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:24.246000+05:30,2026-01-12,Monday,'15:59:24.246000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:26.524000+05:30,2026-01-12,Monday,'15:59:26.524000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:27.875000+05:30,2026-01-12,Monday,'15:59:27.875000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Buslist_date change,application,2026-01-12 15:59:30.800000+05:30,2026-01-12,Monday,'15:59:30.800000
06e37da5-585e-446d-af3f-2cdec4df4a3d,DeviceInfo,application,2026-01-12 15:55:54.122000+05:30,2026-01-12,Monday,'15:55:54.122000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Journey Ended,system,2026-01-12 15:56:06.662000+05:30,2026-01-12,Monday,'15:56:06.662000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Journey Ended,system,2026-01-12 22:14:43.577000+05:30,2026-01-12,Monday,'22:14:43.577000
06e37da5-585e-446d-af3f-2cdec4df4a3d,Journey Started,system,2026-01-12 15:55:55.370000+05:30,2026-01-12,Monday,'15:55:55.370000
