user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
08b50c66-ee60-4033-82e3-f01208249558,DeviceInfo,application,2026-01-17 13:03:17.958000+05:30,2026-01-17,Saturday,'13:03:17.958000
08b50c66-ee60-4033-82e3-f01208249558,Session Started,system,2026-01-17 13:03:24.084000+05:30,2026-01-17,Saturday,'13:03:24.084000
08b50c66-ee60-4033-82e3-f01208249558,App Installed,system,2026-01-17 13:03:24.311000+05:30,2026-01-17,Saturday,'13:03:24.311000
08b50c66-ee60-4033-82e3-f01208249558,Push Subscribe Process - Device Registered (Push),system,2026-01-17 13:03:24.562000+05:30,2026-01-17,Saturday,'13:03:24.562000
08b50c66-ee60-4033-82e3-f01208249558,app_start,application,2026-01-17 13:03:24.576000+05:30,2026-01-17,Saturday,'13:03:24.576000
08b50c66-ee60-4033-82e3-f01208249558,choose_language,application,2026-01-17 13:03:27.755000+05:30,2026-01-17,Saturday,'13:03:27.755000
08b50c66-ee60-4033-82e3-f01208249558,Onboarding_Language,application,2026-01-17 13:03:27.781000+05:30,2026-01-17,Saturday,'13:03:27.781000
08b50c66-ee60-4033-82e3-f01208249558,Journey Started,system,2026-01-17 13:03:33.641000+05:30,2026-01-17,Saturday,'13:03:33.641000
08b50c66-ee60-4033-82e3-f01208249558,Journey Ended,system,2026-01-17 13:03:33.841000+05:30,2026-01-17,Saturday,'13:03:33.841000
08b50c66-ee60-4033-82e3-f01208249558,generate_otp,application,2026-01-17 13:03:39.260000+05:30,2026-01-17,Saturday,'13:03:39.260000
08b50c66-ee60-4033-82e3-f01208249558,Onboarding_get_otp,application,2026-01-17 13:03:39.269000+05:30,2026-01-17,Saturday,'13:03:39.269000
08b50c66-ee60-4033-82e3-f01208249558,_auth_generate-otp,application,2026-01-17 13:03:40.657000+05:30,2026-01-17,Saturday,'13:03:40.657000
08b50c66-ee60-4033-82e3-f01208249558,get_otp,application,2026-01-17 13:03:40.670000+05:30,2026-01-17,Saturday,'13:03:40.670000
08b50c66-ee60-4033-82e3-f01208249558,Onboarding_signup_,application,2026-01-17 13:03:40.688000+05:30,2026-01-17,Saturday,'13:03:40.688000
08b50c66-ee60-4033-82e3-f01208249558,verify_otp,application,2026-01-17 13:03:42.403000+05:30,2026-01-17,Saturday,'13:03:42.403000
08b50c66-ee60-4033-82e3-f01208249558,_auth_verify-otp,application,2026-01-17 13:03:42.731000+05:30,2026-01-17,Saturday,'13:03:42.731000
08b50c66-ee60-4033-82e3-f01208249558,enter_otp,application,2026-01-17 13:03:42.765000+05:30,2026-01-17,Saturday,'13:03:42.765000
08b50c66-ee60-4033-82e3-f01208249558,User Login,system,2026-01-17 13:03:42.785000+05:30,2026-01-17,Saturday,'13:03:42.785000
08b50c66-ee60-4033-82e3-f01208249558,login,application,2026-01-17 13:03:42.828000+05:30,2026-01-17,Saturday,'13:03:42.828000
08b50c66-ee60-4033-82e3-f01208249558,_user,application,2026-01-17 13:03:43.413000+05:30,2026-01-17,Saturday,'13:03:43.413000
08b50c66-ee60-4033-82e3-f01208249558,_location_from-town,application,2026-01-17 13:03:44.352000+05:30,2026-01-17,Saturday,'13:03:44.352000
08b50c66-ee60-4033-82e3-f01208249558,Onboarding_backpressed,application,2026-01-17 13:03:58.917000+05:30,2026-01-17,Saturday,'13:03:58.917000
08b50c66-ee60-4033-82e3-f01208249558,Onboarding_Profile Saved,application,2026-01-17 13:04:10.603000+05:30,2026-01-17,Saturday,'13:04:10.603000
08b50c66-ee60-4033-82e3-f01208249558,_user,application,2026-01-17 13:04:12.771000+05:30,2026-01-17,Saturday,'13:04:12.771000
08b50c66-ee60-4033-82e3-f01208249558,_location_from-town,application,2026-01-17 13:04:19.870000+05:30,2026-01-17,Saturday,'13:04:19.870000
08b50c66-ee60-4033-82e3-f01208249558,_history_recommended-journey,application,2026-01-17 13:04:19.943000+05:30,2026-01-17,Saturday,'13:04:19.943000
08b50c66-ee60-4033-82e3-f01208249558,_user_device,application,2026-01-17 13:04:20.230000+05:30,2026-01-17,Saturday,'13:04:20.230000
08b50c66-ee60-4033-82e3-f01208249558,_user,application,2026-01-17 13:04:20.472000+05:30,2026-01-17,Saturday,'13:04:20.472000
08b50c66-ee60-4033-82e3-f01208249558,_location_special-town-search,application,2026-01-17 13:04:20.567000+05:30,2026-01-17,Saturday,'13:04:20.567000
08b50c66-ee60-4033-82e3-f01208249558,_ticket,application,2026-01-17 13:04:21.195000+05:30,2026-01-17,Saturday,'13:04:21.195000
08b50c66-ee60-4033-82e3-f01208249558,_location_special-town-search,application,2026-01-17 13:04:21.296000+05:30,2026-01-17,Saturday,'13:04:21.296000
08b50c66-ee60-4033-82e3-f01208249558,_location_elastic-town-search,application,2026-01-17 13:04:22.007000+05:30,2026-01-17,Saturday,'13:04:22.007000
08b50c66-ee60-4033-82e3-f01208249558,_location_special-town-search,application,2026-01-17 13:04:31.325000+05:30,2026-01-17,Saturday,'13:04:31.325000
