user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0920b078-e6ee-4a0c-900a-99f8117ac84f,DeviceInfo,application,2026-01-12 22:53:46.595000+05:30,2026-01-12,Monday,'22:53:46.595000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Session Started,system,2026-01-12 22:53:46.926000+05:30,2026-01-12,Monday,'22:53:46.926000
0920b078-e6ee-4a0c-900a-99f8117ac84f,App Installed,system,2026-01-12 22:53:46.955000+05:30,2026-01-12,Monday,'22:53:46.955000
0920b078-e6ee-4a0c-900a-99f8117ac84f,app_start,application,2026-01-12 22:53:47.951000+05:30,2026-01-12,Monday,'22:53:47.951000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Journey Started,system,2026-01-12 22:53:48.215000+05:30,2026-01-12,Monday,'22:53:48.215000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Push Subscribe Process - Device Registered (Push),system,2026-01-12 22:53:51.411000+05:30,2026-01-12,Monday,'22:53:51.411000
0920b078-e6ee-4a0c-900a-99f8117ac84f,choose_language,application,2026-01-12 22:54:00.826000+05:30,2026-01-12,Monday,'22:54:00.826000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Onboarding_Language,application,2026-01-12 22:54:00.848000+05:30,2026-01-12,Monday,'22:54:00.848000
0920b078-e6ee-4a0c-900a-99f8117ac84f,generate_otp,application,2026-01-12 22:54:08.281000+05:30,2026-01-12,Monday,'22:54:08.281000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Onboarding_get_otp,application,2026-01-12 22:54:08.299000+05:30,2026-01-12,Monday,'22:54:08.299000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_auth_generate-otp,application,2026-01-12 22:54:09.336000+05:30,2026-01-12,Monday,'22:54:09.336000
0920b078-e6ee-4a0c-900a-99f8117ac84f,get_otp,application,2026-01-12 22:54:09.342000+05:30,2026-01-12,Monday,'22:54:09.342000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Onboarding_signup_,application,2026-01-12 22:54:09.362000+05:30,2026-01-12,Monday,'22:54:09.362000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Journey Started,system,2026-01-12 22:54:09.815000+05:30,2026-01-12,Monday,'22:54:09.815000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Journey Ended,system,2026-01-12 22:54:09.815000+05:30,2026-01-12,Monday,'22:54:09.815000
0920b078-e6ee-4a0c-900a-99f8117ac84f,verify_otp,application,2026-01-12 22:54:12.841000+05:30,2026-01-12,Monday,'22:54:12.841000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_auth_verify-otp,application,2026-01-12 22:54:13.083000+05:30,2026-01-12,Monday,'22:54:13.083000
0920b078-e6ee-4a0c-900a-99f8117ac84f,enter_otp,application,2026-01-12 22:54:13.101000+05:30,2026-01-12,Monday,'22:54:13.101000
0920b078-e6ee-4a0c-900a-99f8117ac84f,User Login,system,2026-01-12 22:54:13.117000+05:30,2026-01-12,Monday,'22:54:13.117000
0920b078-e6ee-4a0c-900a-99f8117ac84f,login,application,2026-01-12 22:54:13.457000+05:30,2026-01-12,Monday,'22:54:13.457000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_user,application,2026-01-12 22:54:13.468000+05:30,2026-01-12,Monday,'22:54:13.468000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_from-town,application,2026-01-12 22:54:14.084000+05:30,2026-01-12,Monday,'22:54:14.084000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Onboarding_Profile Saved,application,2026-01-12 22:54:14.974000+05:30,2026-01-12,Monday,'22:54:14.974000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_user,application,2026-01-12 22:54:25.190000+05:30,2026-01-12,Monday,'22:54:25.190000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_history_recommended-journey,application,2026-01-12 22:54:27.037000+05:30,2026-01-12,Monday,'22:54:27.037000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_from-town,application,2026-01-12 22:54:27.162000+05:30,2026-01-12,Monday,'22:54:27.162000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_user_device,application,2026-01-12 22:54:27.367000+05:30,2026-01-12,Monday,'22:54:27.367000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_user,application,2026-01-12 22:54:27.417000+05:30,2026-01-12,Monday,'22:54:27.417000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_special-town-search,application,2026-01-12 22:54:27.498000+05:30,2026-01-12,Monday,'22:54:27.498000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_ticket,application,2026-01-12 22:54:27.774000+05:30,2026-01-12,Monday,'22:54:27.774000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_special-town-search,application,2026-01-12 22:54:29.060000+05:30,2026-01-12,Monday,'22:54:29.060000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_elastic-town-search,application,2026-01-12 22:54:29.185000+05:30,2026-01-12,Monday,'22:54:29.185000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_special-town-search,application,2026-01-12 22:54:36.772000+05:30,2026-01-12,Monday,'22:54:36.772000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_elastic-town-search,application,2026-01-12 22:54:41.666000+05:30,2026-01-12,Monday,'22:54:41.666000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_special-town-search,application,2026-01-12 22:55:30.754000+05:30,2026-01-12,Monday,'22:55:30.754000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_location_elastic-town-search,application,2026-01-12 22:55:30.987000+05:30,2026-01-12,Monday,'22:55:30.987000
0920b078-e6ee-4a0c-900a-99f8117ac84f,Buslist_date change,application,2026-01-12 22:55:46.962000+05:30,2026-01-12,Monday,'22:55:46.962000
0920b078-e6ee-4a0c-900a-99f8117ac84f,_user,application,2026-01-12 22:55:47.473000+05:30,2026-01-12,Monday,'22:55:47.473000
0920b078-e6ee-4a0c-900a-99f8117ac84f,pageview_bus_list,application,2026-01-12 22:55:47.486000+05:30,2026-01-12,Monday,'22:55:47.486000
