user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,DeviceInfo,application,2026-01-08 11:02:41.856000+05:30,2026-01-08,Thursday,'11:02:41.856000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Session Started,system,2026-01-08 11:02:41.929000+05:30,2026-01-08,Thursday,'11:02:41.929000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,App Installed,system,2026-01-08 11:02:41.930000+05:30,2026-01-08,Thursday,'11:02:41.930000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Journey Started,system,2026-01-08 11:02:42.061000+05:30,2026-01-08,Thursday,'11:02:42.061000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,app_start,application,2026-01-08 11:02:42.932000+05:30,2026-01-08,Thursday,'11:02:42.932000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Push Subscribe Process - Device Registered (Push),system,2026-01-08 11:02:43.803000+05:30,2026-01-08,Thursday,'11:02:43.803000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,choose_language,application,2026-01-08 11:02:45.028000+05:30,2026-01-08,Thursday,'11:02:45.028000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Onboarding_Language,application,2026-01-08 11:02:45.034000+05:30,2026-01-08,Thursday,'11:02:45.034000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,generate_otp,application,2026-01-08 11:02:56.546000+05:30,2026-01-08,Thursday,'11:02:56.546000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Onboarding_get_otp,application,2026-01-08 11:02:56.546000+05:30,2026-01-08,Thursday,'11:02:56.546000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Journey Started,system,2026-01-08 11:02:56.634000+05:30,2026-01-08,Thursday,'11:02:56.634000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Journey Ended,system,2026-01-08 11:02:56.635000+05:30,2026-01-08,Thursday,'11:02:56.635000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_auth_generate-otp,application,2026-01-08 11:02:57.737000+05:30,2026-01-08,Thursday,'11:02:57.737000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,get_otp,application,2026-01-08 11:02:57.744000+05:30,2026-01-08,Thursday,'11:02:57.744000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Onboarding_signup_,application,2026-01-08 11:02:57.755000+05:30,2026-01-08,Thursday,'11:02:57.755000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,verify_otp,application,2026-01-08 11:02:59.849000+05:30,2026-01-08,Thursday,'11:02:59.849000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_auth_verify-otp,application,2026-01-08 11:02:59.907000+05:30,2026-01-08,Thursday,'11:02:59.907000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,enter_otp,application,2026-01-08 11:03:00.154000+05:30,2026-01-08,Thursday,'11:03:00.154000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,User Login,system,2026-01-08 11:03:00.182000+05:30,2026-01-08,Thursday,'11:03:00.182000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,login,application,2026-01-08 11:03:00.393000+05:30,2026-01-08,Thursday,'11:03:00.393000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_user,application,2026-01-08 11:03:00.469000+05:30,2026-01-08,Thursday,'11:03:00.469000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_location_from-town,application,2026-01-08 11:03:00.874000+05:30,2026-01-08,Thursday,'11:03:00.874000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,Onboarding_Profile Saved,application,2026-01-08 11:03:02+05:30,2026-01-08,Thursday,'11:03:02.000000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_user,application,2026-01-08 11:03:08.758000+05:30,2026-01-08,Thursday,'11:03:08.758000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_history_recommended-journey,application,2026-01-08 11:03:10.197000+05:30,2026-01-08,Thursday,'11:03:10.197000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_user,application,2026-01-08 11:03:10.228000+05:30,2026-01-08,Thursday,'11:03:10.228000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_location_from-town,application,2026-01-08 11:03:10.228000+05:30,2026-01-08,Thursday,'11:03:10.228000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_user_device,application,2026-01-08 11:03:10.228000+05:30,2026-01-08,Thursday,'11:03:10.228000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_location_special-town-search,application,2026-01-08 11:03:10.617000+05:30,2026-01-08,Thursday,'11:03:10.617000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_ticket,application,2026-01-08 11:03:10.716000+05:30,2026-01-08,Thursday,'11:03:10.716000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_location_special-town-search,application,2026-01-08 11:03:15.721000+05:30,2026-01-08,Thursday,'11:03:15.721000
0c57bf8d-c29e-4a7d-b797-9b6a1dbb0ed7,_location_elastic-town-search,application,2026-01-08 11:03:15.874000+05:30,2026-01-08,Thursday,'11:03:15.874000
