user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0cd37af7-a696-462e-b40d-04b343dfa564,DeviceInfo,application,2026-01-04 20:21:56.951000+05:30,2026-01-04,Sunday,'20:21:56.951000
0cd37af7-a696-462e-b40d-04b343dfa564,Session Started,system,2026-01-04 20:21:58.036000+05:30,2026-01-04,Sunday,'20:21:58.036000
0cd37af7-a696-462e-b40d-04b343dfa564,App Installed,system,2026-01-04 20:21:58.078000+05:30,2026-01-04,Sunday,'20:21:58.078000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:21:58.246000+05:30,2026-01-04,Sunday,'20:21:58.246000
0cd37af7-a696-462e-b40d-04b343dfa564,app_start,application,2026-01-04 20:21:58.790000+05:30,2026-01-04,Sunday,'20:21:58.790000
0cd37af7-a696-462e-b40d-04b343dfa564,Push Subscribe Process - Device Registered (Push),system,2026-01-04 20:21:58.883000+05:30,2026-01-04,Sunday,'20:21:58.883000
0cd37af7-a696-462e-b40d-04b343dfa564,choose_language,application,2026-01-04 20:22:02.792000+05:30,2026-01-04,Sunday,'20:22:02.792000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_Language,application,2026-01-04 20:22:02.800000+05:30,2026-01-04,Sunday,'20:22:02.800000
0cd37af7-a696-462e-b40d-04b343dfa564,choose_language,application,2026-01-04 20:22:02.827000+05:30,2026-01-04,Sunday,'20:22:02.827000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_Language,application,2026-01-04 20:22:02.833000+05:30,2026-01-04,Sunday,'20:22:02.833000
0cd37af7-a696-462e-b40d-04b343dfa564,choose_language,application,2026-01-04 20:22:02.852000+05:30,2026-01-04,Sunday,'20:22:02.852000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_Language,application,2026-01-04 20:22:02.863000+05:30,2026-01-04,Sunday,'20:22:02.863000
0cd37af7-a696-462e-b40d-04b343dfa564,choose_language,application,2026-01-04 20:22:02.880000+05:30,2026-01-04,Sunday,'20:22:02.880000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_Language,application,2026-01-04 20:22:02.888000+05:30,2026-01-04,Sunday,'20:22:02.888000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Ended,system,2026-01-04 20:22:05.776000+05:30,2026-01-04,Sunday,'20:22:05.776000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:22:05.776000+05:30,2026-01-04,Sunday,'20:22:05.776000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Ended,system,2026-01-04 20:22:05.901000+05:30,2026-01-04,Sunday,'20:22:05.901000
0cd37af7-a696-462e-b40d-04b343dfa564,generate_otp,application,2026-01-04 20:22:14.540000+05:30,2026-01-04,Sunday,'20:22:14.540000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_get_otp,application,2026-01-04 20:22:14.557000+05:30,2026-01-04,Sunday,'20:22:14.557000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:22:15.064000+05:30,2026-01-04,Sunday,'20:22:15.064000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Ended,system,2026-01-04 20:22:15.064000+05:30,2026-01-04,Sunday,'20:22:15.064000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:22:15.069000+05:30,2026-01-04,Sunday,'20:22:15.069000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Ended,system,2026-01-04 20:22:15.069000+05:30,2026-01-04,Sunday,'20:22:15.069000
0cd37af7-a696-462e-b40d-04b343dfa564,_auth_generate-otp,application,2026-01-04 20:22:16.242000+05:30,2026-01-04,Sunday,'20:22:16.242000
0cd37af7-a696-462e-b40d-04b343dfa564,get_otp,application,2026-01-04 20:22:16.253000+05:30,2026-01-04,Sunday,'20:22:16.253000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_signup_,application,2026-01-04 20:22:16.313000+05:30,2026-01-04,Sunday,'20:22:16.313000
0cd37af7-a696-462e-b40d-04b343dfa564,verify_otp,application,2026-01-04 20:22:29.390000+05:30,2026-01-04,Sunday,'20:22:29.390000
0cd37af7-a696-462e-b40d-04b343dfa564,_auth_verify-otp,application,2026-01-04 20:22:29.774000+05:30,2026-01-04,Sunday,'20:22:29.774000
0cd37af7-a696-462e-b40d-04b343dfa564,enter_otp,application,2026-01-04 20:22:29.795000+05:30,2026-01-04,Sunday,'20:22:29.795000
0cd37af7-a696-462e-b40d-04b343dfa564,User Login,system,2026-01-04 20:22:29.822000+05:30,2026-01-04,Sunday,'20:22:29.822000
0cd37af7-a696-462e-b40d-04b343dfa564,login,application,2026-01-04 20:22:30.955000+05:30,2026-01-04,Sunday,'20:22:30.955000
0cd37af7-a696-462e-b40d-04b343dfa564,_user,application,2026-01-04 20:22:30.971000+05:30,2026-01-04,Sunday,'20:22:30.971000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_from-town,application,2026-01-04 20:22:30.988000+05:30,2026-01-04,Sunday,'20:22:30.988000
0cd37af7-a696-462e-b40d-04b343dfa564,Onboarding_Profile Saved,application,2026-01-04 20:22:32.266000+05:30,2026-01-04,Sunday,'20:22:32.266000
0cd37af7-a696-462e-b40d-04b343dfa564,_user,application,2026-01-04 20:22:43.913000+05:30,2026-01-04,Sunday,'20:22:43.913000
0cd37af7-a696-462e-b40d-04b343dfa564,_history_recommended-journey,application,2026-01-04 20:22:46.504000+05:30,2026-01-04,Sunday,'20:22:46.504000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_from-town,application,2026-01-04 20:22:46.521000+05:30,2026-01-04,Sunday,'20:22:46.521000
0cd37af7-a696-462e-b40d-04b343dfa564,_user_device,application,2026-01-04 20:22:46.647000+05:30,2026-01-04,Sunday,'20:22:46.647000
0cd37af7-a696-462e-b40d-04b343dfa564,_user,application,2026-01-04 20:22:47.006000+05:30,2026-01-04,Sunday,'20:22:47.006000
0cd37af7-a696-462e-b40d-04b343dfa564,_ticket,application,2026-01-04 20:22:47.590000+05:30,2026-01-04,Sunday,'20:22:47.590000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_special-town-search,application,2026-01-04 20:22:47.791000+05:30,2026-01-04,Sunday,'20:22:47.791000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_elastic-town-search,application,2026-01-04 20:22:50.028000+05:30,2026-01-04,Sunday,'20:22:50.028000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_special-town-search,application,2026-01-04 20:23:14.850000+05:30,2026-01-04,Sunday,'20:23:14.850000
0cd37af7-a696-462e-b40d-04b343dfa564,_location_elastic-town-search,application,2026-01-04 20:23:15.229000+05:30,2026-01-04,Sunday,'20:23:15.229000
0cd37af7-a696-462e-b40d-04b343dfa564,Buslist_date change,application,2026-01-04 20:23:27.736000+05:30,2026-01-04,Sunday,'20:23:27.736000
0cd37af7-a696-462e-b40d-04b343dfa564,_user,application,2026-01-04 20:23:28.076000+05:30,2026-01-04,Sunday,'20:23:28.076000
0cd37af7-a696-462e-b40d-04b343dfa564,pageview_bus_list,application,2026-01-04 20:23:28.088000+05:30,2026-01-04,Sunday,'20:23:28.088000
0cd37af7-a696-462e-b40d-04b343dfa564,_bus-search_user-bus-search,application,2026-01-04 20:23:28.206000+05:30,2026-01-04,Sunday,'20:23:28.206000
0cd37af7-a696-462e-b40d-04b343dfa564,_bus-search_list,application,2026-01-04 20:23:31+05:30,2026-01-04,Sunday,'20:23:31.000000
0cd37af7-a696-462e-b40d-04b343dfa564,_rewards_best-V2,application,2026-01-04 20:23:31.851000+05:30,2026-01-04,Sunday,'20:23:31.851000
0cd37af7-a696-462e-b40d-04b343dfa564,Buslist_date change,application,2026-01-04 20:23:31.869000+05:30,2026-01-04,Sunday,'20:23:31.869000
0cd37af7-a696-462e-b40d-04b343dfa564,bus_search,application,2026-01-04 20:23:31.924000+05:30,2026-01-04,Sunday,'20:23:31.924000
0cd37af7-a696-462e-b40d-04b343dfa564,bus_result,application,2026-01-04 20:23:31.945000+05:30,2026-01-04,Sunday,'20:23:31.945000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:23:32.101000+05:30,2026-01-04,Sunday,'20:23:32.101000
0cd37af7-a696-462e-b40d-04b343dfa564,Buslist_bus_selection,application,2026-01-04 20:23:45.403000+05:30,2026-01-04,Sunday,'20:23:45.403000
0cd37af7-a696-462e-b40d-04b343dfa564,bus_detail,application,2026-01-04 20:23:45.441000+05:30,2026-01-04,Sunday,'20:23:45.441000
0cd37af7-a696-462e-b40d-04b343dfa564,pageview_seat_selection,application,2026-01-04 20:23:45.658000+05:30,2026-01-04,Sunday,'20:23:45.658000
0cd37af7-a696-462e-b40d-04b343dfa564,SeatSelection_Click On Back,application,2026-01-04 20:23:45.689000+05:30,2026-01-04,Sunday,'20:23:45.689000
0cd37af7-a696-462e-b40d-04b343dfa564,_bus-search_v2_layout,application,2026-01-04 20:23:45.839000+05:30,2026-01-04,Sunday,'20:23:45.839000
0cd37af7-a696-462e-b40d-04b343dfa564,_profile,application,2026-01-04 20:23:45.888000+05:30,2026-01-04,Sunday,'20:23:45.888000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Ended,system,2026-01-04 20:23:45.909000+05:30,2026-01-04,Sunday,'20:23:45.909000
0cd37af7-a696-462e-b40d-04b343dfa564,Journey Started,system,2026-01-04 20:23:45.913000+05:30,2026-01-04,Sunday,'20:23:45.913000
0cd37af7-a696-462e-b40d-04b343dfa564,_bus-search_user-bus-search,application,2026-01-04 20:23:46.048000+05:30,2026-01-04,Sunday,'20:23:46.048000
