user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,DeviceInfo,application,2026-01-11 17:23:03.054000+05:30,2026-01-11,Sunday,'17:23:03.054000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Session Started,system,2026-01-11 17:23:03.762000+05:30,2026-01-11,Sunday,'17:23:03.762000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,App Installed,system,2026-01-11 17:23:03.902000+05:30,2026-01-11,Sunday,'17:23:03.902000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,app_start,application,2026-01-11 17:23:04.233000+05:30,2026-01-11,Sunday,'17:23:04.233000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Journey Started,system,2026-01-11 17:23:04.900000+05:30,2026-01-11,Sunday,'17:23:04.900000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,choose_language,application,2026-01-11 17:23:07.389000+05:30,2026-01-11,Sunday,'17:23:07.389000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Onboarding_Language,application,2026-01-11 17:23:07.405000+05:30,2026-01-11,Sunday,'17:23:07.405000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,generate_otp,application,2026-01-11 17:23:23.907000+05:30,2026-01-11,Sunday,'17:23:23.907000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Onboarding_get_otp,application,2026-01-11 17:23:23.940000+05:30,2026-01-11,Sunday,'17:23:23.940000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,_auth_generate-otp,application,2026-01-11 17:23:24.767000+05:30,2026-01-11,Sunday,'17:23:24.767000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,get_otp,application,2026-01-11 17:23:24.780000+05:30,2026-01-11,Sunday,'17:23:24.780000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Journey Started,system,2026-01-11 17:23:24.793000+05:30,2026-01-11,Sunday,'17:23:24.793000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Journey Ended,system,2026-01-11 17:23:24.793000+05:30,2026-01-11,Sunday,'17:23:24.793000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,Onboarding_signup_,application,2026-01-11 17:23:24.811000+05:30,2026-01-11,Sunday,'17:23:24.811000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,verify_otp,application,2026-01-11 17:23:27.931000+05:30,2026-01-11,Sunday,'17:23:27.931000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,_auth_verify-otp,application,2026-01-11 17:23:28.200000+05:30,2026-01-11,Sunday,'17:23:28.200000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,enter_otp,application,2026-01-11 17:23:28.248000+05:30,2026-01-11,Sunday,'17:23:28.248000
0dc4f4e2-80b6-42ff-ab20-ec8b9caa2bc9,User Login,system,2026-01-11 17:23:28.337000+05:30,2026-01-11,Sunday,'17:23:28.337000
