user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,DeviceInfo,application,2026-01-11 12:39:13.451000+05:30,2026-01-11,Sunday,'12:39:13.451000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Session Started,system,2026-01-11 12:39:14.076000+05:30,2026-01-11,Sunday,'12:39:14.076000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,App Installed,system,2026-01-11 12:39:14.111000+05:30,2026-01-11,Sunday,'12:39:14.111000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,app_start,application,2026-01-11 12:39:14.868000+05:30,2026-01-11,Sunday,'12:39:14.868000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Push Subscribe Process - Device Registered (Push),system,2026-01-11 12:39:15.447000+05:30,2026-01-11,Sunday,'12:39:15.447000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Journey Started,system,2026-01-11 12:39:16.075000+05:30,2026-01-11,Sunday,'12:39:16.075000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,choose_language,application,2026-01-11 12:39:16.933000+05:30,2026-01-11,Sunday,'12:39:16.933000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Onboarding_Language,application,2026-01-11 12:39:16.950000+05:30,2026-01-11,Sunday,'12:39:16.950000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,generate_otp,application,2026-01-11 12:39:21.596000+05:30,2026-01-11,Sunday,'12:39:21.596000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Onboarding_get_otp,application,2026-01-11 12:39:21.617000+05:30,2026-01-11,Sunday,'12:39:21.617000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,_auth_generate-otp,application,2026-01-11 12:39:22.612000+05:30,2026-01-11,Sunday,'12:39:22.612000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,get_otp,application,2026-01-11 12:39:22.635000+05:30,2026-01-11,Sunday,'12:39:22.635000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Onboarding_signup_,application,2026-01-11 12:39:22.656000+05:30,2026-01-11,Sunday,'12:39:22.656000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Journey Ended,system,2026-01-11 12:39:24.290000+05:30,2026-01-11,Sunday,'12:39:24.290000
0ed6d4b6-0bdb-4342-8a3b-c18662d7d346,Journey Started,system,2026-01-11 12:39:24.290000+05:30,2026-01-11,Sunday,'12:39:24.290000
