user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0f43928e-e84e-468c-90f6-82037e0dc9f5,DeviceInfo,application,2026-01-06 11:15:22.320000+05:30,2026-01-06,Tuesday,'11:15:22.320000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Session Started,system,2026-01-06 11:15:22.686000+05:30,2026-01-06,Tuesday,'11:15:22.686000
0f43928e-e84e-468c-90f6-82037e0dc9f5,App Installed,system,2026-01-06 11:15:22.780000+05:30,2026-01-06,Tuesday,'11:15:22.780000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Journey Started,system,2026-01-06 11:15:23.342000+05:30,2026-01-06,Tuesday,'11:15:23.342000
0f43928e-e84e-468c-90f6-82037e0dc9f5,app_start,application,2026-01-06 11:15:23.868000+05:30,2026-01-06,Tuesday,'11:15:23.868000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Push Subscribe Process - Device Registered (Push),system,2026-01-06 11:15:23.946000+05:30,2026-01-06,Tuesday,'11:15:23.946000
0f43928e-e84e-468c-90f6-82037e0dc9f5,choose_language,application,2026-01-06 11:15:27.137000+05:30,2026-01-06,Tuesday,'11:15:27.137000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Onboarding_Language,application,2026-01-06 11:15:27.155000+05:30,2026-01-06,Tuesday,'11:15:27.155000
0f43928e-e84e-468c-90f6-82037e0dc9f5,choose_language,application,2026-01-06 11:15:27.194000+05:30,2026-01-06,Tuesday,'11:15:27.194000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Onboarding_Language,application,2026-01-06 11:15:27.213000+05:30,2026-01-06,Tuesday,'11:15:27.213000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Journey Ended,system,2026-01-06 11:15:27.824000+05:30,2026-01-06,Tuesday,'11:15:27.824000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Journey Started,system,2026-01-06 11:15:27.824000+05:30,2026-01-06,Tuesday,'11:15:27.824000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Journey Ended,system,2026-01-06 11:15:27.840000+05:30,2026-01-06,Tuesday,'11:15:27.840000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Journey Started,system,2026-01-06 11:15:27.840000+05:30,2026-01-06,Tuesday,'11:15:27.840000
0f43928e-e84e-468c-90f6-82037e0dc9f5,generate_otp,application,2026-01-06 11:15:32.189000+05:30,2026-01-06,Tuesday,'11:15:32.189000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Onboarding_get_otp,application,2026-01-06 11:15:32.206000+05:30,2026-01-06,Tuesday,'11:15:32.206000
0f43928e-e84e-468c-90f6-82037e0dc9f5,_auth_generate-otp,application,2026-01-06 11:15:32.906000+05:30,2026-01-06,Tuesday,'11:15:32.906000
0f43928e-e84e-468c-90f6-82037e0dc9f5,get_otp,application,2026-01-06 11:15:32.920000+05:30,2026-01-06,Tuesday,'11:15:32.920000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Onboarding_signup_,application,2026-01-06 11:15:32.937000+05:30,2026-01-06,Tuesday,'11:15:32.937000
0f43928e-e84e-468c-90f6-82037e0dc9f5,verify_otp,application,2026-01-06 11:15:37.089000+05:30,2026-01-06,Tuesday,'11:15:37.089000
0f43928e-e84e-468c-90f6-82037e0dc9f5,_auth_verify-otp,application,2026-01-06 11:15:37.304000+05:30,2026-01-06,Tuesday,'11:15:37.304000
0f43928e-e84e-468c-90f6-82037e0dc9f5,enter_otp,application,2026-01-06 11:15:37.332000+05:30,2026-01-06,Tuesday,'11:15:37.332000
0f43928e-e84e-468c-90f6-82037e0dc9f5,User Login,system,2026-01-06 11:15:37.351000+05:30,2026-01-06,Tuesday,'11:15:37.351000
0f43928e-e84e-468c-90f6-82037e0dc9f5,login,application,2026-01-06 11:15:37.600000+05:30,2026-01-06,Tuesday,'11:15:37.600000
0f43928e-e84e-468c-90f6-82037e0dc9f5,_user,application,2026-01-06 11:15:37.611000+05:30,2026-01-06,Tuesday,'11:15:37.611000
0f43928e-e84e-468c-90f6-82037e0dc9f5,_location_from-town,application,2026-01-06 11:15:37.921000+05:30,2026-01-06,Tuesday,'11:15:37.921000
0f43928e-e84e-468c-90f6-82037e0dc9f5,Onboarding_Profile Saved,application,2026-01-06 11:15:38.725000+05:30,2026-01-06,Tuesday,'11:15:38.725000
0f43928e-e84e-468c-90f6-82037e0dc9f5,_user,application,2026-01-06 11:15:48.584000+05:30,2026-01-06,Tuesday,'11:15:48.584000
