user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
0fbed135-ebda-4804-9886-700d49022596,DeviceInfo,application,2026-01-07 21:50:37.375000+05:30,2026-01-07,Wednesday,'21:50:37.375000
0fbed135-ebda-4804-9886-700d49022596,Session Started,system,2026-01-07 21:50:44.089000+05:30,2026-01-07,Wednesday,'21:50:44.089000
0fbed135-ebda-4804-9886-700d49022596,App Installed,system,2026-01-07 21:50:44.089000+05:30,2026-01-07,Wednesday,'21:50:44.089000
0fbed135-ebda-4804-9886-700d49022596,Journey Started,system,2026-01-07 21:50:44.183000+05:30,2026-01-07,Wednesday,'21:50:44.183000
0fbed135-ebda-4804-9886-700d49022596,Push Subscribe Process - Device Registered (Push),system,2026-01-07 21:50:44.667000+05:30,2026-01-07,Wednesday,'21:50:44.667000
0fbed135-ebda-4804-9886-700d49022596,app_start,application,2026-01-07 21:50:44.790000+05:30,2026-01-07,Wednesday,'21:50:44.790000
0fbed135-ebda-4804-9886-700d49022596,choose_language,application,2026-01-07 21:50:46.620000+05:30,2026-01-07,Wednesday,'21:50:46.620000
0fbed135-ebda-4804-9886-700d49022596,Onboarding_Language,application,2026-01-07 21:50:46.633000+05:30,2026-01-07,Wednesday,'21:50:46.633000
0fbed135-ebda-4804-9886-700d49022596,generate_otp,application,2026-01-07 21:51:25.081000+05:30,2026-01-07,Wednesday,'21:51:25.081000
0fbed135-ebda-4804-9886-700d49022596,Journey Ended,system,2026-01-07 21:51:25.103000+05:30,2026-01-07,Wednesday,'21:51:25.103000
0fbed135-ebda-4804-9886-700d49022596,Journey Started,system,2026-01-07 21:51:25.103000+05:30,2026-01-07,Wednesday,'21:51:25.103000
0fbed135-ebda-4804-9886-700d49022596,Onboarding_get_otp,application,2026-01-07 21:51:25.127000+05:30,2026-01-07,Wednesday,'21:51:25.127000
0fbed135-ebda-4804-9886-700d49022596,_auth_generate-otp,application,2026-01-07 21:51:26.965000+05:30,2026-01-07,Wednesday,'21:51:26.965000
0fbed135-ebda-4804-9886-700d49022596,get_otp,application,2026-01-07 21:51:26.980000+05:30,2026-01-07,Wednesday,'21:51:26.980000
0fbed135-ebda-4804-9886-700d49022596,Onboarding_signup_,application,2026-01-07 21:51:27.054000+05:30,2026-01-07,Wednesday,'21:51:27.054000
0fbed135-ebda-4804-9886-700d49022596,verify_otp,application,2026-01-07 21:51:29.314000+05:30,2026-01-07,Wednesday,'21:51:29.314000
0fbed135-ebda-4804-9886-700d49022596,_auth_verify-otp,application,2026-01-07 21:51:29.315000+05:30,2026-01-07,Wednesday,'21:51:29.315000
0fbed135-ebda-4804-9886-700d49022596,enter_otp,application,2026-01-07 21:51:30.329000+05:30,2026-01-07,Wednesday,'21:51:30.329000
0fbed135-ebda-4804-9886-700d49022596,User Login,system,2026-01-07 21:51:30.575000+05:30,2026-01-07,Wednesday,'21:51:30.575000
0fbed135-ebda-4804-9886-700d49022596,login,application,2026-01-07 21:51:30.930000+05:30,2026-01-07,Wednesday,'21:51:30.930000
0fbed135-ebda-4804-9886-700d49022596,_user,application,2026-01-07 21:51:31.208000+05:30,2026-01-07,Wednesday,'21:51:31.208000
0fbed135-ebda-4804-9886-700d49022596,_location_from-town,application,2026-01-07 21:51:31.564000+05:30,2026-01-07,Wednesday,'21:51:31.564000
0fbed135-ebda-4804-9886-700d49022596,Onboarding_Profile Saved,application,2026-01-07 21:51:33.047000+05:30,2026-01-07,Wednesday,'21:51:33.047000
0fbed135-ebda-4804-9886-700d49022596,_user,application,2026-01-07 21:52:48.512000+05:30,2026-01-07,Wednesday,'21:52:48.512000
0fbed135-ebda-4804-9886-700d49022596,_user_device,application,2026-01-07 21:53:01.198000+05:30,2026-01-07,Wednesday,'21:53:01.198000
0fbed135-ebda-4804-9886-700d49022596,_history_recommended-journey,application,2026-01-07 21:53:01.198000+05:30,2026-01-07,Wednesday,'21:53:01.198000
0fbed135-ebda-4804-9886-700d49022596,_user,application,2026-01-07 21:53:01.198000+05:30,2026-01-07,Wednesday,'21:53:01.198000
0fbed135-ebda-4804-9886-700d49022596,_location_from-town,application,2026-01-07 21:53:01.199000+05:30,2026-01-07,Wednesday,'21:53:01.199000
0fbed135-ebda-4804-9886-700d49022596,_ticket,application,2026-01-07 21:53:02.399000+05:30,2026-01-07,Wednesday,'21:53:02.399000
0fbed135-ebda-4804-9886-700d49022596,_location_special-town-search,application,2026-01-07 21:53:02.684000+05:30,2026-01-07,Wednesday,'21:53:02.684000
0fbed135-ebda-4804-9886-700d49022596,_location_elastic-town-search,application,2026-01-07 21:53:23.001000+05:30,2026-01-07,Wednesday,'21:53:23.001000
0fbed135-ebda-4804-9886-700d49022596,_location_special-town-search,application,2026-01-07 21:53:31.754000+05:30,2026-01-07,Wednesday,'21:53:31.754000
0fbed135-ebda-4804-9886-700d49022596,_location_elastic-town-search,application,2026-01-07 21:53:37.702000+05:30,2026-01-07,Wednesday,'21:53:37.702000
0fbed135-ebda-4804-9886-700d49022596,_location_special-town-search,application,2026-01-07 21:53:39.213000+05:30,2026-01-07,Wednesday,'21:53:39.213000
0fbed135-ebda-4804-9886-700d49022596,_location_elastic-town-search,application,2026-01-07 21:53:39.213000+05:30,2026-01-07,Wednesday,'21:53:39.213000
0fbed135-ebda-4804-9886-700d49022596,pageview_bus_list,application,2026-01-07 21:53:51.410000+05:30,2026-01-07,Wednesday,'21:53:51.410000
0fbed135-ebda-4804-9886-700d49022596,Buslist_date change,application,2026-01-07 21:53:51.410000+05:30,2026-01-07,Wednesday,'21:53:51.410000
0fbed135-ebda-4804-9886-700d49022596,_user,application,2026-01-07 21:53:51.410000+05:30,2026-01-07,Wednesday,'21:53:51.410000
0fbed135-ebda-4804-9886-700d49022596,_bus-search_user-bus-search,application,2026-01-07 21:53:52.611000+05:30,2026-01-07,Wednesday,'21:53:52.611000
0fbed135-ebda-4804-9886-700d49022596,_bus-search_list,application,2026-01-07 21:53:56.169000+05:30,2026-01-07,Wednesday,'21:53:56.169000
0fbed135-ebda-4804-9886-700d49022596,Buslist_date change,application,2026-01-07 21:53:56.280000+05:30,2026-01-07,Wednesday,'21:53:56.280000
0fbed135-ebda-4804-9886-700d49022596,bus_search,application,2026-01-07 21:53:56.280000+05:30,2026-01-07,Wednesday,'21:53:56.280000
0fbed135-ebda-4804-9886-700d49022596,_rewards_best-V2,application,2026-01-07 21:53:56.280000+05:30,2026-01-07,Wednesday,'21:53:56.280000
0fbed135-ebda-4804-9886-700d49022596,Journey Started,system,2026-01-07 21:53:56.349000+05:30,2026-01-07,Wednesday,'21:53:56.349000
0fbed135-ebda-4804-9886-700d49022596,bus_result,application,2026-01-07 21:53:57.555000+05:30,2026-01-07,Wednesday,'21:53:57.555000
0fbed135-ebda-4804-9886-700d49022596,Buslist_bus_selection,application,2026-01-07 21:54:48.422000+05:30,2026-01-07,Wednesday,'21:54:48.422000
0fbed135-ebda-4804-9886-700d49022596,pageview_seat_selection,application,2026-01-07 21:54:48.423000+05:30,2026-01-07,Wednesday,'21:54:48.423000
0fbed135-ebda-4804-9886-700d49022596,bus_detail,application,2026-01-07 21:54:48.423000+05:30,2026-01-07,Wednesday,'21:54:48.423000
0fbed135-ebda-4804-9886-700d49022596,SeatSelection_Click On Back,application,2026-01-07 21:54:48.423000+05:30,2026-01-07,Wednesday,'21:54:48.423000
0fbed135-ebda-4804-9886-700d49022596,Journey Ended,system,2026-01-07 21:54:49.009000+05:30,2026-01-07,Wednesday,'21:54:49.009000
0fbed135-ebda-4804-9886-700d49022596,Journey Started,system,2026-01-07 21:54:49.015000+05:30,2026-01-07,Wednesday,'21:54:49.015000
