user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
1130696c-af14-4961-8ec5-88d636627ddd,App Installed,system,2026-01-10 12:09:49.779000+05:30,2026-01-10,Saturday,'12:09:49.779000
1130696c-af14-4961-8ec5-88d636627ddd,Boarding_drop_locations,application,2026-01-10 12:13:06.031000+05:30,2026-01-10,Saturday,'12:13:06.031000
1130696c-af14-4961-8ec5-88d636627ddd,Buslist_bus_selection,application,2026-01-10 12:12:18.022000+05:30,2026-01-10,Saturday,'12:12:18.022000
1130696c-af14-4961-8ec5-88d636627ddd,Buslist_date change,application,2026-01-10 12:11:30.045000+05:30,2026-01-10,Saturday,'12:11:30.045000
1130696c-af14-4961-8ec5-88d636627ddd,Buslist_date change,application,2026-01-10 12:11:33.305000+05:30,2026-01-10,Saturday,'12:11:33.305000
1130696c-af14-4961-8ec5-88d636627ddd,Buslist_date change,application,2026-01-10 12:12:04.487000+05:30,2026-01-10,Saturday,'12:12:04.487000
1130696c-af14-4961-8ec5-88d636627ddd,Buslist_date change,application,2026-01-10 12:12:08.898000+05:30,2026-01-10,Saturday,'12:12:08.898000
1130696c-af14-4961-8ec5-88d636627ddd,DeviceInfo,application,2026-01-10 12:09:49.515000+05:30,2026-01-10,Saturday,'12:09:49.515000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Ended,system,2026-01-10 12:10:01.570000+05:30,2026-01-10,Saturday,'12:10:01.570000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Ended,system,2026-01-10 12:12:18.288000+05:30,2026-01-10,Saturday,'12:12:18.288000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Ended,system,2026-01-10 12:12:33.959000+05:30,2026-01-10,Saturday,'12:12:33.959000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Ended,system,2026-01-10 12:28:17.592000+05:30,2026-01-10,Saturday,'12:28:17.592000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Started,system,2026-01-10 12:09:50.149000+05:30,2026-01-10,Saturday,'12:09:50.149000
1130696c-af14-4961-8ec5-88d636627ddd,Journey Started,system,2026-01-10 12:10:01.570000+05:30,2026-01-10,Saturday,'12:10:01.570000
