user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
123c5a91-6b7b-43d4-852b-25f37e36f3c4,DeviceInfo,application,2026-01-01 21:58:46.617000+05:30,2026-01-01,Thursday,'21:58:46.617000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Session Started,system,2026-01-01 21:58:47.233000+05:30,2026-01-01,Thursday,'21:58:47.233000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,App Installed,system,2026-01-01 21:58:47.318000+05:30,2026-01-01,Thursday,'21:58:47.318000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Push Subscribe Process - Device Registered (Push),system,2026-01-01 21:58:47.772000+05:30,2026-01-01,Thursday,'21:58:47.772000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Journey Started,system,2026-01-01 21:58:48.169000+05:30,2026-01-01,Thursday,'21:58:48.169000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,app_start,application,2026-01-01 21:58:48.297000+05:30,2026-01-01,Thursday,'21:58:48.297000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,choose_language,application,2026-01-01 21:58:54.157000+05:30,2026-01-01,Thursday,'21:58:54.157000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Onboarding_Language,application,2026-01-01 21:58:54.181000+05:30,2026-01-01,Thursday,'21:58:54.181000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,choose_language,application,2026-01-01 21:58:54.338000+05:30,2026-01-01,Thursday,'21:58:54.338000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Onboarding_Language,application,2026-01-01 21:58:54.357000+05:30,2026-01-01,Thursday,'21:58:54.357000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Journey Ended,system,2026-01-01 21:58:55.389000+05:30,2026-01-01,Thursday,'21:58:55.389000
123c5a91-6b7b-43d4-852b-25f37e36f3c4,Journey Started,system,2026-01-01 21:58:55.389000+05:30,2026-01-01,Thursday,'21:58:55.389000
