user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
148e6e9c-53a2-480e-9bac-1d561f13cdd1,DeviceInfo,application,2026-01-17 08:08:52.884000+05:30,2026-01-17,Saturday,'08:08:52.884000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Session Started,system,2026-01-17 08:08:53.366000+05:30,2026-01-17,Saturday,'08:08:53.366000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,App Installed,system,2026-01-17 08:08:53.411000+05:30,2026-01-17,Saturday,'08:08:53.411000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Journey Started,system,2026-01-17 08:08:53.545000+05:30,2026-01-17,Saturday,'08:08:53.545000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,app_start,application,2026-01-17 08:08:54.077000+05:30,2026-01-17,Saturday,'08:08:54.077000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Push Subscribe Process - Device Registered (Push),system,2026-01-17 08:08:54.531000+05:30,2026-01-17,Saturday,'08:08:54.531000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,choose_language,application,2026-01-17 08:08:57.038000+05:30,2026-01-17,Saturday,'08:08:57.038000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Onboarding_Language,application,2026-01-17 08:08:57.072000+05:30,2026-01-17,Saturday,'08:08:57.072000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,choose_language,application,2026-01-17 08:08:57.457000+05:30,2026-01-17,Saturday,'08:08:57.457000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Onboarding_Language,application,2026-01-17 08:08:57.472000+05:30,2026-01-17,Saturday,'08:08:57.472000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Journey Ended,system,2026-01-17 08:08:57.607000+05:30,2026-01-17,Saturday,'08:08:57.607000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Journey Started,system,2026-01-17 08:08:57.607000+05:30,2026-01-17,Saturday,'08:08:57.607000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Journey Ended,system,2026-01-17 08:08:57.614000+05:30,2026-01-17,Saturday,'08:08:57.614000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,generate_otp,application,2026-01-17 08:09:06.776000+05:30,2026-01-17,Saturday,'08:09:06.776000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Onboarding_get_otp,application,2026-01-17 08:09:06.949000+05:30,2026-01-17,Saturday,'08:09:06.949000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_auth_generate-otp,application,2026-01-17 08:09:08.335000+05:30,2026-01-17,Saturday,'08:09:08.335000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,get_otp,application,2026-01-17 08:09:08.357000+05:30,2026-01-17,Saturday,'08:09:08.357000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Onboarding_signup_,application,2026-01-17 08:09:08.400000+05:30,2026-01-17,Saturday,'08:09:08.400000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,verify_otp,application,2026-01-17 08:09:15.654000+05:30,2026-01-17,Saturday,'08:09:15.654000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_auth_verify-otp,application,2026-01-17 08:09:16.157000+05:30,2026-01-17,Saturday,'08:09:16.157000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,enter_otp,application,2026-01-17 08:09:16.181000+05:30,2026-01-17,Saturday,'08:09:16.181000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,User Login,system,2026-01-17 08:09:16.229000+05:30,2026-01-17,Saturday,'08:09:16.229000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,login,application,2026-01-17 08:09:16.629000+05:30,2026-01-17,Saturday,'08:09:16.629000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_user,application,2026-01-17 08:09:16.647000+05:30,2026-01-17,Saturday,'08:09:16.647000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_location_from-town,application,2026-01-17 08:09:17.141000+05:30,2026-01-17,Saturday,'08:09:17.141000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,Onboarding_Profile Saved,application,2026-01-17 08:09:36.241000+05:30,2026-01-17,Saturday,'08:09:36.241000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_user,application,2026-01-17 08:09:39.438000+05:30,2026-01-17,Saturday,'08:09:39.438000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_location_from-town,application,2026-01-17 08:09:43.201000+05:30,2026-01-17,Saturday,'08:09:43.201000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_history_recommended-journey,application,2026-01-17 08:09:43.340000+05:30,2026-01-17,Saturday,'08:09:43.340000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_user_device,application,2026-01-17 08:09:43.430000+05:30,2026-01-17,Saturday,'08:09:43.430000
148e6e9c-53a2-480e-9bac-1d561f13cdd1,_user,application,2026-01-17 08:09:43.540000+05:30,2026-01-17,Saturday,'08:09:43.540000
