user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,App Installed,system,2026-01-09 18:04:27.970000+05:30,2026-01-09,Friday,'18:04:27.970000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_Live Chat Icon,application,2026-01-09 18:11:11.705000+05:30,2026-01-09,Friday,'18:11:11.705000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_bus_selection,application,2026-01-09 18:09:31.229000+05:30,2026-01-09,Friday,'18:09:31.229000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_bus_selection,application,2026-01-09 18:10:06.578000+05:30,2026-01-09,Friday,'18:10:06.578000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_date change,application,2026-01-09 18:09:02.592000+05:30,2026-01-09,Friday,'18:09:02.592000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_date change,application,2026-01-09 18:09:18.382000+05:30,2026-01-09,Friday,'18:09:18.382000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_date change,application,2026-01-09 18:10:52.371000+05:30,2026-01-09,Friday,'18:10:52.371000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Buslist_date change,application,2026-01-09 18:10:56.522000+05:30,2026-01-09,Friday,'18:10:56.522000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,DeviceInfo,application,2026-01-09 18:04:23.463000+05:30,2026-01-09,Friday,'18:04:23.463000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Ended,system,2026-01-09 18:04:51.677000+05:30,2026-01-09,Friday,'18:04:51.677000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Ended,system,2026-01-09 18:09:33.175000+05:30,2026-01-09,Friday,'18:09:33.175000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Ended,system,2026-01-09 18:10:08.294000+05:30,2026-01-09,Friday,'18:10:08.294000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Ended,system,2026-01-09 18:10:41.889000+05:30,2026-01-09,Friday,'18:10:41.889000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Ended,system,2026-01-10 00:26:45.122000+05:30,2026-01-10,Saturday,'00:26:45.122000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:04:29.624000+05:30,2026-01-09,Friday,'18:04:29.624000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:04:51.677000+05:30,2026-01-09,Friday,'18:04:51.677000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:09:20.101000+05:30,2026-01-09,Friday,'18:09:20.101000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:09:33.178000+05:30,2026-01-09,Friday,'18:09:33.178000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:10:08.299000+05:30,2026-01-09,Friday,'18:10:08.299000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Journey Started,system,2026-01-09 18:11:17.390000+05:30,2026-01-09,Friday,'18:11:17.390000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Onboarding_Language,application,2026-01-09 18:04:29.508000+05:30,2026-01-09,Friday,'18:04:29.508000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Onboarding_Profile Saved,application,2026-01-09 18:05:33.690000+05:30,2026-01-09,Friday,'18:05:33.690000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Onboarding_get_otp,application,2026-01-09 18:04:49.947000+05:30,2026-01-09,Friday,'18:04:49.947000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Onboarding_signup_,application,2026-01-09 18:04:51.935000+05:30,2026-01-09,Friday,'18:04:51.935000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-09 18:26:34.121000+05:30,2026-01-09,Friday,'18:26:34.121000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-10 12:59:56.617000+05:30,2026-01-10,Saturday,'12:59:56.617000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-10 18:04:52.009000+05:30,2026-01-10,Saturday,'18:04:52.009000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-11 13:00:25.176000+05:30,2026-01-11,Sunday,'13:00:25.176000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-11 18:05:22.803000+05:30,2026-01-11,Sunday,'18:05:22.803000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-12 18:00:26.728000+05:30,2026-01-12,Monday,'18:00:26.728000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-12 18:05:43.987000+05:30,2026-01-12,Monday,'18:05:43.987000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-13 12:59:50.963000+05:30,2026-01-13,Tuesday,'12:59:50.963000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-13 18:06:26.473000+05:30,2026-01-13,Tuesday,'18:06:26.473000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-14 17:59:47.810000+05:30,2026-01-14,Wednesday,'17:59:47.810000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-14 18:06:45.354000+05:30,2026-01-14,Wednesday,'18:06:45.354000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-15 13:00:26.639000+05:30,2026-01-15,Thursday,'13:00:26.639000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-16 17:59:58.956000+05:30,2026-01-16,Friday,'17:59:58.956000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Sent,system,2026-01-16 18:06:50.315000+05:30,2026-01-16,Friday,'18:06:50.315000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Push Subscribe Process - Device Registered (Push),system,2026-01-09 18:04:28.443000+05:30,2026-01-09,Friday,'18:04:28.443000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,SeatSelection_Click On Back,application,2026-01-09 18:09:31.483000+05:30,2026-01-09,Friday,'18:09:31.483000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,SeatSelection_Click On Back,application,2026-01-09 18:10:06.729000+05:30,2026-01-09,Friday,'18:10:06.729000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Session Started,system,2026-01-09 18:04:27.435000+05:30,2026-01-09,Friday,'18:04:27.435000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,Session Started,system,2026-01-09 18:07:29.764000+05:30,2026-01-09,Friday,'18:07:29.764000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,User Login,system,2026-01-09 18:05:30.176000+05:30,2026-01-09,Friday,'18:05:30.176000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_auth_generate-otp,application,2026-01-09 18:04:51.811000+05:30,2026-01-09,Friday,'18:04:51.811000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_auth_verify-otp,application,2026-01-09 18:05:30.073000+05:30,2026-01-09,Friday,'18:05:30.073000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_list,application,2026-01-09 18:09:16.325000+05:30,2026-01-09,Friday,'18:09:16.325000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_list,application,2026-01-09 18:10:56.131000+05:30,2026-01-09,Friday,'18:10:56.131000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_user-bus-search,application,2026-01-09 18:09:10.488000+05:30,2026-01-09,Friday,'18:09:10.488000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_user-bus-search,application,2026-01-09 18:10:53.647000+05:30,2026-01-09,Friday,'18:10:53.647000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_v2_layout,application,2026-01-09 18:09:32.180000+05:30,2026-01-09,Friday,'18:09:32.180000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_bus-search_v2_layout,application,2026-01-09 18:10:07.280000+05:30,2026-01-09,Friday,'18:10:07.280000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_history_recommended-journey,application,2026-01-09 18:05:57.778000+05:30,2026-01-09,Friday,'18:05:57.778000
17323274-5c3a-4920-bd68-2a3c1e0a7b8b,_history_recommended-journey,application,2026-01-09 18:07:34.389000+05:30,2026-01-09,Friday,'18:07:34.389000
