user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
17ca97ef-510b-4297-9144-cd1eb8581c9d,DeviceInfo,application,2026-01-13 23:24:56.060000+05:30,2026-01-13,Tuesday,'23:24:56.060000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Session Started,system,2026-01-13 23:24:58.300000+05:30,2026-01-13,Tuesday,'23:24:58.300000
17ca97ef-510b-4297-9144-cd1eb8581c9d,App Installed,system,2026-01-13 23:24:58.624000+05:30,2026-01-13,Tuesday,'23:24:58.624000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Push Subscribe Process - Device Registered (Push),system,2026-01-13 23:24:58.821000+05:30,2026-01-13,Tuesday,'23:24:58.821000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Journey Started,system,2026-01-13 23:24:59.089000+05:30,2026-01-13,Tuesday,'23:24:59.089000
17ca97ef-510b-4297-9144-cd1eb8581c9d,app_start,application,2026-01-13 23:25:00.229000+05:30,2026-01-13,Tuesday,'23:25:00.229000
17ca97ef-510b-4297-9144-cd1eb8581c9d,choose_language,application,2026-01-13 23:25:03.407000+05:30,2026-01-13,Tuesday,'23:25:03.407000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Onboarding_Language,application,2026-01-13 23:25:03.449000+05:30,2026-01-13,Tuesday,'23:25:03.449000
17ca97ef-510b-4297-9144-cd1eb8581c9d,choose_language,application,2026-01-13 23:25:03.641000+05:30,2026-01-13,Tuesday,'23:25:03.641000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Onboarding_Language,application,2026-01-13 23:25:03.856000+05:30,2026-01-13,Tuesday,'23:25:03.856000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Journey Ended,system,2026-01-13 23:25:04.559000+05:30,2026-01-13,Tuesday,'23:25:04.559000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Journey Started,system,2026-01-13 23:25:04.559000+05:30,2026-01-13,Tuesday,'23:25:04.559000
17ca97ef-510b-4297-9144-cd1eb8581c9d,Journey Ended,system,2026-01-13 23:25:04.647000+05:30,2026-01-13,Tuesday,'23:25:04.647000
