user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,DeviceInfo,application,2026-01-11 16:00:17.478000+05:30,2026-01-11,Sunday,'16:00:17.478000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Session Started,system,2026-01-11 16:00:17.780000+05:30,2026-01-11,Sunday,'16:00:17.780000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,App Installed,system,2026-01-11 16:00:17.802000+05:30,2026-01-11,Sunday,'16:00:17.802000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,app_start,application,2026-01-11 16:00:18.699000+05:30,2026-01-11,Sunday,'16:00:18.699000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Started,system,2026-01-11 16:00:19.037000+05:30,2026-01-11,Sunday,'16:00:19.037000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Push Subscribe Process - Device Registered (Push),system,2026-01-11 16:00:19.281000+05:30,2026-01-11,Sunday,'16:00:19.281000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,choose_language,application,2026-01-11 16:00:20.669000+05:30,2026-01-11,Sunday,'16:00:20.669000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Onboarding_Language,application,2026-01-11 16:00:20.676000+05:30,2026-01-11,Sunday,'16:00:20.676000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,generate_otp,application,2026-01-11 16:00:36.337000+05:30,2026-01-11,Sunday,'16:00:36.337000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Onboarding_get_otp,application,2026-01-11 16:00:36.346000+05:30,2026-01-11,Sunday,'16:00:36.346000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_auth_generate-otp,application,2026-01-11 16:00:37.424000+05:30,2026-01-11,Sunday,'16:00:37.424000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,get_otp,application,2026-01-11 16:00:37.433000+05:30,2026-01-11,Sunday,'16:00:37.433000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Onboarding_signup_,application,2026-01-11 16:00:37.449000+05:30,2026-01-11,Sunday,'16:00:37.449000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Ended,system,2026-01-11 16:00:38.024000+05:30,2026-01-11,Sunday,'16:00:38.024000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Started,system,2026-01-11 16:00:38.024000+05:30,2026-01-11,Sunday,'16:00:38.024000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,verify_otp,application,2026-01-11 16:00:40.374000+05:30,2026-01-11,Sunday,'16:00:40.374000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_auth_verify-otp,application,2026-01-11 16:00:42.176000+05:30,2026-01-11,Sunday,'16:00:42.176000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,enter_otp,application,2026-01-11 16:00:42.192000+05:30,2026-01-11,Sunday,'16:00:42.192000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,User Login,system,2026-01-11 16:00:42.204000+05:30,2026-01-11,Sunday,'16:00:42.204000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,login,application,2026-01-11 16:00:44.358000+05:30,2026-01-11,Sunday,'16:00:44.358000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_user,application,2026-01-11 16:00:44.363000+05:30,2026-01-11,Sunday,'16:00:44.363000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Onboarding_Profile Saved,application,2026-01-11 16:00:44.368000+05:30,2026-01-11,Sunday,'16:00:44.368000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_from-town,application,2026-01-11 16:00:44.692000+05:30,2026-01-11,Sunday,'16:00:44.692000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_user,application,2026-01-11 16:00:52.463000+05:30,2026-01-11,Sunday,'16:00:52.463000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_history_recommended-journey,application,2026-01-11 16:00:56.075000+05:30,2026-01-11,Sunday,'16:00:56.075000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_user_device,application,2026-01-11 16:00:56.144000+05:30,2026-01-11,Sunday,'16:00:56.144000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_from-town,application,2026-01-11 16:00:56.175000+05:30,2026-01-11,Sunday,'16:00:56.175000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_user,application,2026-01-11 16:00:56.419000+05:30,2026-01-11,Sunday,'16:00:56.419000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_special-town-search,application,2026-01-11 16:00:57.010000+05:30,2026-01-11,Sunday,'16:00:57.010000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_ticket,application,2026-01-11 16:00:57.035000+05:30,2026-01-11,Sunday,'16:00:57.035000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_special-town-search,application,2026-01-11 16:01:01.133000+05:30,2026-01-11,Sunday,'16:01:01.133000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_elastic-town-search,application,2026-01-11 16:01:01.362000+05:30,2026-01-11,Sunday,'16:01:01.362000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_special-town-search,application,2026-01-11 16:01:16.309000+05:30,2026-01-11,Sunday,'16:01:16.309000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Buslist_date change,application,2026-01-11 16:01:29.098000+05:30,2026-01-11,Sunday,'16:01:29.098000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_user,application,2026-01-11 16:01:29.615000+05:30,2026-01-11,Sunday,'16:01:29.615000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,pageview_bus_list,application,2026-01-11 16:01:29.632000+05:30,2026-01-11,Sunday,'16:01:29.632000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_bus-search_user-bus-search,application,2026-01-11 16:01:29.847000+05:30,2026-01-11,Sunday,'16:01:29.847000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_bus-search_list,application,2026-01-11 16:01:31.839000+05:30,2026-01-11,Sunday,'16:01:31.839000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_rewards_best-V2,application,2026-01-11 16:01:32.972000+05:30,2026-01-11,Sunday,'16:01:32.972000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Buslist_date change,application,2026-01-11 16:01:32.983000+05:30,2026-01-11,Sunday,'16:01:32.983000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,bus_search,application,2026-01-11 16:01:32.996000+05:30,2026-01-11,Sunday,'16:01:32.996000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,bus_result,application,2026-01-11 16:01:33.005000+05:30,2026-01-11,Sunday,'16:01:33.005000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Buslist_bus_selection,application,2026-01-11 16:02:25.899000+05:30,2026-01-11,Sunday,'16:02:25.899000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,bus_detail,application,2026-01-11 16:02:25.940000+05:30,2026-01-11,Sunday,'16:02:25.940000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,pageview_seat_selection,application,2026-01-11 16:02:25.965000+05:30,2026-01-11,Sunday,'16:02:25.965000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,SeatSelection_Click On Back,application,2026-01-11 16:02:25.970000+05:30,2026-01-11,Sunday,'16:02:25.970000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_profile,application,2026-01-11 16:02:26.448000+05:30,2026-01-11,Sunday,'16:02:26.448000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Started,system,2026-01-11 16:02:27.324000+05:30,2026-01-11,Sunday,'16:02:27.324000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Ended,system,2026-01-11 16:02:27.522000+05:30,2026-01-11,Sunday,'16:02:27.522000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Started,system,2026-01-11 16:02:27.524000+05:30,2026-01-11,Sunday,'16:02:27.524000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_bus-search_v2_layout,application,2026-01-11 16:02:29.066000+05:30,2026-01-11,Sunday,'16:02:29.066000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_bus-search_user-bus-search,application,2026-01-11 16:02:29.278000+05:30,2026-01-11,Sunday,'16:02:29.278000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_bus-search_list,application,2026-01-11 16:02:30.612000+05:30,2026-01-11,Sunday,'16:02:30.612000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_rewards_best-V2,application,2026-01-11 16:02:30.852000+05:30,2026-01-11,Sunday,'16:02:30.852000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Buslist_date change,application,2026-01-11 16:02:30.867000+05:30,2026-01-11,Sunday,'16:02:30.867000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,bus_search,application,2026-01-11 16:02:30.879000+05:30,2026-01-11,Sunday,'16:02:30.879000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,bus_result,application,2026-01-11 16:02:30.886000+05:30,2026-01-11,Sunday,'16:02:30.886000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,Journey Started,system,2026-01-11 16:03:05.014000+05:30,2026-01-11,Sunday,'16:03:05.014000
181f8858-9373-4d75-8fa8-2ea0c5e8f9f3,_location_special-town-search,application,2026-01-11 16:03:37.906000+05:30,2026-01-11,Sunday,'16:03:37.906000
