user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
18e9db3f-4d3c-44d8-8546-3b26052493fc,DeviceInfo,application,2026-01-09 07:29:16.603000+05:30,2026-01-09,Friday,'07:29:16.603000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Session Started,system,2026-01-09 07:29:16.941000+05:30,2026-01-09,Friday,'07:29:16.941000
18e9db3f-4d3c-44d8-8546-3b26052493fc,App Installed,system,2026-01-09 07:29:16.942000+05:30,2026-01-09,Friday,'07:29:16.942000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Journey Started,system,2026-01-09 07:29:16.954000+05:30,2026-01-09,Friday,'07:29:16.954000
18e9db3f-4d3c-44d8-8546-3b26052493fc,app_start,application,2026-01-09 07:29:18.229000+05:30,2026-01-09,Friday,'07:29:18.229000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Push Subscribe Process - Device Registered (Push),system,2026-01-09 07:29:18.232000+05:30,2026-01-09,Friday,'07:29:18.232000
18e9db3f-4d3c-44d8-8546-3b26052493fc,choose_language,application,2026-01-09 07:29:21.055000+05:30,2026-01-09,Friday,'07:29:21.055000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Onboarding_Language,application,2026-01-09 07:29:21.055000+05:30,2026-01-09,Friday,'07:29:21.055000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Journey Ended,system,2026-01-09 07:29:21.080000+05:30,2026-01-09,Friday,'07:29:21.080000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Journey Started,system,2026-01-09 07:29:21.080000+05:30,2026-01-09,Friday,'07:29:21.080000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Journey Ended,system,2026-01-09 07:29:21.152000+05:30,2026-01-09,Friday,'07:29:21.152000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Journey Started,system,2026-01-09 07:29:21.152000+05:30,2026-01-09,Friday,'07:29:21.152000
18e9db3f-4d3c-44d8-8546-3b26052493fc,Onboarding_get_otp,application,2026-01-09 07:29:29.926000+05:30,2026-01-09,Friday,'07:29:29.926000
18e9db3f-4d3c-44d8-8546-3b26052493fc,generate_otp,application,2026-01-09 07:29:29.926000+05:30,2026-01-09,Friday,'07:29:29.926000
