user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
1a1d3d4f-ac99-4948-af68-38354ece56c4,DeviceInfo,application,2026-01-09 19:58:59.391000+05:30,2026-01-09,Friday,'19:58:59.391000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Session Started,system,2026-01-09 19:58:59.783000+05:30,2026-01-09,Friday,'19:58:59.783000
1a1d3d4f-ac99-4948-af68-38354ece56c4,App Installed,system,2026-01-09 19:58:59.857000+05:30,2026-01-09,Friday,'19:58:59.857000
1a1d3d4f-ac99-4948-af68-38354ece56c4,app_start,application,2026-01-09 19:59:00.573000+05:30,2026-01-09,Friday,'19:59:00.573000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Journey Started,system,2026-01-09 19:59:00.730000+05:30,2026-01-09,Friday,'19:59:00.730000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Push Subscribe Process - Device Registered (Push),system,2026-01-09 19:59:00.891000+05:30,2026-01-09,Friday,'19:59:00.891000
1a1d3d4f-ac99-4948-af68-38354ece56c4,choose_language,application,2026-01-09 19:59:03.385000+05:30,2026-01-09,Friday,'19:59:03.385000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Onboarding_Language,application,2026-01-09 19:59:03.406000+05:30,2026-01-09,Friday,'19:59:03.406000
1a1d3d4f-ac99-4948-af68-38354ece56c4,generate_otp,application,2026-01-09 19:59:15.681000+05:30,2026-01-09,Friday,'19:59:15.681000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Onboarding_get_otp,application,2026-01-09 19:59:15.702000+05:30,2026-01-09,Friday,'19:59:15.702000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Journey Ended,system,2026-01-09 19:59:15.904000+05:30,2026-01-09,Friday,'19:59:15.904000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Journey Started,system,2026-01-09 19:59:15.904000+05:30,2026-01-09,Friday,'19:59:15.904000
1a1d3d4f-ac99-4948-af68-38354ece56c4,_auth_generate-otp,application,2026-01-09 19:59:16.896000+05:30,2026-01-09,Friday,'19:59:16.896000
1a1d3d4f-ac99-4948-af68-38354ece56c4,get_otp,application,2026-01-09 19:59:16.925000+05:30,2026-01-09,Friday,'19:59:16.925000
1a1d3d4f-ac99-4948-af68-38354ece56c4,Onboarding_signup_,application,2026-01-09 19:59:16.936000+05:30,2026-01-09,Friday,'19:59:16.936000
1a1d3d4f-ac99-4948-af68-38354ece56c4,verify_otp,application,2026-01-09 19:59:36.007000+05:30,2026-01-09,Friday,'19:59:36.007000
