user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
1bc5695a-a398-4eae-97ac-04f08a516a29,DeviceInfo,application,2026-01-05 18:19:31.412000+05:30,2026-01-05,Monday,'18:19:31.412000
1bc5695a-a398-4eae-97ac-04f08a516a29,App Installed,system,2026-01-05 18:19:31.702000+05:30,2026-01-05,Monday,'18:19:31.702000
1bc5695a-a398-4eae-97ac-04f08a516a29,Session Started,system,2026-01-05 18:19:31.702000+05:30,2026-01-05,Monday,'18:19:31.702000
1bc5695a-a398-4eae-97ac-04f08a516a29,Journey Started,system,2026-01-05 18:19:31.726000+05:30,2026-01-05,Monday,'18:19:31.726000
1bc5695a-a398-4eae-97ac-04f08a516a29,app_start,application,2026-01-05 18:19:32.692000+05:30,2026-01-05,Monday,'18:19:32.692000
1bc5695a-a398-4eae-97ac-04f08a516a29,Push Subscribe Process - Device Registered (Push),system,2026-01-05 18:19:33.195000+05:30,2026-01-05,Monday,'18:19:33.195000
1bc5695a-a398-4eae-97ac-04f08a516a29,Session Started,system,2026-01-06 11:57:23.587000+05:30,2026-01-06,Tuesday,'11:57:23.587000
1bc5695a-a398-4eae-97ac-04f08a516a29,choose_language,application,2026-01-06 11:57:26.517000+05:30,2026-01-06,Tuesday,'11:57:26.517000
1bc5695a-a398-4eae-97ac-04f08a516a29,Onboarding_Language,application,2026-01-06 11:57:26.517000+05:30,2026-01-06,Tuesday,'11:57:26.517000
1bc5695a-a398-4eae-97ac-04f08a516a29,Journey Ended,system,2026-01-06 11:57:27.273000+05:30,2026-01-06,Tuesday,'11:57:27.273000
1bc5695a-a398-4eae-97ac-04f08a516a29,Journey Started,system,2026-01-06 11:57:27.273000+05:30,2026-01-06,Tuesday,'11:57:27.273000
1bc5695a-a398-4eae-97ac-04f08a516a29,generate_otp,application,2026-01-06 11:57:32.149000+05:30,2026-01-06,Tuesday,'11:57:32.149000
1bc5695a-a398-4eae-97ac-04f08a516a29,Onboarding_get_otp,application,2026-01-06 11:57:32.149000+05:30,2026-01-06,Tuesday,'11:57:32.149000
1bc5695a-a398-4eae-97ac-04f08a516a29,generate_otp,application,2026-01-06 11:57:43.251000+05:30,2026-01-06,Tuesday,'11:57:43.251000
1bc5695a-a398-4eae-97ac-04f08a516a29,Onboarding_get_otp,application,2026-01-06 11:57:43.252000+05:30,2026-01-06,Tuesday,'11:57:43.252000
1bc5695a-a398-4eae-97ac-04f08a516a29,_auth_generate-otp,application,2026-01-06 11:57:44.791000+05:30,2026-01-06,Tuesday,'11:57:44.791000
1bc5695a-a398-4eae-97ac-04f08a516a29,get_otp,application,2026-01-06 11:57:44.828000+05:30,2026-01-06,Tuesday,'11:57:44.828000
1bc5695a-a398-4eae-97ac-04f08a516a29,Onboarding_signup_,application,2026-01-06 11:57:44.836000+05:30,2026-01-06,Tuesday,'11:57:44.836000
1bc5695a-a398-4eae-97ac-04f08a516a29,_auth_verify-otp,application,2026-01-06 11:57:48.533000+05:30,2026-01-06,Tuesday,'11:57:48.533000
1bc5695a-a398-4eae-97ac-04f08a516a29,verify_otp,application,2026-01-06 11:57:48.533000+05:30,2026-01-06,Tuesday,'11:57:48.533000
1bc5695a-a398-4eae-97ac-04f08a516a29,enter_otp,application,2026-01-06 11:57:48.727000+05:30,2026-01-06,Tuesday,'11:57:48.727000
1bc5695a-a398-4eae-97ac-04f08a516a29,User Login,system,2026-01-06 11:57:48.841000+05:30,2026-01-06,Tuesday,'11:57:48.841000
1bc5695a-a398-4eae-97ac-04f08a516a29,login,application,2026-01-06 11:57:49.021000+05:30,2026-01-06,Tuesday,'11:57:49.021000
1bc5695a-a398-4eae-97ac-04f08a516a29,_user,application,2026-01-06 11:57:49.026000+05:30,2026-01-06,Tuesday,'11:57:49.026000
1bc5695a-a398-4eae-97ac-04f08a516a29,_location_from-town,application,2026-01-06 11:57:49.309000+05:30,2026-01-06,Tuesday,'11:57:49.309000
1bc5695a-a398-4eae-97ac-04f08a516a29,Onboarding_Profile Saved,application,2026-01-06 11:57:49.963000+05:30,2026-01-06,Tuesday,'11:57:49.963000
1bc5695a-a398-4eae-97ac-04f08a516a29,_user,application,2026-01-06 11:58:00.987000+05:30,2026-01-06,Tuesday,'11:58:00.987000
1bc5695a-a398-4eae-97ac-04f08a516a29,_history_recommended-journey,application,2026-01-06 11:58:02.367000+05:30,2026-01-06,Tuesday,'11:58:02.367000
1bc5695a-a398-4eae-97ac-04f08a516a29,_user_device,application,2026-01-06 11:58:02.368000+05:30,2026-01-06,Tuesday,'11:58:02.368000
1bc5695a-a398-4eae-97ac-04f08a516a29,_user,application,2026-01-06 11:58:02.368000+05:30,2026-01-06,Tuesday,'11:58:02.368000
1bc5695a-a398-4eae-97ac-04f08a516a29,_location_from-town,application,2026-01-06 11:58:02.368000+05:30,2026-01-06,Tuesday,'11:58:02.368000
