user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,DeviceInfo,application,2026-01-10 22:35:14.246000+05:30,2026-01-10,Saturday,'22:35:14.246000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Session Started,system,2026-01-10 22:35:19.809000+05:30,2026-01-10,Saturday,'22:35:19.809000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,App Installed,system,2026-01-10 22:35:19.827000+05:30,2026-01-10,Saturday,'22:35:19.827000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Push Subscribe Process - Device Registered (Push),system,2026-01-10 22:35:19.842000+05:30,2026-01-10,Saturday,'22:35:19.842000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,app_start,application,2026-01-10 22:35:21.941000+05:30,2026-01-10,Saturday,'22:35:21.941000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,choose_language,application,2026-01-10 22:35:24.485000+05:30,2026-01-10,Saturday,'22:35:24.485000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_Language,application,2026-01-10 22:35:24.492000+05:30,2026-01-10,Saturday,'22:35:24.492000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,generate_otp,application,2026-01-10 22:35:32.156000+05:30,2026-01-10,Saturday,'22:35:32.156000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_get_otp,application,2026-01-10 22:35:32.165000+05:30,2026-01-10,Saturday,'22:35:32.165000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Journey Started,system,2026-01-10 22:35:34.451000+05:30,2026-01-10,Saturday,'22:35:34.451000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Journey Ended,system,2026-01-10 22:35:34.452000+05:30,2026-01-10,Saturday,'22:35:34.452000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,_auth_generate-otp,application,2026-01-10 22:35:36.035000+05:30,2026-01-10,Saturday,'22:35:36.035000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,get_otp,application,2026-01-10 22:35:36.047000+05:30,2026-01-10,Saturday,'22:35:36.047000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_signup_,application,2026-01-10 22:35:36.050000+05:30,2026-01-10,Saturday,'22:35:36.050000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_backpressed,application,2026-01-10 22:36:02.926000+05:30,2026-01-10,Saturday,'22:36:02.926000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,generate_otp,application,2026-01-10 22:36:16.654000+05:30,2026-01-10,Saturday,'22:36:16.654000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_get_otp,application,2026-01-10 22:36:16.661000+05:30,2026-01-10,Saturday,'22:36:16.661000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,_auth_generate-otp,application,2026-01-10 22:36:20.505000+05:30,2026-01-10,Saturday,'22:36:20.505000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,get_otp,application,2026-01-10 22:36:20.512000+05:30,2026-01-10,Saturday,'22:36:20.512000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,Onboarding_signup_,application,2026-01-10 22:36:20.524000+05:30,2026-01-10,Saturday,'22:36:20.524000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,verify_otp,application,2026-01-10 22:36:22.644000+05:30,2026-01-10,Saturday,'22:36:22.644000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,_auth_verify-otp,application,2026-01-10 22:36:23.292000+05:30,2026-01-10,Saturday,'22:36:23.292000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,enter_otp,application,2026-01-10 22:36:23.311000+05:30,2026-01-10,Saturday,'22:36:23.311000
1ca3a38e-53d9-4d2d-9028-8b392b6060ea,User Login,system,2026-01-10 22:36:23.322000+05:30,2026-01-10,Saturday,'22:36:23.322000
