user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,DeviceInfo,application,2026-01-10 15:11:35.323000+05:30,2026-01-10,Saturday,'15:11:35.323000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Session Started,system,2026-01-10 15:11:36.214000+05:30,2026-01-10,Saturday,'15:11:36.214000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,App Installed,system,2026-01-10 15:11:36.266000+05:30,2026-01-10,Saturday,'15:11:36.266000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Subscribe Process - Device Registered (Push),system,2026-01-10 15:11:37.096000+05:30,2026-01-10,Saturday,'15:11:37.096000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Started,system,2026-01-10 15:11:37.629000+05:30,2026-01-10,Saturday,'15:11:37.629000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,app_start,application,2026-01-10 15:11:38.468000+05:30,2026-01-10,Saturday,'15:11:38.468000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,choose_language,application,2026-01-10 15:11:43.297000+05:30,2026-01-10,Saturday,'15:11:43.297000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_Language,application,2026-01-10 15:11:43.341000+05:30,2026-01-10,Saturday,'15:11:43.341000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,choose_language,application,2026-01-10 15:11:43.387000+05:30,2026-01-10,Saturday,'15:11:43.387000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_Language,application,2026-01-10 15:11:43.411000+05:30,2026-01-10,Saturday,'15:11:43.411000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,choose_language,application,2026-01-10 15:11:44.460000+05:30,2026-01-10,Saturday,'15:11:44.460000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_Language,application,2026-01-10 15:11:44.476000+05:30,2026-01-10,Saturday,'15:11:44.476000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Started,system,2026-01-10 15:11:44.710000+05:30,2026-01-10,Saturday,'15:11:44.710000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Ended,system,2026-01-10 15:11:44.711000+05:30,2026-01-10,Saturday,'15:11:44.711000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Started,system,2026-01-10 15:11:44.728000+05:30,2026-01-10,Saturday,'15:11:44.728000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Ended,system,2026-01-10 15:11:44.728000+05:30,2026-01-10,Saturday,'15:11:44.728000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,generate_otp,application,2026-01-10 15:11:55.134000+05:30,2026-01-10,Saturday,'15:11:55.134000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_get_otp,application,2026-01-10 15:11:55.236000+05:30,2026-01-10,Saturday,'15:11:55.236000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Ended,system,2026-01-10 15:11:56.299000+05:30,2026-01-10,Saturday,'15:11:56.299000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Journey Started,system,2026-01-10 15:11:56.299000+05:30,2026-01-10,Saturday,'15:11:56.299000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_auth_generate-otp,application,2026-01-10 15:11:56.474000+05:30,2026-01-10,Saturday,'15:11:56.474000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,get_otp,application,2026-01-10 15:11:56.499000+05:30,2026-01-10,Saturday,'15:11:56.499000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_signup_,application,2026-01-10 15:11:56.571000+05:30,2026-01-10,Saturday,'15:11:56.571000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,verify_otp,application,2026-01-10 15:12:08.605000+05:30,2026-01-10,Saturday,'15:12:08.605000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_auth_verify-otp,application,2026-01-10 15:12:08.918000+05:30,2026-01-10,Saturday,'15:12:08.918000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,enter_otp,application,2026-01-10 15:12:08.957000+05:30,2026-01-10,Saturday,'15:12:08.957000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,User Login,system,2026-01-10 15:12:09.008000+05:30,2026-01-10,Saturday,'15:12:09.008000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,login,application,2026-01-10 15:12:09.410000+05:30,2026-01-10,Saturday,'15:12:09.410000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_user,application,2026-01-10 15:12:09.425000+05:30,2026-01-10,Saturday,'15:12:09.425000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_from-town,application,2026-01-10 15:12:09.796000+05:30,2026-01-10,Saturday,'15:12:09.796000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Onboarding_Profile Saved,application,2026-01-10 15:12:10.707000+05:30,2026-01-10,Saturday,'15:12:10.707000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_user,application,2026-01-10 15:12:20.254000+05:30,2026-01-10,Saturday,'15:12:20.254000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_history_recommended-journey,application,2026-01-10 15:12:22.665000+05:30,2026-01-10,Saturday,'15:12:22.665000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_user,application,2026-01-10 15:12:22.746000+05:30,2026-01-10,Saturday,'15:12:22.746000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_from-town,application,2026-01-10 15:12:22.759000+05:30,2026-01-10,Saturday,'15:12:22.759000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_user_device,application,2026-01-10 15:12:22.780000+05:30,2026-01-10,Saturday,'15:12:22.780000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_ticket,application,2026-01-10 15:12:23.038000+05:30,2026-01-10,Saturday,'15:12:23.038000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_special-town-search,application,2026-01-10 15:12:23.142000+05:30,2026-01-10,Saturday,'15:12:23.142000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_elastic-town-search,application,2026-01-10 15:12:27.846000+05:30,2026-01-10,Saturday,'15:12:27.846000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_special-town-search,application,2026-01-10 15:13:45.302000+05:30,2026-01-10,Saturday,'15:13:45.302000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,_location_elastic-town-search,application,2026-01-10 15:13:45.625000+05:30,2026-01-10,Saturday,'15:13:45.625000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Sent,system,2026-01-11 12:59:53.903000+05:30,2026-01-11,Sunday,'12:59:53.903000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Delivered,system,2026-01-11 12:59:54.968000+05:30,2026-01-11,Sunday,'12:59:54.968000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Impression,system,2026-01-11 12:59:55.001000+05:30,2026-01-11,Sunday,'12:59:55.001000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Click,system,2026-01-11 13:22:40.204000+05:30,2026-01-11,Sunday,'13:22:40.204000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Session Started,system,2026-01-11 13:22:42.507000+05:30,2026-01-11,Sunday,'13:22:42.507000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Sent,system,2026-01-12 18:00:20.260000+05:30,2026-01-12,Monday,'18:00:20.260000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Delivered,system,2026-01-12 18:00:21.162000+05:30,2026-01-12,Monday,'18:00:21.162000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Impression,system,2026-01-12 18:00:21.193000+05:30,2026-01-12,Monday,'18:00:21.193000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Sent,system,2026-01-13 12:59:22.566000+05:30,2026-01-13,Tuesday,'12:59:22.566000
1e285caa-aeba-4986-b0f9-4281f2ab7b2f,Push Delivered,system,2026-01-14 17:59:16.904000+05:30,2026-01-14,Wednesday,'17:59:16.904000
