user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
21cc5e97-a59a-4751-b212-9857fd80919a,DeviceInfo,application,2026-01-11 11:38:32.242000+05:30,2026-01-11,Sunday,'11:38:32.242000
21cc5e97-a59a-4751-b212-9857fd80919a,Session Started,system,2026-01-11 11:38:33.830000+05:30,2026-01-11,Sunday,'11:38:33.830000
21cc5e97-a59a-4751-b212-9857fd80919a,App Installed,system,2026-01-11 11:38:33.861000+05:30,2026-01-11,Sunday,'11:38:33.861000
21cc5e97-a59a-4751-b212-9857fd80919a,Push Subscribe Process - Device Registered (Push),system,2026-01-11 11:38:34.377000+05:30,2026-01-11,Sunday,'11:38:34.377000
21cc5e97-a59a-4751-b212-9857fd80919a,Journey Started,system,2026-01-11 11:38:35.583000+05:30,2026-01-11,Sunday,'11:38:35.583000
21cc5e97-a59a-4751-b212-9857fd80919a,app_start,application,2026-01-11 11:38:37.188000+05:30,2026-01-11,Sunday,'11:38:37.188000
21cc5e97-a59a-4751-b212-9857fd80919a,choose_language,application,2026-01-11 11:38:51.005000+05:30,2026-01-11,Sunday,'11:38:51.005000
21cc5e97-a59a-4751-b212-9857fd80919a,Onboarding_Language,application,2026-01-11 11:38:51.026000+05:30,2026-01-11,Sunday,'11:38:51.026000
21cc5e97-a59a-4751-b212-9857fd80919a,generate_otp,application,2026-01-11 11:39:04.425000+05:30,2026-01-11,Sunday,'11:39:04.425000
21cc5e97-a59a-4751-b212-9857fd80919a,Onboarding_get_otp,application,2026-01-11 11:39:04.463000+05:30,2026-01-11,Sunday,'11:39:04.463000
21cc5e97-a59a-4751-b212-9857fd80919a,_auth_generate-otp,application,2026-01-11 11:39:06.807000+05:30,2026-01-11,Sunday,'11:39:06.807000
21cc5e97-a59a-4751-b212-9857fd80919a,get_otp,application,2026-01-11 11:39:06.819000+05:30,2026-01-11,Sunday,'11:39:06.819000
21cc5e97-a59a-4751-b212-9857fd80919a,Onboarding_signup_,application,2026-01-11 11:39:06.846000+05:30,2026-01-11,Sunday,'11:39:06.846000
21cc5e97-a59a-4751-b212-9857fd80919a,Journey Ended,system,2026-01-11 11:39:08.232000+05:30,2026-01-11,Sunday,'11:39:08.232000
21cc5e97-a59a-4751-b212-9857fd80919a,Journey Started,system,2026-01-11 11:39:08.232000+05:30,2026-01-11,Sunday,'11:39:08.232000
21cc5e97-a59a-4751-b212-9857fd80919a,verify_otp,application,2026-01-11 11:39:13.226000+05:30,2026-01-11,Sunday,'11:39:13.226000
21cc5e97-a59a-4751-b212-9857fd80919a,_auth_verify-otp,application,2026-01-11 11:39:14.545000+05:30,2026-01-11,Sunday,'11:39:14.545000
21cc5e97-a59a-4751-b212-9857fd80919a,enter_otp,application,2026-01-11 11:39:14.564000+05:30,2026-01-11,Sunday,'11:39:14.564000
21cc5e97-a59a-4751-b212-9857fd80919a,User Login,system,2026-01-11 11:39:14.620000+05:30,2026-01-11,Sunday,'11:39:14.620000
21cc5e97-a59a-4751-b212-9857fd80919a,login,application,2026-01-11 11:39:24.187000+05:30,2026-01-11,Sunday,'11:39:24.187000
21cc5e97-a59a-4751-b212-9857fd80919a,Onboarding_Profile Saved,application,2026-01-11 11:39:24.219000+05:30,2026-01-11,Sunday,'11:39:24.219000
21cc5e97-a59a-4751-b212-9857fd80919a,_user,application,2026-01-11 11:39:24.525000+05:30,2026-01-11,Sunday,'11:39:24.525000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_from-town,application,2026-01-11 11:39:28.252000+05:30,2026-01-11,Sunday,'11:39:28.252000
21cc5e97-a59a-4751-b212-9857fd80919a,_user,application,2026-01-11 11:39:38.101000+05:30,2026-01-11,Sunday,'11:39:38.101000
21cc5e97-a59a-4751-b212-9857fd80919a,_history_recommended-journey,application,2026-01-11 11:39:48.443000+05:30,2026-01-11,Sunday,'11:39:48.443000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_from-town,application,2026-01-11 11:39:50.125000+05:30,2026-01-11,Sunday,'11:39:50.125000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_special-town-search,application,2026-01-11 11:39:51.023000+05:30,2026-01-11,Sunday,'11:39:51.023000
21cc5e97-a59a-4751-b212-9857fd80919a,_user_device,application,2026-01-11 11:39:52.644000+05:30,2026-01-11,Sunday,'11:39:52.644000
21cc5e97-a59a-4751-b212-9857fd80919a,_user,application,2026-01-11 11:39:53.545000+05:30,2026-01-11,Sunday,'11:39:53.545000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_elastic-town-search,application,2026-01-11 11:39:54.080000+05:30,2026-01-11,Sunday,'11:39:54.080000
21cc5e97-a59a-4751-b212-9857fd80919a,_ticket,application,2026-01-11 11:39:54.099000+05:30,2026-01-11,Sunday,'11:39:54.099000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_special-town-search,application,2026-01-11 11:39:55.229000+05:30,2026-01-11,Sunday,'11:39:55.229000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_elastic-town-search,application,2026-01-11 11:39:55.404000+05:30,2026-01-11,Sunday,'11:39:55.404000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_special-town-search,application,2026-01-11 11:40:17.961000+05:30,2026-01-11,Sunday,'11:40:17.961000
21cc5e97-a59a-4751-b212-9857fd80919a,_location_elastic-town-search,application,2026-01-11 11:40:20.711000+05:30,2026-01-11,Sunday,'11:40:20.711000
21cc5e97-a59a-4751-b212-9857fd80919a,Push Failure,system,2026-01-12 11:38:59.566000+05:30,2026-01-12,Monday,'11:38:59.566000
