user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,DeviceInfo,application,2026-01-12 13:49:31.356000+05:30,2026-01-12,Monday,'13:49:31.356000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Session Started,system,2026-01-12 13:49:32.252000+05:30,2026-01-12,Monday,'13:49:32.252000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,App Installed,system,2026-01-12 13:49:32.352000+05:30,2026-01-12,Monday,'13:49:32.352000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Journey Started,system,2026-01-12 13:49:32.616000+05:30,2026-01-12,Monday,'13:49:32.616000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Push Subscribe Process - Device Registered (Push),system,2026-01-12 13:49:33.928000+05:30,2026-01-12,Monday,'13:49:33.928000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,app_start,application,2026-01-12 13:49:34.298000+05:30,2026-01-12,Monday,'13:49:34.298000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,choose_language,application,2026-01-12 13:49:38.337000+05:30,2026-01-12,Monday,'13:49:38.337000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Onboarding_Language,application,2026-01-12 13:49:38.353000+05:30,2026-01-12,Monday,'13:49:38.353000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,generate_otp,application,2026-01-12 13:49:52.647000+05:30,2026-01-12,Monday,'13:49:52.647000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Onboarding_get_otp,application,2026-01-12 13:49:52.670000+05:30,2026-01-12,Monday,'13:49:52.670000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_auth_generate-otp,application,2026-01-12 13:49:54.497000+05:30,2026-01-12,Monday,'13:49:54.497000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,get_otp,application,2026-01-12 13:49:54.534000+05:30,2026-01-12,Monday,'13:49:54.534000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Onboarding_signup_,application,2026-01-12 13:49:54.566000+05:30,2026-01-12,Monday,'13:49:54.566000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Journey Started,system,2026-01-12 13:49:54.749000+05:30,2026-01-12,Monday,'13:49:54.749000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Journey Ended,system,2026-01-12 13:49:54.749000+05:30,2026-01-12,Monday,'13:49:54.749000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,verify_otp,application,2026-01-12 13:49:56.237000+05:30,2026-01-12,Monday,'13:49:56.237000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_auth_verify-otp,application,2026-01-12 13:49:56.529000+05:30,2026-01-12,Monday,'13:49:56.529000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,enter_otp,application,2026-01-12 13:49:56.579000+05:30,2026-01-12,Monday,'13:49:56.579000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,User Login,system,2026-01-12 13:49:56.612000+05:30,2026-01-12,Monday,'13:49:56.612000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,login,application,2026-01-12 13:49:57.822000+05:30,2026-01-12,Monday,'13:49:57.822000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_user,application,2026-01-12 13:49:57.840000+05:30,2026-01-12,Monday,'13:49:57.840000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_location_from-town,application,2026-01-12 13:49:58.187000+05:30,2026-01-12,Monday,'13:49:58.187000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Onboarding_Profile Saved,application,2026-01-12 13:50:09.205000+05:30,2026-01-12,Monday,'13:50:09.205000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_user,application,2026-01-12 13:50:18.851000+05:30,2026-01-12,Monday,'13:50:18.851000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_history_recommended-journey,application,2026-01-12 13:50:22.169000+05:30,2026-01-12,Monday,'13:50:22.169000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_location_from-town,application,2026-01-12 13:50:22.212000+05:30,2026-01-12,Monday,'13:50:22.212000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_user_device,application,2026-01-12 13:50:22.242000+05:30,2026-01-12,Monday,'13:50:22.242000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_user,application,2026-01-12 13:50:22.309000+05:30,2026-01-12,Monday,'13:50:22.309000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_location_special-town-search,application,2026-01-12 13:50:22.488000+05:30,2026-01-12,Monday,'13:50:22.488000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_ticket,application,2026-01-12 13:50:22.612000+05:30,2026-01-12,Monday,'13:50:22.612000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_location_special-town-search,application,2026-01-12 13:50:30.945000+05:30,2026-01-12,Monday,'13:50:30.945000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_location_elastic-town-search,application,2026-01-12 13:50:35.688000+05:30,2026-01-12,Monday,'13:50:35.688000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,Buslist_date change,application,2026-01-12 13:50:50.691000+05:30,2026-01-12,Monday,'13:50:50.691000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_user,application,2026-01-12 13:50:51.061000+05:30,2026-01-12,Monday,'13:50:51.061000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,pageview_bus_list,application,2026-01-12 13:50:51.095000+05:30,2026-01-12,Monday,'13:50:51.095000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_bus-search_user-bus-search,application,2026-01-12 13:50:51.266000+05:30,2026-01-12,Monday,'13:50:51.266000
21d35d25-7ff9-4fe4-b12e-7eb123f102fb,_bus-search_list,application,2026-01-12 13:50:52.859000+05:30,2026-01-12,Monday,'13:50:52.859000
