user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
224ceb9a-b243-4d22-9f15-0c40f91e6775,DeviceInfo,application,2026-01-11 10:19:33.301000+05:30,2026-01-11,Sunday,'10:19:33.301000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Session Started,system,2026-01-11 10:19:33.737000+05:30,2026-01-11,Sunday,'10:19:33.737000
224ceb9a-b243-4d22-9f15-0c40f91e6775,App Installed,system,2026-01-11 10:19:33.834000+05:30,2026-01-11,Sunday,'10:19:33.834000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:34.155000+05:30,2026-01-11,Sunday,'10:19:34.155000
224ceb9a-b243-4d22-9f15-0c40f91e6775,app_start,application,2026-01-11 10:19:34.388000+05:30,2026-01-11,Sunday,'10:19:34.388000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Push Subscribe Process - Device Registered (Push),system,2026-01-11 10:19:35.013000+05:30,2026-01-11,Sunday,'10:19:35.013000
224ceb9a-b243-4d22-9f15-0c40f91e6775,choose_language,application,2026-01-11 10:19:38.025000+05:30,2026-01-11,Sunday,'10:19:38.025000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_Language,application,2026-01-11 10:19:38.040000+05:30,2026-01-11,Sunday,'10:19:38.040000
224ceb9a-b243-4d22-9f15-0c40f91e6775,choose_language,application,2026-01-11 10:19:38.109000+05:30,2026-01-11,Sunday,'10:19:38.109000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_Language,application,2026-01-11 10:19:38.121000+05:30,2026-01-11,Sunday,'10:19:38.121000
224ceb9a-b243-4d22-9f15-0c40f91e6775,choose_language,application,2026-01-11 10:19:38.148000+05:30,2026-01-11,Sunday,'10:19:38.148000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_Language,application,2026-01-11 10:19:38.159000+05:30,2026-01-11,Sunday,'10:19:38.159000
224ceb9a-b243-4d22-9f15-0c40f91e6775,choose_language,application,2026-01-11 10:19:38.175000+05:30,2026-01-11,Sunday,'10:19:38.175000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_Language,application,2026-01-11 10:19:38.185000+05:30,2026-01-11,Sunday,'10:19:38.185000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:38.559000+05:30,2026-01-11,Sunday,'10:19:38.559000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Ended,system,2026-01-11 10:19:38.560000+05:30,2026-01-11,Sunday,'10:19:38.560000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:38.563000+05:30,2026-01-11,Sunday,'10:19:38.563000
224ceb9a-b243-4d22-9f15-0c40f91e6775,choose_language,application,2026-01-11 10:19:38.722000+05:30,2026-01-11,Sunday,'10:19:38.722000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_Language,application,2026-01-11 10:19:38.800000+05:30,2026-01-11,Sunday,'10:19:38.800000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:38.975000+05:30,2026-01-11,Sunday,'10:19:38.975000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Ended,system,2026-01-11 10:19:38.975000+05:30,2026-01-11,Sunday,'10:19:38.975000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:38.977000+05:30,2026-01-11,Sunday,'10:19:38.977000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Ended,system,2026-01-11 10:19:38.982000+05:30,2026-01-11,Sunday,'10:19:38.982000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Journey Started,system,2026-01-11 10:19:38.982000+05:30,2026-01-11,Sunday,'10:19:38.982000
224ceb9a-b243-4d22-9f15-0c40f91e6775,generate_otp,application,2026-01-11 10:19:45.970000+05:30,2026-01-11,Sunday,'10:19:45.970000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_get_otp,application,2026-01-11 10:19:45.982000+05:30,2026-01-11,Sunday,'10:19:45.982000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_auth_generate-otp,application,2026-01-11 10:19:46.762000+05:30,2026-01-11,Sunday,'10:19:46.762000
224ceb9a-b243-4d22-9f15-0c40f91e6775,get_otp,application,2026-01-11 10:19:46.777000+05:30,2026-01-11,Sunday,'10:19:46.777000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_signup_,application,2026-01-11 10:19:46.788000+05:30,2026-01-11,Sunday,'10:19:46.788000
224ceb9a-b243-4d22-9f15-0c40f91e6775,resend_otp,application,2026-01-11 10:20:03.240000+05:30,2026-01-11,Sunday,'10:20:03.240000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_auth_generate-otp,application,2026-01-11 10:20:03.745000+05:30,2026-01-11,Sunday,'10:20:03.745000
224ceb9a-b243-4d22-9f15-0c40f91e6775,get_otp,application,2026-01-11 10:20:03.765000+05:30,2026-01-11,Sunday,'10:20:03.765000
224ceb9a-b243-4d22-9f15-0c40f91e6775,Onboarding_signup_,application,2026-01-11 10:20:03.773000+05:30,2026-01-11,Sunday,'10:20:03.773000
224ceb9a-b243-4d22-9f15-0c40f91e6775,verify_otp,application,2026-01-11 10:20:10.679000+05:30,2026-01-11,Sunday,'10:20:10.679000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_auth_verify-otp,application,2026-01-11 10:20:10.932000+05:30,2026-01-11,Sunday,'10:20:10.932000
224ceb9a-b243-4d22-9f15-0c40f91e6775,enter_otp,application,2026-01-11 10:20:10.949000+05:30,2026-01-11,Sunday,'10:20:10.949000
224ceb9a-b243-4d22-9f15-0c40f91e6775,User Login,system,2026-01-11 10:20:11.191000+05:30,2026-01-11,Sunday,'10:20:11.191000
224ceb9a-b243-4d22-9f15-0c40f91e6775,login,application,2026-01-11 10:20:11.501000+05:30,2026-01-11,Sunday,'10:20:11.501000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_user,application,2026-01-11 10:20:11.554000+05:30,2026-01-11,Sunday,'10:20:11.554000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_from-town,application,2026-01-11 10:20:11.733000+05:30,2026-01-11,Sunday,'10:20:11.733000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_user,application,2026-01-11 10:20:13.592000+05:30,2026-01-11,Sunday,'10:20:13.592000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_history_recommended-journey,application,2026-01-11 10:20:13.687000+05:30,2026-01-11,Sunday,'10:20:13.687000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_from-town,application,2026-01-11 10:20:13.744000+05:30,2026-01-11,Sunday,'10:20:13.744000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_user_device,application,2026-01-11 10:20:13.755000+05:30,2026-01-11,Sunday,'10:20:13.755000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_user,application,2026-01-11 10:20:13.830000+05:30,2026-01-11,Sunday,'10:20:13.830000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_special-town-search,application,2026-01-11 10:20:13.929000+05:30,2026-01-11,Sunday,'10:20:13.929000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_ticket,application,2026-01-11 10:20:14.056000+05:30,2026-01-11,Sunday,'10:20:14.056000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_special-town-search,application,2026-01-11 10:20:14.916000+05:30,2026-01-11,Sunday,'10:20:14.916000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_elastic-town-search,application,2026-01-11 10:20:14.994000+05:30,2026-01-11,Sunday,'10:20:14.994000
224ceb9a-b243-4d22-9f15-0c40f91e6775,_location_special-town-search,application,2026-01-11 10:20:22.176000+05:30,2026-01-11,Sunday,'10:20:22.176000
