user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
227f148f-a715-4021-abd8-c4c03cab37f2,DeviceInfo,application,2026-01-04 19:05:35.969000+05:30,2026-01-04,Sunday,'19:05:35.969000
227f148f-a715-4021-abd8-c4c03cab37f2,Session Started,system,2026-01-04 19:05:36.714000+05:30,2026-01-04,Sunday,'19:05:36.714000
227f148f-a715-4021-abd8-c4c03cab37f2,App Installed,system,2026-01-04 19:05:36.714000+05:30,2026-01-04,Sunday,'19:05:36.714000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:36.731000+05:30,2026-01-04,Sunday,'19:05:36.731000
227f148f-a715-4021-abd8-c4c03cab37f2,app_start,application,2026-01-04 19:05:36.907000+05:30,2026-01-04,Sunday,'19:05:36.907000
227f148f-a715-4021-abd8-c4c03cab37f2,Push Subscribe Process - Device Registered (Push),system,2026-01-04 19:05:36.908000+05:30,2026-01-04,Sunday,'19:05:36.908000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_Language,application,2026-01-04 19:05:44.426000+05:30,2026-01-04,Sunday,'19:05:44.426000
227f148f-a715-4021-abd8-c4c03cab37f2,choose_language,application,2026-01-04 19:05:44.426000+05:30,2026-01-04,Sunday,'19:05:44.426000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.446000+05:30,2026-01-04,Sunday,'19:05:44.446000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Ended,system,2026-01-04 19:05:44.447000+05:30,2026-01-04,Sunday,'19:05:44.447000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.455000+05:30,2026-01-04,Sunday,'19:05:44.455000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Ended,system,2026-01-04 19:05:44.455000+05:30,2026-01-04,Sunday,'19:05:44.455000
227f148f-a715-4021-abd8-c4c03cab37f2,choose_language,application,2026-01-04 19:05:44.555000+05:30,2026-01-04,Sunday,'19:05:44.555000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_Language,application,2026-01-04 19:05:44.555000+05:30,2026-01-04,Sunday,'19:05:44.555000
227f148f-a715-4021-abd8-c4c03cab37f2,choose_language,application,2026-01-04 19:05:44.556000+05:30,2026-01-04,Sunday,'19:05:44.556000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Ended,system,2026-01-04 19:05:44.569000+05:30,2026-01-04,Sunday,'19:05:44.569000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.569000+05:30,2026-01-04,Sunday,'19:05:44.569000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Ended,system,2026-01-04 19:05:44.580000+05:30,2026-01-04,Sunday,'19:05:44.580000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.590000+05:30,2026-01-04,Sunday,'19:05:44.590000
227f148f-a715-4021-abd8-c4c03cab37f2,choose_language,application,2026-01-04 19:05:44.668000+05:30,2026-01-04,Sunday,'19:05:44.668000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_Language,application,2026-01-04 19:05:44.668000+05:30,2026-01-04,Sunday,'19:05:44.668000
227f148f-a715-4021-abd8-c4c03cab37f2,choose_language,application,2026-01-04 19:05:44.669000+05:30,2026-01-04,Sunday,'19:05:44.669000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.692000+05:30,2026-01-04,Sunday,'19:05:44.692000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Ended,system,2026-01-04 19:05:44.693000+05:30,2026-01-04,Sunday,'19:05:44.693000
227f148f-a715-4021-abd8-c4c03cab37f2,Journey Started,system,2026-01-04 19:05:44.706000+05:30,2026-01-04,Sunday,'19:05:44.706000
227f148f-a715-4021-abd8-c4c03cab37f2,generate_otp,application,2026-01-04 19:06:08.422000+05:30,2026-01-04,Sunday,'19:06:08.422000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_get_otp,application,2026-01-04 19:06:08.423000+05:30,2026-01-04,Sunday,'19:06:08.423000
227f148f-a715-4021-abd8-c4c03cab37f2,_auth_generate-otp,application,2026-01-04 19:06:10.769000+05:30,2026-01-04,Sunday,'19:06:10.769000
227f148f-a715-4021-abd8-c4c03cab37f2,get_otp,application,2026-01-04 19:06:10.791000+05:30,2026-01-04,Sunday,'19:06:10.791000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_signup_,application,2026-01-04 19:06:10.817000+05:30,2026-01-04,Sunday,'19:06:10.817000
227f148f-a715-4021-abd8-c4c03cab37f2,_auth_verify-otp,application,2026-01-04 19:06:25.251000+05:30,2026-01-04,Sunday,'19:06:25.251000
227f148f-a715-4021-abd8-c4c03cab37f2,verify_otp,application,2026-01-04 19:06:25.251000+05:30,2026-01-04,Sunday,'19:06:25.251000
227f148f-a715-4021-abd8-c4c03cab37f2,enter_otp,application,2026-01-04 19:06:26.153000+05:30,2026-01-04,Sunday,'19:06:26.153000
227f148f-a715-4021-abd8-c4c03cab37f2,User Login,system,2026-01-04 19:06:26.712000+05:30,2026-01-04,Sunday,'19:06:26.712000
227f148f-a715-4021-abd8-c4c03cab37f2,login,application,2026-01-04 19:06:27.003000+05:30,2026-01-04,Sunday,'19:06:27.003000
227f148f-a715-4021-abd8-c4c03cab37f2,_user,application,2026-01-04 19:06:27.029000+05:30,2026-01-04,Sunday,'19:06:27.029000
227f148f-a715-4021-abd8-c4c03cab37f2,_location_from-town,application,2026-01-04 19:06:27.592000+05:30,2026-01-04,Sunday,'19:06:27.592000
227f148f-a715-4021-abd8-c4c03cab37f2,Onboarding_Profile Saved,application,2026-01-04 19:06:28.398000+05:30,2026-01-04,Sunday,'19:06:28.398000
227f148f-a715-4021-abd8-c4c03cab37f2,_user,application,2026-01-04 19:06:30.079000+05:30,2026-01-04,Sunday,'19:06:30.079000
227f148f-a715-4021-abd8-c4c03cab37f2,_location_from-town,application,2026-01-04 19:06:33.208000+05:30,2026-01-04,Sunday,'19:06:33.208000
227f148f-a715-4021-abd8-c4c03cab37f2,_user_device,application,2026-01-04 19:06:33.208000+05:30,2026-01-04,Sunday,'19:06:33.208000
227f148f-a715-4021-abd8-c4c03cab37f2,_history_recommended-journey,application,2026-01-04 19:06:33.208000+05:30,2026-01-04,Sunday,'19:06:33.208000
227f148f-a715-4021-abd8-c4c03cab37f2,_location_special-town-search,application,2026-01-04 19:06:34.392000+05:30,2026-01-04,Sunday,'19:06:34.392000
227f148f-a715-4021-abd8-c4c03cab37f2,_ticket,application,2026-01-04 19:06:34.679000+05:30,2026-01-04,Sunday,'19:06:34.679000
227f148f-a715-4021-abd8-c4c03cab37f2,_location_special-town-search,application,2026-01-04 19:06:40.481000+05:30,2026-01-04,Sunday,'19:06:40.481000
227f148f-a715-4021-abd8-c4c03cab37f2,_location_elastic-town-search,application,2026-01-04 19:06:40.537000+05:30,2026-01-04,Sunday,'19:06:40.537000
227f148f-a715-4021-abd8-c4c03cab37f2,App Uninstalled,system,2026-01-05 03:29:15.264000+05:30,2026-01-05,Monday,'03:29:15.264000
227f148f-a715-4021-abd8-c4c03cab37f2,Push Failure,system,2026-01-05 19:05:53.812000+05:30,2026-01-05,Monday,'19:05:53.812000
