user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
22a340b3-c208-4c6d-94a9-460d94d73304,App Installed,system,2026-01-06 23:03:49.804000+05:30,2026-01-06,Tuesday,'23:03:49.804000
22a340b3-c208-4c6d-94a9-460d94d73304,DeviceInfo,application,2026-01-06 23:03:49.208000+05:30,2026-01-06,Tuesday,'23:03:49.208000
22a340b3-c208-4c6d-94a9-460d94d73304,Journey Ended,system,2026-01-06 23:03:53.963000+05:30,2026-01-06,Tuesday,'23:03:53.963000
22a340b3-c208-4c6d-94a9-460d94d73304,Journey Started,system,2026-01-06 23:03:51.475000+05:30,2026-01-06,Tuesday,'23:03:51.475000
22a340b3-c208-4c6d-94a9-460d94d73304,Journey Started,system,2026-01-06 23:03:53.963000+05:30,2026-01-06,Tuesday,'23:03:53.963000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_Language,application,2026-01-06 23:03:53.278000+05:30,2026-01-06,Tuesday,'23:03:53.278000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_Language,application,2026-01-06 23:03:53.409000+05:30,2026-01-06,Tuesday,'23:03:53.409000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_Profile Saved,application,2026-01-06 23:04:04.839000+05:30,2026-01-06,Tuesday,'23:04:04.839000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_Whtsapp unchecked,application,2026-01-06 23:03:57.530000+05:30,2026-01-06,Tuesday,'23:03:57.530000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_get_otp,application,2026-01-06 23:04:00.315000+05:30,2026-01-06,Tuesday,'23:04:00.315000
22a340b3-c208-4c6d-94a9-460d94d73304,Onboarding_signup_,application,2026-01-06 23:04:01.240000+05:30,2026-01-06,Tuesday,'23:04:01.240000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-07 23:04:19.139000+05:30,2026-01-07,Wednesday,'23:04:19.139000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-08 23:04:29.003000+05:30,2026-01-08,Thursday,'23:04:29.003000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-09 23:04:46.624000+05:30,2026-01-09,Friday,'23:04:46.624000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-10 23:05:14.309000+05:30,2026-01-10,Saturday,'23:05:14.309000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-11 23:07:24.939000+05:30,2026-01-11,Sunday,'23:07:24.939000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-13 23:07:49.043000+05:30,2026-01-13,Tuesday,'23:07:49.043000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-15 23:08:18.156000+05:30,2026-01-15,Thursday,'23:08:18.156000
22a340b3-c208-4c6d-94a9-460d94d73304,Push Failure,system,2026-01-17 23:08:38.562000+05:30,2026-01-17,Saturday,'23:08:38.562000
22a340b3-c208-4c6d-94a9-460d94d73304,Session Started,system,2026-01-06 23:03:49.612000+05:30,2026-01-06,Tuesday,'23:03:49.612000
22a340b3-c208-4c6d-94a9-460d94d73304,User Login,system,2026-01-06 23:04:03.330000+05:30,2026-01-06,Tuesday,'23:04:03.330000
22a340b3-c208-4c6d-94a9-460d94d73304,_auth_generate-otp,application,2026-01-06 23:04:01.211000+05:30,2026-01-06,Tuesday,'23:04:01.211000
22a340b3-c208-4c6d-94a9-460d94d73304,_auth_verify-otp,application,2026-01-06 23:04:03.224000+05:30,2026-01-06,Tuesday,'23:04:03.224000
22a340b3-c208-4c6d-94a9-460d94d73304,_location_from-town,application,2026-01-06 23:04:04.071000+05:30,2026-01-06,Tuesday,'23:04:04.071000
22a340b3-c208-4c6d-94a9-460d94d73304,_user,application,2026-01-06 23:04:03.555000+05:30,2026-01-06,Tuesday,'23:04:03.555000
22a340b3-c208-4c6d-94a9-460d94d73304,app_start,application,2026-01-06 23:03:50.463000+05:30,2026-01-06,Tuesday,'23:03:50.463000
22a340b3-c208-4c6d-94a9-460d94d73304,choose_language,application,2026-01-06 23:03:53.258000+05:30,2026-01-06,Tuesday,'23:03:53.258000
22a340b3-c208-4c6d-94a9-460d94d73304,choose_language,application,2026-01-06 23:03:53.386000+05:30,2026-01-06,Tuesday,'23:03:53.386000
22a340b3-c208-4c6d-94a9-460d94d73304,enter_otp,application,2026-01-06 23:04:03.273000+05:30,2026-01-06,Tuesday,'23:04:03.273000
22a340b3-c208-4c6d-94a9-460d94d73304,generate_otp,application,2026-01-06 23:04:00.299000+05:30,2026-01-06,Tuesday,'23:04:00.299000
22a340b3-c208-4c6d-94a9-460d94d73304,get_otp,application,2026-01-06 23:04:01.224000+05:30,2026-01-06,Tuesday,'23:04:01.224000
22a340b3-c208-4c6d-94a9-460d94d73304,login,application,2026-01-06 23:04:03.467000+05:30,2026-01-06,Tuesday,'23:04:03.467000
22a340b3-c208-4c6d-94a9-460d94d73304,verify_otp,application,2026-01-06 23:04:02.848000+05:30,2026-01-06,Tuesday,'23:04:02.848000
