user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,DeviceInfo,application,2026-01-11 15:29:35.032000+05:30,2026-01-11,Sunday,'15:29:35.032000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Session Started,system,2026-01-11 15:29:36.046000+05:30,2026-01-11,Sunday,'15:29:36.046000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,App Installed,system,2026-01-11 15:29:36.286000+05:30,2026-01-11,Sunday,'15:29:36.286000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Push Subscribe Process - Device Registered (Push),system,2026-01-11 15:29:36.415000+05:30,2026-01-11,Sunday,'15:29:36.415000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Journey Started,system,2026-01-11 15:29:36.642000+05:30,2026-01-11,Sunday,'15:29:36.642000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,app_start,application,2026-01-11 15:29:37.294000+05:30,2026-01-11,Sunday,'15:29:37.294000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,choose_language,application,2026-01-11 15:29:47.165000+05:30,2026-01-11,Sunday,'15:29:47.165000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Onboarding_Language,application,2026-01-11 15:29:47.340000+05:30,2026-01-11,Sunday,'15:29:47.340000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,choose_language,application,2026-01-11 15:29:55.526000+05:30,2026-01-11,Sunday,'15:29:55.526000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Onboarding_Language,application,2026-01-11 15:29:55.596000+05:30,2026-01-11,Sunday,'15:29:55.596000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Journey Ended,system,2026-01-11 15:29:56.038000+05:30,2026-01-11,Sunday,'15:29:56.038000
22a3c0c6-cfe3-4765-853e-18c5fee22e7f,Journey Started,system,2026-01-11 15:29:56.038000+05:30,2026-01-11,Sunday,'15:29:56.038000
