user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
232afbe0-6046-42d4-9789-4c479d3b7400,Session Started,system,2025-12-25 20:14:03.075000+05:30,2025-12-25,Thursday,'20:14:03.075000
232afbe0-6046-42d4-9789-4c479d3b7400,Onboarding_backpressed,application,2025-12-25 20:14:21.754000+05:30,2025-12-25,Thursday,'20:14:21.754000
232afbe0-6046-42d4-9789-4c479d3b7400,Session Started,system,2025-12-25 20:15:44.084000+05:30,2025-12-25,Thursday,'20:15:44.084000
232afbe0-6046-42d4-9789-4c479d3b7400,choose_language,application,2026-01-16 10:05:36.102000+05:30,2026-01-16,Friday,'10:05:36.102000
232afbe0-6046-42d4-9789-4c479d3b7400,Onboarding_Language,application,2026-01-16 10:05:36.121000+05:30,2026-01-16,Friday,'10:05:36.121000
232afbe0-6046-42d4-9789-4c479d3b7400,generate_otp,application,2026-01-16 10:05:44.323000+05:30,2026-01-16,Friday,'10:05:44.323000
232afbe0-6046-42d4-9789-4c479d3b7400,Onboarding_get_otp,application,2026-01-16 10:05:44.354000+05:30,2026-01-16,Friday,'10:05:44.354000
232afbe0-6046-42d4-9789-4c479d3b7400,Journey Started,system,2026-01-16 10:05:51.762000+05:30,2026-01-16,Friday,'10:05:51.762000
232afbe0-6046-42d4-9789-4c479d3b7400,Journey Ended,system,2026-01-16 10:05:51.763000+05:30,2026-01-16,Friday,'10:05:51.763000
232afbe0-6046-42d4-9789-4c479d3b7400,_auth_generate-otp,application,2026-01-16 10:05:52.110000+05:30,2026-01-16,Friday,'10:05:52.110000
232afbe0-6046-42d4-9789-4c479d3b7400,get_otp,application,2026-01-16 10:05:52.129000+05:30,2026-01-16,Friday,'10:05:52.129000
232afbe0-6046-42d4-9789-4c479d3b7400,Onboarding_signup_,application,2026-01-16 10:05:52.165000+05:30,2026-01-16,Friday,'10:05:52.165000
232afbe0-6046-42d4-9789-4c479d3b7400,verify_otp,application,2026-01-16 10:05:59.804000+05:30,2026-01-16,Friday,'10:05:59.804000
232afbe0-6046-42d4-9789-4c479d3b7400,_auth_verify-otp,application,2026-01-16 10:06:00.071000+05:30,2026-01-16,Friday,'10:06:00.071000
232afbe0-6046-42d4-9789-4c479d3b7400,enter_otp,application,2026-01-16 10:06:00.110000+05:30,2026-01-16,Friday,'10:06:00.110000
232afbe0-6046-42d4-9789-4c479d3b7400,User Login,system,2026-01-16 10:06:00.124000+05:30,2026-01-16,Friday,'10:06:00.124000
232afbe0-6046-42d4-9789-4c479d3b7400,login,application,2026-01-16 10:06:01.146000+05:30,2026-01-16,Friday,'10:06:01.146000
232afbe0-6046-42d4-9789-4c479d3b7400,_user,application,2026-01-16 10:06:01.170000+05:30,2026-01-16,Friday,'10:06:01.170000
232afbe0-6046-42d4-9789-4c479d3b7400,_location_from-town,application,2026-01-16 10:06:01.174000+05:30,2026-01-16,Friday,'10:06:01.174000
232afbe0-6046-42d4-9789-4c479d3b7400,Onboarding_Profile Saved,application,2026-01-16 10:06:03.112000+05:30,2026-01-16,Friday,'10:06:03.112000
232afbe0-6046-42d4-9789-4c479d3b7400,_user,application,2026-01-16 10:06:21.051000+05:30,2026-01-16,Friday,'10:06:21.051000
232afbe0-6046-42d4-9789-4c479d3b7400,_history_recommended-journey,application,2026-01-16 10:06:24.111000+05:30,2026-01-16,Friday,'10:06:24.111000
232afbe0-6046-42d4-9789-4c479d3b7400,_user_device,application,2026-01-16 10:06:24.166000+05:30,2026-01-16,Friday,'10:06:24.166000
232afbe0-6046-42d4-9789-4c479d3b7400,_location_from-town,application,2026-01-16 10:06:24.305000+05:30,2026-01-16,Friday,'10:06:24.305000
232afbe0-6046-42d4-9789-4c479d3b7400,_user,application,2026-01-16 10:06:24.354000+05:30,2026-01-16,Friday,'10:06:24.354000
232afbe0-6046-42d4-9789-4c479d3b7400,_ticket,application,2026-01-16 10:06:24.892000+05:30,2026-01-16,Friday,'10:06:24.892000
