user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
23a43f8f-19c7-4dc7-8b2c-653a2217940e,DeviceInfo,application,2026-01-09 22:29:02.995000+05:30,2026-01-09,Friday,'22:29:02.995000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Session Started,system,2026-01-09 22:29:03.542000+05:30,2026-01-09,Friday,'22:29:03.542000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,App Installed,system,2026-01-09 22:29:03.747000+05:30,2026-01-09,Friday,'22:29:03.747000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,app_start,application,2026-01-09 22:29:04.865000+05:30,2026-01-09,Friday,'22:29:04.865000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Journey Started,system,2026-01-09 22:29:06.848000+05:30,2026-01-09,Friday,'22:29:06.848000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,choose_language,application,2026-01-09 22:29:18.702000+05:30,2026-01-09,Friday,'22:29:18.702000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Onboarding_Language,application,2026-01-09 22:29:18.722000+05:30,2026-01-09,Friday,'22:29:18.722000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,generate_otp,application,2026-01-09 22:29:45.702000+05:30,2026-01-09,Friday,'22:29:45.702000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Onboarding_get_otp,application,2026-01-09 22:29:45.737000+05:30,2026-01-09,Friday,'22:29:45.737000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,_auth_generate-otp,application,2026-01-09 22:29:47.186000+05:30,2026-01-09,Friday,'22:29:47.186000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,get_otp,application,2026-01-09 22:29:47.203000+05:30,2026-01-09,Friday,'22:29:47.203000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Onboarding_signup_,application,2026-01-09 22:29:47.246000+05:30,2026-01-09,Friday,'22:29:47.246000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Journey Ended,system,2026-01-09 22:29:49.241000+05:30,2026-01-09,Friday,'22:29:49.241000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,Journey Started,system,2026-01-09 22:29:49.241000+05:30,2026-01-09,Friday,'22:29:49.241000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,verify_otp,application,2026-01-09 22:29:50.589000+05:30,2026-01-09,Friday,'22:29:50.589000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,_auth_verify-otp,application,2026-01-09 22:29:50.788000+05:30,2026-01-09,Friday,'22:29:50.788000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,enter_otp,application,2026-01-09 22:29:50.836000+05:30,2026-01-09,Friday,'22:29:50.836000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,User Login,system,2026-01-09 22:29:50.956000+05:30,2026-01-09,Friday,'22:29:50.956000
23a43f8f-19c7-4dc7-8b2c-653a2217940e,login,application,2026-01-09 22:29:51.076000+05:30,2026-01-09,Friday,'22:29:51.076000
