user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,DeviceInfo,application,2026-01-14 10:17:17.512000+05:30,2026-01-14,Wednesday,'10:17:17.512000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Session Started,system,2026-01-14 10:17:17.900000+05:30,2026-01-14,Wednesday,'10:17:17.900000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,App Installed,system,2026-01-14 10:17:17.982000+05:30,2026-01-14,Wednesday,'10:17:17.982000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Started,system,2026-01-14 10:17:18.128000+05:30,2026-01-14,Wednesday,'10:17:18.128000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Push Subscribe Process - Device Registered (Push),system,2026-01-14 10:17:22.208000+05:30,2026-01-14,Wednesday,'10:17:22.208000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,choose_language,application,2026-01-14 10:17:26.489000+05:30,2026-01-14,Wednesday,'10:17:26.489000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_Language,application,2026-01-14 10:17:26.510000+05:30,2026-01-14,Wednesday,'10:17:26.510000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,choose_language,application,2026-01-14 10:17:26.541000+05:30,2026-01-14,Wednesday,'10:17:26.541000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_Language,application,2026-01-14 10:17:26.546000+05:30,2026-01-14,Wednesday,'10:17:26.546000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,choose_language,application,2026-01-14 10:17:27.125000+05:30,2026-01-14,Wednesday,'10:17:27.125000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_Language,application,2026-01-14 10:17:27.135000+05:30,2026-01-14,Wednesday,'10:17:27.135000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Started,system,2026-01-14 10:17:27.165000+05:30,2026-01-14,Wednesday,'10:17:27.165000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Ended,system,2026-01-14 10:17:27.166000+05:30,2026-01-14,Wednesday,'10:17:27.166000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Started,system,2026-01-14 10:17:27.171000+05:30,2026-01-14,Wednesday,'10:17:27.171000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,app_start,application,2026-01-14 10:17:29.376000+05:30,2026-01-14,Wednesday,'10:17:29.376000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,generate_otp,application,2026-01-14 10:17:34.629000+05:30,2026-01-14,Wednesday,'10:17:34.629000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_get_otp,application,2026-01-14 10:17:34.658000+05:30,2026-01-14,Wednesday,'10:17:34.658000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Ended,system,2026-01-14 10:17:36.447000+05:30,2026-01-14,Wednesday,'10:17:36.447000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Started,system,2026-01-14 10:17:36.447000+05:30,2026-01-14,Wednesday,'10:17:36.447000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_auth_generate-otp,application,2026-01-14 10:17:40.424000+05:30,2026-01-14,Wednesday,'10:17:40.424000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,get_otp,application,2026-01-14 10:17:40.434000+05:30,2026-01-14,Wednesday,'10:17:40.434000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_signup_,application,2026-01-14 10:17:40.454000+05:30,2026-01-14,Wednesday,'10:17:40.454000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,verify_otp,application,2026-01-14 10:17:46.461000+05:30,2026-01-14,Wednesday,'10:17:46.461000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_auth_verify-otp,application,2026-01-14 10:17:46.699000+05:30,2026-01-14,Wednesday,'10:17:46.699000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,enter_otp,application,2026-01-14 10:17:46.731000+05:30,2026-01-14,Wednesday,'10:17:46.731000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,User Login,system,2026-01-14 10:17:46.756000+05:30,2026-01-14,Wednesday,'10:17:46.756000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,login,application,2026-01-14 10:17:46.979000+05:30,2026-01-14,Wednesday,'10:17:46.979000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_user,application,2026-01-14 10:17:46.995000+05:30,2026-01-14,Wednesday,'10:17:46.995000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_from-town,application,2026-01-14 10:17:47.400000+05:30,2026-01-14,Wednesday,'10:17:47.400000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Onboarding_Profile Saved,application,2026-01-14 10:17:48.039000+05:30,2026-01-14,Wednesday,'10:17:48.039000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_user,application,2026-01-14 10:17:55.412000+05:30,2026-01-14,Wednesday,'10:17:55.412000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_history_recommended-journey,application,2026-01-14 10:18:02.019000+05:30,2026-01-14,Wednesday,'10:18:02.019000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_user_device,application,2026-01-14 10:18:02.025000+05:30,2026-01-14,Wednesday,'10:18:02.025000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_from-town,application,2026-01-14 10:18:02.030000+05:30,2026-01-14,Wednesday,'10:18:02.030000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_user,application,2026-01-14 10:18:02.037000+05:30,2026-01-14,Wednesday,'10:18:02.037000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_ticket,application,2026-01-14 10:18:02.267000+05:30,2026-01-14,Wednesday,'10:18:02.267000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_special-town-search,application,2026-01-14 10:18:02.277000+05:30,2026-01-14,Wednesday,'10:18:02.277000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_elastic-town-search,application,2026-01-14 10:18:05.339000+05:30,2026-01-14,Wednesday,'10:18:05.339000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_special-town-search,application,2026-01-14 10:18:18.670000+05:30,2026-01-14,Wednesday,'10:18:18.670000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_elastic-town-search,application,2026-01-14 10:18:18.893000+05:30,2026-01-14,Wednesday,'10:18:18.893000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_special-town-search,application,2026-01-14 10:18:29.111000+05:30,2026-01-14,Wednesday,'10:18:29.111000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_location_elastic-town-search,application,2026-01-14 10:18:29.274000+05:30,2026-01-14,Wednesday,'10:18:29.274000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Buslist_date change,application,2026-01-14 10:18:42.055000+05:30,2026-01-14,Wednesday,'10:18:42.055000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_user,application,2026-01-14 10:18:42.363000+05:30,2026-01-14,Wednesday,'10:18:42.363000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,pageview_bus_list,application,2026-01-14 10:18:42.373000+05:30,2026-01-14,Wednesday,'10:18:42.373000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_bus-search_user-bus-search,application,2026-01-14 10:18:42.385000+05:30,2026-01-14,Wednesday,'10:18:42.385000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_bus-search_list,application,2026-01-14 10:18:46.623000+05:30,2026-01-14,Wednesday,'10:18:46.623000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,_rewards_best-V2,application,2026-01-14 10:18:47.114000+05:30,2026-01-14,Wednesday,'10:18:47.114000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Buslist_date change,application,2026-01-14 10:18:47.132000+05:30,2026-01-14,Wednesday,'10:18:47.132000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,bus_search,application,2026-01-14 10:18:47.221000+05:30,2026-01-14,Wednesday,'10:18:47.221000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,bus_result,application,2026-01-14 10:18:47.234000+05:30,2026-01-14,Wednesday,'10:18:47.234000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Started,system,2026-01-14 10:18:47.358000+05:30,2026-01-14,Wednesday,'10:18:47.358000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Push Failure,system,2026-01-14 10:34:19.716000+05:30,2026-01-14,Wednesday,'10:34:19.716000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Journey Ended,system,2026-01-14 16:34:50.848000+05:30,2026-01-14,Wednesday,'16:34:50.848000
24b16181-67b1-4f19-9ff0-a8d75bfd1d71,Push Failure,system,2026-01-15 10:19:31.018000+05:30,2026-01-15,Thursday,'10:19:31.018000
