user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
254496ca-f8e2-42e5-9f5f-0df14f67bf79,DeviceInfo,application,2026-01-04 21:11:41.071000+05:30,2026-01-04,Sunday,'21:11:41.071000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Session Started,system,2026-01-04 21:11:41.433000+05:30,2026-01-04,Sunday,'21:11:41.433000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,App Installed,system,2026-01-04 21:11:41.503000+05:30,2026-01-04,Sunday,'21:11:41.503000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Started,system,2026-01-04 21:11:41.742000+05:30,2026-01-04,Sunday,'21:11:41.742000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,app_start,application,2026-01-04 21:11:41.908000+05:30,2026-01-04,Sunday,'21:11:41.908000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Push Subscribe Process - Device Registered (Push),system,2026-01-04 21:11:42.994000+05:30,2026-01-04,Sunday,'21:11:42.994000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,choose_language,application,2026-01-04 21:11:44.485000+05:30,2026-01-04,Sunday,'21:11:44.485000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_Language,application,2026-01-04 21:11:44.505000+05:30,2026-01-04,Sunday,'21:11:44.505000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,choose_language,application,2026-01-04 21:11:44.560000+05:30,2026-01-04,Sunday,'21:11:44.560000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_Language,application,2026-01-04 21:11:44.574000+05:30,2026-01-04,Sunday,'21:11:44.574000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Ended,system,2026-01-04 21:11:44.746000+05:30,2026-01-04,Sunday,'21:11:44.746000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Started,system,2026-01-04 21:11:44.746000+05:30,2026-01-04,Sunday,'21:11:44.746000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Ended,system,2026-01-04 21:11:44.750000+05:30,2026-01-04,Sunday,'21:11:44.750000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Started,system,2026-01-04 21:11:44.750000+05:30,2026-01-04,Sunday,'21:11:44.750000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,generate_otp,application,2026-01-04 21:11:50.589000+05:30,2026-01-04,Sunday,'21:11:50.589000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_get_otp,application,2026-01-04 21:11:50.602000+05:30,2026-01-04,Sunday,'21:11:50.602000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_auth_generate-otp,application,2026-01-04 21:11:51.510000+05:30,2026-01-04,Sunday,'21:11:51.510000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,get_otp,application,2026-01-04 21:11:51.522000+05:30,2026-01-04,Sunday,'21:11:51.522000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_signup_,application,2026-01-04 21:11:51.541000+05:30,2026-01-04,Sunday,'21:11:51.541000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,verify_otp,application,2026-01-04 21:11:55.120000+05:30,2026-01-04,Sunday,'21:11:55.120000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_auth_verify-otp,application,2026-01-04 21:11:55.363000+05:30,2026-01-04,Sunday,'21:11:55.363000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,enter_otp,application,2026-01-04 21:11:55.402000+05:30,2026-01-04,Sunday,'21:11:55.402000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,User Login,system,2026-01-04 21:11:55.432000+05:30,2026-01-04,Sunday,'21:11:55.432000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,login,application,2026-01-04 21:11:55.798000+05:30,2026-01-04,Sunday,'21:11:55.798000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:11:55.811000+05:30,2026-01-04,Sunday,'21:11:55.811000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_from-town,application,2026-01-04 21:11:56.100000+05:30,2026-01-04,Sunday,'21:11:56.100000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_Profile Saved,application,2026-01-04 21:12:08.571000+05:30,2026-01-04,Sunday,'21:12:08.571000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:12:17.475000+05:30,2026-01-04,Sunday,'21:12:17.475000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_backpressed,application,2026-01-04 21:13:28.151000+05:30,2026-01-04,Sunday,'21:13:28.151000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_Profile Saved,application,2026-01-04 21:13:30.349000+05:30,2026-01-04,Sunday,'21:13:30.349000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:13:50.275000+05:30,2026-01-04,Sunday,'21:13:50.275000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Onboarding_backpressed,application,2026-01-04 21:13:52.002000+05:30,2026-01-04,Sunday,'21:13:52.002000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Session Started,system,2026-01-04 21:14:09.279000+05:30,2026-01-04,Sunday,'21:14:09.279000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_history_recommended-journey,application,2026-01-04 21:14:10.114000+05:30,2026-01-04,Sunday,'21:14:10.114000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:14:10.148000+05:30,2026-01-04,Sunday,'21:14:10.148000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user_device,application,2026-01-04 21:14:10.203000+05:30,2026-01-04,Sunday,'21:14:10.203000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:14:10.350000+05:30,2026-01-04,Sunday,'21:14:10.350000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_from-town,application,2026-01-04 21:14:10.381000+05:30,2026-01-04,Sunday,'21:14:10.381000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_ticket,application,2026-01-04 21:14:10.559000+05:30,2026-01-04,Sunday,'21:14:10.559000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_special-town-search,application,2026-01-04 21:14:10.663000+05:30,2026-01-04,Sunday,'21:14:10.663000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_elastic-town-search,application,2026-01-04 21:14:13.079000+05:30,2026-01-04,Sunday,'21:14:13.079000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_special-town-search,application,2026-01-04 21:14:25.427000+05:30,2026-01-04,Sunday,'21:14:25.427000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_elastic-town-search,application,2026-01-04 21:14:28.508000+05:30,2026-01-04,Sunday,'21:14:28.508000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:14:36.273000+05:30,2026-01-04,Sunday,'21:14:36.273000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:14:36.772000+05:30,2026-01-04,Sunday,'21:14:36.772000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_user-bus-search,application,2026-01-04 21:14:36.787000+05:30,2026-01-04,Sunday,'21:14:36.787000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,pageview_bus_list,application,2026-01-04 21:14:36.958000+05:30,2026-01-04,Sunday,'21:14:36.958000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_list,application,2026-01-04 21:14:39.353000+05:30,2026-01-04,Sunday,'21:14:39.353000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_rewards_best-V2,application,2026-01-04 21:14:40.352000+05:30,2026-01-04,Sunday,'21:14:40.352000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:14:40.397000+05:30,2026-01-04,Sunday,'21:14:40.397000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_search,application,2026-01-04 21:14:40.422000+05:30,2026-01-04,Sunday,'21:14:40.422000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_result,application,2026-01-04 21:14:40.437000+05:30,2026-01-04,Sunday,'21:14:40.437000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Started,system,2026-01-04 21:14:40.630000+05:30,2026-01-04,Sunday,'21:14:40.630000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_special-town-search,application,2026-01-04 21:14:50.922000+05:30,2026-01-04,Sunday,'21:14:50.922000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_elastic-town-search,application,2026-01-04 21:14:51.022000+05:30,2026-01-04,Sunday,'21:14:51.022000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:15:09.430000+05:30,2026-01-04,Sunday,'21:15:09.430000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:15:09.673000+05:30,2026-01-04,Sunday,'21:15:09.673000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,pageview_bus_list,application,2026-01-04 21:15:09.765000+05:30,2026-01-04,Sunday,'21:15:09.765000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_user-bus-search,application,2026-01-04 21:15:09.858000+05:30,2026-01-04,Sunday,'21:15:09.858000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_list,application,2026-01-04 21:15:12.188000+05:30,2026-01-04,Sunday,'21:15:12.188000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_rewards_best-V2,application,2026-01-04 21:15:12.348000+05:30,2026-01-04,Sunday,'21:15:12.348000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:15:12.367000+05:30,2026-01-04,Sunday,'21:15:12.367000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_search,application,2026-01-04 21:15:12.376000+05:30,2026-01-04,Sunday,'21:15:12.376000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_result,application,2026-01-04 21:15:12.386000+05:30,2026-01-04,Sunday,'21:15:12.386000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_Live Chat Icon,application,2026-01-04 21:15:14.744000+05:30,2026-01-04,Sunday,'21:15:14.744000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,enquire_now,application,2026-01-04 21:15:14.787000+05:30,2026-01-04,Sunday,'21:15:14.787000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:15:23.421000+05:30,2026-01-04,Sunday,'21:15:23.421000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_user-bus-search,application,2026-01-04 21:15:23.705000+05:30,2026-01-04,Sunday,'21:15:23.705000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-04 21:15:23.718000+05:30,2026-01-04,Sunday,'21:15:23.718000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,pageview_bus_list,application,2026-01-04 21:15:23.737000+05:30,2026-01-04,Sunday,'21:15:23.737000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_bus-search_list,application,2026-01-04 21:15:26.057000+05:30,2026-01-04,Sunday,'21:15:26.057000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_rewards_best-V2,application,2026-01-04 21:15:26.182000+05:30,2026-01-04,Sunday,'21:15:26.182000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Buslist_date change,application,2026-01-04 21:15:26.195000+05:30,2026-01-04,Sunday,'21:15:26.195000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_search,application,2026-01-04 21:15:26.217000+05:30,2026-01-04,Sunday,'21:15:26.217000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,bus_result,application,2026-01-04 21:15:26.229000+05:30,2026-01-04,Sunday,'21:15:26.229000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Push Failure,system,2026-01-04 21:29:52.369000+05:30,2026-01-04,Sunday,'21:29:52.369000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Journey Ended,system,2026-01-05 03:30:19.476000+05:30,2026-01-05,Monday,'03:30:19.476000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Push Failure,system,2026-01-05 21:11:54.372000+05:30,2026-01-05,Monday,'21:11:54.372000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Session Started,system,2026-01-12 20:01:14.836000+05:30,2026-01-12,Monday,'20:01:14.836000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-12 20:01:16.067000+05:30,2026-01-12,Monday,'20:01:16.067000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_history_recommended-journey,application,2026-01-12 20:01:16.097000+05:30,2026-01-12,Monday,'20:01:16.097000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_from-town,application,2026-01-12 20:01:16.234000+05:30,2026-01-12,Monday,'20:01:16.234000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_user,application,2026-01-12 20:01:16.355000+05:30,2026-01-12,Monday,'20:01:16.355000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_location_special-town-search,application,2026-01-12 20:01:16.419000+05:30,2026-01-12,Monday,'20:01:16.419000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,_ticket,application,2026-01-12 20:01:16.552000+05:30,2026-01-12,Monday,'20:01:16.552000
254496ca-f8e2-42e5-9f5f-0df14f67bf79,Push Failure,system,2026-01-13 21:13:51.998000+05:30,2026-01-13,Tuesday,'21:13:51.998000
