user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,DeviceInfo,application,2026-01-12 19:08:35.685000+05:30,2026-01-12,Monday,'19:08:35.685000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Session Started,system,2026-01-12 19:08:36.113000+05:30,2026-01-12,Monday,'19:08:36.113000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,App Installed,system,2026-01-12 19:08:36.171000+05:30,2026-01-12,Monday,'19:08:36.171000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Push Subscribe Process - Device Registered (Push),system,2026-01-12 19:08:37.900000+05:30,2026-01-12,Monday,'19:08:37.900000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Started,system,2026-01-12 19:08:38.207000+05:30,2026-01-12,Monday,'19:08:38.207000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,app_start,application,2026-01-12 19:08:38.223000+05:30,2026-01-12,Monday,'19:08:38.223000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,choose_language,application,2026-01-12 19:08:40.912000+05:30,2026-01-12,Monday,'19:08:40.912000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Onboarding_Language,application,2026-01-12 19:08:40.951000+05:30,2026-01-12,Monday,'19:08:40.951000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,choose_language,application,2026-01-12 19:08:41.360000+05:30,2026-01-12,Monday,'19:08:41.360000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Onboarding_Language,application,2026-01-12 19:08:41.378000+05:30,2026-01-12,Monday,'19:08:41.378000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Ended,system,2026-01-12 19:08:43.690000+05:30,2026-01-12,Monday,'19:08:43.690000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Started,system,2026-01-12 19:08:43.690000+05:30,2026-01-12,Monday,'19:08:43.690000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Ended,system,2026-01-12 19:08:43.694000+05:30,2026-01-12,Monday,'19:08:43.694000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,generate_otp,application,2026-01-12 19:08:49.806000+05:30,2026-01-12,Monday,'19:08:49.806000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Onboarding_get_otp,application,2026-01-12 19:08:49.828000+05:30,2026-01-12,Monday,'19:08:49.828000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_auth_generate-otp,application,2026-01-12 19:08:52.062000+05:30,2026-01-12,Monday,'19:08:52.062000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,get_otp,application,2026-01-12 19:08:52.077000+05:30,2026-01-12,Monday,'19:08:52.077000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Onboarding_signup_,application,2026-01-12 19:08:52.098000+05:30,2026-01-12,Monday,'19:08:52.098000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,verify_otp,application,2026-01-12 19:08:55.980000+05:30,2026-01-12,Monday,'19:08:55.980000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_auth_verify-otp,application,2026-01-12 19:08:56.198000+05:30,2026-01-12,Monday,'19:08:56.198000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,enter_otp,application,2026-01-12 19:08:56.223000+05:30,2026-01-12,Monday,'19:08:56.223000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,User Login,system,2026-01-12 19:08:56.248000+05:30,2026-01-12,Monday,'19:08:56.248000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,login,application,2026-01-12 19:08:56.646000+05:30,2026-01-12,Monday,'19:08:56.646000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user,application,2026-01-12 19:08:56.658000+05:30,2026-01-12,Monday,'19:08:56.658000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_from-town,application,2026-01-12 19:08:56.930000+05:30,2026-01-12,Monday,'19:08:56.930000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Onboarding_Profile Saved,application,2026-01-12 19:08:57.781000+05:30,2026-01-12,Monday,'19:08:57.781000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user,application,2026-01-12 19:09:08.212000+05:30,2026-01-12,Monday,'19:09:08.212000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_history_recommended-journey,application,2026-01-12 19:09:19.682000+05:30,2026-01-12,Monday,'19:09:19.682000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_special-town-search,application,2026-01-12 19:09:19.703000+05:30,2026-01-12,Monday,'19:09:19.703000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_from-town,application,2026-01-12 19:09:19.992000+05:30,2026-01-12,Monday,'19:09:19.992000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user_device,application,2026-01-12 19:09:20.043000+05:30,2026-01-12,Monday,'19:09:20.043000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user,application,2026-01-12 19:09:20.069000+05:30,2026-01-12,Monday,'19:09:20.069000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_elastic-town-search,application,2026-01-12 19:09:20.204000+05:30,2026-01-12,Monday,'19:09:20.204000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_ticket,application,2026-01-12 19:09:20.408000+05:30,2026-01-12,Monday,'19:09:20.408000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_special-town-search,application,2026-01-12 19:09:20.508000+05:30,2026-01-12,Monday,'19:09:20.508000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_elastic-town-search,application,2026-01-12 19:09:20.773000+05:30,2026-01-12,Monday,'19:09:20.773000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_special-town-search,application,2026-01-12 19:09:39.473000+05:30,2026-01-12,Monday,'19:09:39.473000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_elastic-town-search,application,2026-01-12 19:09:39.670000+05:30,2026-01-12,Monday,'19:09:39.670000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_special-town-search,application,2026-01-12 19:09:52.411000+05:30,2026-01-12,Monday,'19:09:52.411000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_location_elastic-town-search,application,2026-01-12 19:09:52.587000+05:30,2026-01-12,Monday,'19:09:52.587000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Buslist_date change,application,2026-01-12 19:10:06.514000+05:30,2026-01-12,Monday,'19:10:06.514000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user,application,2026-01-12 19:10:07.110000+05:30,2026-01-12,Monday,'19:10:07.110000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,pageview_bus_list,application,2026-01-12 19:10:07.132000+05:30,2026-01-12,Monday,'19:10:07.132000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_bus-search_user-bus-search,application,2026-01-12 19:10:07.253000+05:30,2026-01-12,Monday,'19:10:07.253000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_bus-search_list,application,2026-01-12 19:10:10.419000+05:30,2026-01-12,Monday,'19:10:10.419000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_rewards_best-V2,application,2026-01-12 19:10:11.365000+05:30,2026-01-12,Monday,'19:10:11.365000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Buslist_date change,application,2026-01-12 19:10:11.386000+05:30,2026-01-12,Monday,'19:10:11.386000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,bus_search,application,2026-01-12 19:10:11.401000+05:30,2026-01-12,Monday,'19:10:11.401000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,bus_result,application,2026-01-12 19:10:11.411000+05:30,2026-01-12,Monday,'19:10:11.411000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Started,system,2026-01-12 19:10:13.742000+05:30,2026-01-12,Monday,'19:10:13.742000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Buslist_date change,application,2026-01-12 19:10:29.508000+05:30,2026-01-12,Monday,'19:10:29.508000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_user,application,2026-01-12 19:10:29.755000+05:30,2026-01-12,Monday,'19:10:29.755000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_bus-search_user-bus-search,application,2026-01-12 19:10:29.765000+05:30,2026-01-12,Monday,'19:10:29.765000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,pageview_bus_list,application,2026-01-12 19:10:29.789000+05:30,2026-01-12,Monday,'19:10:29.789000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_bus-search_list,application,2026-01-12 19:10:31.812000+05:30,2026-01-12,Monday,'19:10:31.812000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,_rewards_best-V2,application,2026-01-12 19:10:31.947000+05:30,2026-01-12,Monday,'19:10:31.947000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Buslist_date change,application,2026-01-12 19:10:31.977000+05:30,2026-01-12,Monday,'19:10:31.977000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,bus_search,application,2026-01-12 19:10:31.992000+05:30,2026-01-12,Monday,'19:10:31.992000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,bus_result,application,2026-01-12 19:10:32.014000+05:30,2026-01-12,Monday,'19:10:32.014000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Buslist_Live Chat Icon,application,2026-01-12 19:10:34.791000+05:30,2026-01-12,Monday,'19:10:34.791000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,enquire_now,application,2026-01-12 19:10:34.938000+05:30,2026-01-12,Monday,'19:10:34.938000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Session Started,system,2026-01-12 19:11:04.227000+05:30,2026-01-12,Monday,'19:11:04.227000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Push Failure,system,2026-01-12 19:25:43.931000+05:30,2026-01-12,Monday,'19:25:43.931000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Journey Ended,system,2026-01-13 01:26:12.524000+05:30,2026-01-13,Tuesday,'01:26:12.524000
281ad0fb-aaa6-478a-bd44-33f5aa091dc3,Push Failure,system,2026-01-13 19:08:47.734000+05:30,2026-01-13,Tuesday,'19:08:47.734000
