user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
29147794-4393-435d-96e3-b96c1a546836,DeviceInfo,application,2026-01-07 14:15:55.630000+05:30,2026-01-07,Wednesday,'14:15:55.630000
29147794-4393-435d-96e3-b96c1a546836,Session Started,system,2026-01-07 14:15:56.635000+05:30,2026-01-07,Wednesday,'14:15:56.635000
29147794-4393-435d-96e3-b96c1a546836,App Installed,system,2026-01-07 14:15:56.663000+05:30,2026-01-07,Wednesday,'14:15:56.663000
29147794-4393-435d-96e3-b96c1a546836,Push Subscribe Process - Device Registered (Push),system,2026-01-07 14:15:56.874000+05:30,2026-01-07,Wednesday,'14:15:56.874000
29147794-4393-435d-96e3-b96c1a546836,app_start,application,2026-01-07 14:15:58.679000+05:30,2026-01-07,Wednesday,'14:15:58.679000
29147794-4393-435d-96e3-b96c1a546836,Journey Started,system,2026-01-07 14:15:58.870000+05:30,2026-01-07,Wednesday,'14:15:58.870000
29147794-4393-435d-96e3-b96c1a546836,choose_language,application,2026-01-07 14:16:01.848000+05:30,2026-01-07,Wednesday,'14:16:01.848000
29147794-4393-435d-96e3-b96c1a546836,Onboarding_Language,application,2026-01-07 14:16:01.854000+05:30,2026-01-07,Wednesday,'14:16:01.854000
29147794-4393-435d-96e3-b96c1a546836,generate_otp,application,2026-01-07 14:16:15.635000+05:30,2026-01-07,Wednesday,'14:16:15.635000
29147794-4393-435d-96e3-b96c1a546836,Onboarding_get_otp,application,2026-01-07 14:16:15.650000+05:30,2026-01-07,Wednesday,'14:16:15.650000
29147794-4393-435d-96e3-b96c1a546836,_auth_generate-otp,application,2026-01-07 14:16:16.490000+05:30,2026-01-07,Wednesday,'14:16:16.490000
29147794-4393-435d-96e3-b96c1a546836,get_otp,application,2026-01-07 14:16:16.495000+05:30,2026-01-07,Wednesday,'14:16:16.495000
29147794-4393-435d-96e3-b96c1a546836,Onboarding_signup_,application,2026-01-07 14:16:16.506000+05:30,2026-01-07,Wednesday,'14:16:16.506000
29147794-4393-435d-96e3-b96c1a546836,Journey Ended,system,2026-01-07 14:16:17.025000+05:30,2026-01-07,Wednesday,'14:16:17.025000
29147794-4393-435d-96e3-b96c1a546836,Journey Started,system,2026-01-07 14:16:17.025000+05:30,2026-01-07,Wednesday,'14:16:17.025000
29147794-4393-435d-96e3-b96c1a546836,verify_otp,application,2026-01-07 14:16:20.765000+05:30,2026-01-07,Wednesday,'14:16:20.765000
29147794-4393-435d-96e3-b96c1a546836,_auth_verify-otp,application,2026-01-07 14:16:21.482000+05:30,2026-01-07,Wednesday,'14:16:21.482000
29147794-4393-435d-96e3-b96c1a546836,enter_otp,application,2026-01-07 14:16:21.493000+05:30,2026-01-07,Wednesday,'14:16:21.493000
29147794-4393-435d-96e3-b96c1a546836,User Login,system,2026-01-07 14:16:21.553000+05:30,2026-01-07,Wednesday,'14:16:21.553000
29147794-4393-435d-96e3-b96c1a546836,login,application,2026-01-07 14:16:21.908000+05:30,2026-01-07,Wednesday,'14:16:21.908000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:16:21.943000+05:30,2026-01-07,Wednesday,'14:16:21.943000
29147794-4393-435d-96e3-b96c1a546836,_location_from-town,application,2026-01-07 14:16:22.347000+05:30,2026-01-07,Wednesday,'14:16:22.347000
29147794-4393-435d-96e3-b96c1a546836,Onboarding_Profile Saved,application,2026-01-07 14:16:25.465000+05:30,2026-01-07,Wednesday,'14:16:25.465000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:16:26.813000+05:30,2026-01-07,Wednesday,'14:16:26.813000
29147794-4393-435d-96e3-b96c1a546836,_history_recommended-journey,application,2026-01-07 14:16:28.516000+05:30,2026-01-07,Wednesday,'14:16:28.516000
29147794-4393-435d-96e3-b96c1a546836,_location_from-town,application,2026-01-07 14:16:28.561000+05:30,2026-01-07,Wednesday,'14:16:28.561000
29147794-4393-435d-96e3-b96c1a546836,_user_device,application,2026-01-07 14:16:28.594000+05:30,2026-01-07,Wednesday,'14:16:28.594000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:16:28.630000+05:30,2026-01-07,Wednesday,'14:16:28.630000
29147794-4393-435d-96e3-b96c1a546836,_ticket,application,2026-01-07 14:16:28.847000+05:30,2026-01-07,Wednesday,'14:16:28.847000
29147794-4393-435d-96e3-b96c1a546836,_location_special-town-search,application,2026-01-07 14:16:28.885000+05:30,2026-01-07,Wednesday,'14:16:28.885000
29147794-4393-435d-96e3-b96c1a546836,_location_elastic-town-search,application,2026-01-07 14:16:35.940000+05:30,2026-01-07,Wednesday,'14:16:35.940000
29147794-4393-435d-96e3-b96c1a546836,_location_special-town-search,application,2026-01-07 14:17:14.476000+05:30,2026-01-07,Wednesday,'14:17:14.476000
29147794-4393-435d-96e3-b96c1a546836,_location_elastic-town-search,application,2026-01-07 14:17:22.204000+05:30,2026-01-07,Wednesday,'14:17:22.204000
29147794-4393-435d-96e3-b96c1a546836,Buslist_date change,application,2026-01-07 14:17:31.763000+05:30,2026-01-07,Wednesday,'14:17:31.763000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:17:31.787000+05:30,2026-01-07,Wednesday,'14:17:31.787000
29147794-4393-435d-96e3-b96c1a546836,pageview_bus_list,application,2026-01-07 14:17:31.793000+05:30,2026-01-07,Wednesday,'14:17:31.793000
29147794-4393-435d-96e3-b96c1a546836,_bus-search_user-bus-search,application,2026-01-07 14:17:31.964000+05:30,2026-01-07,Wednesday,'14:17:31.964000
29147794-4393-435d-96e3-b96c1a546836,Buslist_date change,application,2026-01-07 14:17:40.414000+05:30,2026-01-07,Wednesday,'14:17:40.414000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:17:40.595000+05:30,2026-01-07,Wednesday,'14:17:40.595000
29147794-4393-435d-96e3-b96c1a546836,_bus-search_user-bus-search,application,2026-01-07 14:17:40.615000+05:30,2026-01-07,Wednesday,'14:17:40.615000
29147794-4393-435d-96e3-b96c1a546836,pageview_bus_list,application,2026-01-07 14:17:40.629000+05:30,2026-01-07,Wednesday,'14:17:40.629000
29147794-4393-435d-96e3-b96c1a546836,Buslist_date change,application,2026-01-07 14:21:44.375000+05:30,2026-01-07,Wednesday,'14:21:44.375000
29147794-4393-435d-96e3-b96c1a546836,_bus-search_user-bus-search,application,2026-01-07 14:21:44.825000+05:30,2026-01-07,Wednesday,'14:21:44.825000
29147794-4393-435d-96e3-b96c1a546836,_user,application,2026-01-07 14:21:44.841000+05:30,2026-01-07,Wednesday,'14:21:44.841000
29147794-4393-435d-96e3-b96c1a546836,pageview_bus_list,application,2026-01-07 14:21:44.848000+05:30,2026-01-07,Wednesday,'14:21:44.848000
29147794-4393-435d-96e3-b96c1a546836,_bus-search_list,application,2026-01-07 14:21:47.304000+05:30,2026-01-07,Wednesday,'14:21:47.304000
29147794-4393-435d-96e3-b96c1a546836,_rewards_best-V2,application,2026-01-07 14:21:47.886000+05:30,2026-01-07,Wednesday,'14:21:47.886000
29147794-4393-435d-96e3-b96c1a546836,Buslist_date change,application,2026-01-07 14:21:47.900000+05:30,2026-01-07,Wednesday,'14:21:47.900000
29147794-4393-435d-96e3-b96c1a546836,bus_search,application,2026-01-07 14:21:48.355000+05:30,2026-01-07,Wednesday,'14:21:48.355000
29147794-4393-435d-96e3-b96c1a546836,bus_result,application,2026-01-07 14:21:48.369000+05:30,2026-01-07,Wednesday,'14:21:48.369000
29147794-4393-435d-96e3-b96c1a546836,Buslist_bus_selection,application,2026-01-07 14:21:58.770000+05:30,2026-01-07,Wednesday,'14:21:58.770000
29147794-4393-435d-96e3-b96c1a546836,bus_detail,application,2026-01-07 14:21:58.803000+05:30,2026-01-07,Wednesday,'14:21:58.803000
29147794-4393-435d-96e3-b96c1a546836,pageview_seat_selection,application,2026-01-07 14:21:58.841000+05:30,2026-01-07,Wednesday,'14:21:58.841000
29147794-4393-435d-96e3-b96c1a546836,SeatSelection_Click On Back,application,2026-01-07 14:21:58.850000+05:30,2026-01-07,Wednesday,'14:21:58.850000
29147794-4393-435d-96e3-b96c1a546836,_profile,application,2026-01-07 14:21:59.086000+05:30,2026-01-07,Wednesday,'14:21:59.086000
29147794-4393-435d-96e3-b96c1a546836,_bus-search_v2_layout,application,2026-01-07 14:21:59.187000+05:30,2026-01-07,Wednesday,'14:21:59.187000
29147794-4393-435d-96e3-b96c1a546836,Journey Started,system,2026-01-07 14:21:59.894000+05:30,2026-01-07,Wednesday,'14:21:59.894000
29147794-4393-435d-96e3-b96c1a546836,Journey Ended,system,2026-01-07 14:21:59.906000+05:30,2026-01-07,Wednesday,'14:21:59.906000
29147794-4393-435d-96e3-b96c1a546836,Journey Started,system,2026-01-07 14:21:59.910000+05:30,2026-01-07,Wednesday,'14:21:59.910000
