user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2967a02a-fc2f-4f21-9b23-e03e144e31b5,DeviceInfo,application,2026-01-07 12:36:42.224000+05:30,2026-01-07,Wednesday,'12:36:42.224000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Session Started,system,2026-01-07 12:36:42.908000+05:30,2026-01-07,Wednesday,'12:36:42.908000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,App Installed,system,2026-01-07 12:36:43.065000+05:30,2026-01-07,Wednesday,'12:36:43.065000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Push Subscribe Process - Device Registered (Push),system,2026-01-07 12:36:43.202000+05:30,2026-01-07,Wednesday,'12:36:43.202000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,app_start,application,2026-01-07 12:36:43.278000+05:30,2026-01-07,Wednesday,'12:36:43.278000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Journey Started,system,2026-01-07 12:36:43.391000+05:30,2026-01-07,Wednesday,'12:36:43.391000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,choose_language,application,2026-01-07 12:36:46.336000+05:30,2026-01-07,Wednesday,'12:36:46.336000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Onboarding_Language,application,2026-01-07 12:36:46.363000+05:30,2026-01-07,Wednesday,'12:36:46.363000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,generate_otp,application,2026-01-07 12:37:51.010000+05:30,2026-01-07,Wednesday,'12:37:51.010000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Onboarding_get_otp,application,2026-01-07 12:37:51.066000+05:30,2026-01-07,Wednesday,'12:37:51.066000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Journey Ended,system,2026-01-07 12:37:51.315000+05:30,2026-01-07,Wednesday,'12:37:51.315000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Journey Started,system,2026-01-07 12:37:51.315000+05:30,2026-01-07,Wednesday,'12:37:51.315000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_auth_generate-otp,application,2026-01-07 12:37:51.853000+05:30,2026-01-07,Wednesday,'12:37:51.853000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,get_otp,application,2026-01-07 12:37:51.887000+05:30,2026-01-07,Wednesday,'12:37:51.887000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Onboarding_signup_,application,2026-01-07 12:37:51.957000+05:30,2026-01-07,Wednesday,'12:37:51.957000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,verify_otp,application,2026-01-07 12:37:55.350000+05:30,2026-01-07,Wednesday,'12:37:55.350000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_auth_verify-otp,application,2026-01-07 12:37:55.544000+05:30,2026-01-07,Wednesday,'12:37:55.544000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,enter_otp,application,2026-01-07 12:37:55.593000+05:30,2026-01-07,Wednesday,'12:37:55.593000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,User Login,system,2026-01-07 12:37:55.740000+05:30,2026-01-07,Wednesday,'12:37:55.740000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,login,application,2026-01-07 12:37:56.164000+05:30,2026-01-07,Wednesday,'12:37:56.164000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_user,application,2026-01-07 12:37:56.229000+05:30,2026-01-07,Wednesday,'12:37:56.229000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_location_from-town,application,2026-01-07 12:37:56.770000+05:30,2026-01-07,Wednesday,'12:37:56.770000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Onboarding_Profile Saved,application,2026-01-07 12:37:58.973000+05:30,2026-01-07,Wednesday,'12:37:58.973000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_user,application,2026-01-07 12:38:10.779000+05:30,2026-01-07,Wednesday,'12:38:10.779000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_location_from-town,application,2026-01-07 12:38:13.953000+05:30,2026-01-07,Wednesday,'12:38:13.953000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_history_recommended-journey,application,2026-01-07 12:38:14.003000+05:30,2026-01-07,Wednesday,'12:38:14.003000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_user_device,application,2026-01-07 12:38:14.630000+05:30,2026-01-07,Wednesday,'12:38:14.630000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_user,application,2026-01-07 12:38:14.956000+05:30,2026-01-07,Wednesday,'12:38:14.956000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_location_special-town-search,application,2026-01-07 12:38:15.043000+05:30,2026-01-07,Wednesday,'12:38:15.043000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_ticket,application,2026-01-07 12:38:15.362000+05:30,2026-01-07,Wednesday,'12:38:15.362000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_location_special-town-search,application,2026-01-07 12:38:16.577000+05:30,2026-01-07,Wednesday,'12:38:16.577000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,_location_elastic-town-search,application,2026-01-07 12:38:16.778000+05:30,2026-01-07,Wednesday,'12:38:16.778000
2967a02a-fc2f-4f21-9b23-e03e144e31b5,Push Failure,system,2026-01-08 12:36:57.101000+05:30,2026-01-08,Thursday,'12:36:57.101000
