user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,DeviceInfo,application,2026-01-12 21:56:04.011000+05:30,2026-01-12,Monday,'21:56:04.011000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Session Started,system,2026-01-12 21:56:04.656000+05:30,2026-01-12,Monday,'21:56:04.656000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,App Installed,system,2026-01-12 21:56:04.789000+05:30,2026-01-12,Monday,'21:56:04.789000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Push Subscribe Process - Device Registered (Push),system,2026-01-12 21:56:04.891000+05:30,2026-01-12,Monday,'21:56:04.891000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Journey Started,system,2026-01-12 21:56:05.869000+05:30,2026-01-12,Monday,'21:56:05.869000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,app_start,application,2026-01-12 21:56:11.331000+05:30,2026-01-12,Monday,'21:56:11.331000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,choose_language,application,2026-01-12 21:56:15.704000+05:30,2026-01-12,Monday,'21:56:15.704000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Onboarding_Language,application,2026-01-12 21:56:15.777000+05:30,2026-01-12,Monday,'21:56:15.777000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,generate_otp,application,2026-01-12 21:56:38.334000+05:30,2026-01-12,Monday,'21:56:38.334000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Onboarding_get_otp,application,2026-01-12 21:56:38.510000+05:30,2026-01-12,Monday,'21:56:38.510000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_auth_generate-otp,application,2026-01-12 21:56:39.938000+05:30,2026-01-12,Monday,'21:56:39.938000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,get_otp,application,2026-01-12 21:56:39.955000+05:30,2026-01-12,Monday,'21:56:39.955000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Onboarding_signup_,application,2026-01-12 21:56:39.987000+05:30,2026-01-12,Monday,'21:56:39.987000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Journey Started,system,2026-01-12 21:56:40.040000+05:30,2026-01-12,Monday,'21:56:40.040000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Journey Ended,system,2026-01-12 21:56:40.041000+05:30,2026-01-12,Monday,'21:56:40.041000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,verify_otp,application,2026-01-12 21:57:06.961000+05:30,2026-01-12,Monday,'21:57:06.961000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_auth_verify-otp,application,2026-01-12 21:57:07.721000+05:30,2026-01-12,Monday,'21:57:07.721000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,enter_otp,application,2026-01-12 21:57:08.018000+05:30,2026-01-12,Monday,'21:57:08.018000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,User Login,system,2026-01-12 21:57:08.107000+05:30,2026-01-12,Monday,'21:57:08.107000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,login,application,2026-01-12 21:57:08.846000+05:30,2026-01-12,Monday,'21:57:08.846000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_user,application,2026-01-12 21:57:08.863000+05:30,2026-01-12,Monday,'21:57:08.863000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Onboarding_Profile Saved,application,2026-01-12 21:57:10.806000+05:30,2026-01-12,Monday,'21:57:10.806000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_from-town,application,2026-01-12 21:57:19.766000+05:30,2026-01-12,Monday,'21:57:19.766000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_user,application,2026-01-12 21:57:23.639000+05:30,2026-01-12,Monday,'21:57:23.639000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_history_recommended-journey,application,2026-01-12 21:57:38.195000+05:30,2026-01-12,Monday,'21:57:38.195000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_from-town,application,2026-01-12 21:57:38.320000+05:30,2026-01-12,Monday,'21:57:38.320000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_user_device,application,2026-01-12 21:57:38.341000+05:30,2026-01-12,Monday,'21:57:38.341000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_user,application,2026-01-12 21:57:38.515000+05:30,2026-01-12,Monday,'21:57:38.515000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_special-town-search,application,2026-01-12 21:57:38.889000+05:30,2026-01-12,Monday,'21:57:38.889000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_ticket,application,2026-01-12 21:57:39.005000+05:30,2026-01-12,Monday,'21:57:39.005000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_special-town-search,application,2026-01-12 21:57:41.188000+05:30,2026-01-12,Monday,'21:57:41.188000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_elastic-town-search,application,2026-01-12 21:57:41.621000+05:30,2026-01-12,Monday,'21:57:41.621000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_special-town-search,application,2026-01-12 21:57:50.704000+05:30,2026-01-12,Monday,'21:57:50.704000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_location_elastic-town-search,application,2026-01-12 21:57:54.643000+05:30,2026-01-12,Monday,'21:57:54.643000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Buslist_date change,application,2026-01-12 21:58:23.093000+05:30,2026-01-12,Monday,'21:58:23.093000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_user,application,2026-01-12 21:58:23.699000+05:30,2026-01-12,Monday,'21:58:23.699000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,pageview_bus_list,application,2026-01-12 21:58:23.912000+05:30,2026-01-12,Monday,'21:58:23.912000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_bus-search_user-bus-search,application,2026-01-12 21:58:23.939000+05:30,2026-01-12,Monday,'21:58:23.939000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_bus-search_list,application,2026-01-12 21:58:31.554000+05:30,2026-01-12,Monday,'21:58:31.554000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,_rewards_best-V2,application,2026-01-12 21:58:32.678000+05:30,2026-01-12,Monday,'21:58:32.678000
2c6e1ecb-ea24-4458-9fb2-c656eac2f9d3,Buslist_date change,application,2026-01-12 21:58:32.692000+05:30,2026-01-12,Monday,'21:58:32.692000
