user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2ced6998-e433-445c-8140-661100e49407,DeviceInfo,application,2026-01-02 11:12:20.934000+05:30,2026-01-02,Friday,'11:12:20.934000
2ced6998-e433-445c-8140-661100e49407,Session Started,system,2026-01-02 11:12:21.683000+05:30,2026-01-02,Friday,'11:12:21.683000
2ced6998-e433-445c-8140-661100e49407,Push Subscribe Process - Device Registered (Push),system,2026-01-02 11:12:21.836000+05:30,2026-01-02,Friday,'11:12:21.836000
2ced6998-e433-445c-8140-661100e49407,App Installed,system,2026-01-02 11:12:21.875000+05:30,2026-01-02,Friday,'11:12:21.875000
2ced6998-e433-445c-8140-661100e49407,app_start,application,2026-01-02 11:12:22.171000+05:30,2026-01-02,Friday,'11:12:22.171000
2ced6998-e433-445c-8140-661100e49407,Journey Started,system,2026-01-02 11:12:22.397000+05:30,2026-01-02,Friday,'11:12:22.397000
2ced6998-e433-445c-8140-661100e49407,choose_language,application,2026-01-02 11:12:34.671000+05:30,2026-01-02,Friday,'11:12:34.671000
2ced6998-e433-445c-8140-661100e49407,Onboarding_Language,application,2026-01-02 11:12:34.716000+05:30,2026-01-02,Friday,'11:12:34.716000
2ced6998-e433-445c-8140-661100e49407,generate_otp,application,2026-01-02 11:12:48.866000+05:30,2026-01-02,Friday,'11:12:48.866000
2ced6998-e433-445c-8140-661100e49407,Onboarding_get_otp,application,2026-01-02 11:12:48.896000+05:30,2026-01-02,Friday,'11:12:48.896000
2ced6998-e433-445c-8140-661100e49407,Journey Ended,system,2026-01-02 11:12:49.388000+05:30,2026-01-02,Friday,'11:12:49.388000
2ced6998-e433-445c-8140-661100e49407,Journey Started,system,2026-01-02 11:12:49.388000+05:30,2026-01-02,Friday,'11:12:49.388000
2ced6998-e433-445c-8140-661100e49407,_auth_generate-otp,application,2026-01-02 11:12:49.964000+05:30,2026-01-02,Friday,'11:12:49.964000
2ced6998-e433-445c-8140-661100e49407,get_otp,application,2026-01-02 11:12:49.974000+05:30,2026-01-02,Friday,'11:12:49.974000
2ced6998-e433-445c-8140-661100e49407,Onboarding_signup_,application,2026-01-02 11:12:50.044000+05:30,2026-01-02,Friday,'11:12:50.044000
2ced6998-e433-445c-8140-661100e49407,resend_otp,application,2026-01-02 11:13:09.773000+05:30,2026-01-02,Friday,'11:13:09.773000
2ced6998-e433-445c-8140-661100e49407,_auth_generate-otp,application,2026-01-02 11:13:10.152000+05:30,2026-01-02,Friday,'11:13:10.152000
2ced6998-e433-445c-8140-661100e49407,get_otp,application,2026-01-02 11:13:10.175000+05:30,2026-01-02,Friday,'11:13:10.175000
2ced6998-e433-445c-8140-661100e49407,Onboarding_signup_,application,2026-01-02 11:13:10.186000+05:30,2026-01-02,Friday,'11:13:10.186000
2ced6998-e433-445c-8140-661100e49407,Onboarding_backpressed,application,2026-01-02 11:13:14.276000+05:30,2026-01-02,Friday,'11:13:14.276000
2ced6998-e433-445c-8140-661100e49407,Session Started,system,2026-01-02 11:14:25.746000+05:30,2026-01-02,Friday,'11:14:25.746000
2ced6998-e433-445c-8140-661100e49407,generate_otp,application,2026-01-02 11:14:29.624000+05:30,2026-01-02,Friday,'11:14:29.624000
2ced6998-e433-445c-8140-661100e49407,Onboarding_get_otp,application,2026-01-02 11:14:29.650000+05:30,2026-01-02,Friday,'11:14:29.650000
2ced6998-e433-445c-8140-661100e49407,_auth_generate-otp,application,2026-01-02 11:14:30.291000+05:30,2026-01-02,Friday,'11:14:30.291000
2ced6998-e433-445c-8140-661100e49407,get_otp,application,2026-01-02 11:14:30.308000+05:30,2026-01-02,Friday,'11:14:30.308000
2ced6998-e433-445c-8140-661100e49407,Onboarding_signup_,application,2026-01-02 11:14:30.326000+05:30,2026-01-02,Friday,'11:14:30.326000
