user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2db7a252-241d-4c33-842a-8ad1c3474089,DeviceInfo,application,2026-01-01 14:27:43.808000+05:30,2026-01-01,Thursday,'14:27:43.808000
2db7a252-241d-4c33-842a-8ad1c3474089,Session Started,system,2026-01-01 14:27:44.053000+05:30,2026-01-01,Thursday,'14:27:44.053000
2db7a252-241d-4c33-842a-8ad1c3474089,App Installed,system,2026-01-01 14:27:44.089000+05:30,2026-01-01,Thursday,'14:27:44.089000
2db7a252-241d-4c33-842a-8ad1c3474089,app_start,application,2026-01-01 14:27:45.338000+05:30,2026-01-01,Thursday,'14:27:45.338000
2db7a252-241d-4c33-842a-8ad1c3474089,Push Subscribe Process - Device Registered (Push),system,2026-01-01 14:27:45.854000+05:30,2026-01-01,Thursday,'14:27:45.854000
2db7a252-241d-4c33-842a-8ad1c3474089,Journey Started,system,2026-01-01 14:27:46.564000+05:30,2026-01-01,Thursday,'14:27:46.564000
2db7a252-241d-4c33-842a-8ad1c3474089,choose_language,application,2026-01-01 14:27:49.816000+05:30,2026-01-01,Thursday,'14:27:49.816000
2db7a252-241d-4c33-842a-8ad1c3474089,Onboarding_Language,application,2026-01-01 14:27:49.837000+05:30,2026-01-01,Thursday,'14:27:49.837000
2db7a252-241d-4c33-842a-8ad1c3474089,generate_otp,application,2026-01-01 14:28:04.918000+05:30,2026-01-01,Thursday,'14:28:04.918000
2db7a252-241d-4c33-842a-8ad1c3474089,Onboarding_get_otp,application,2026-01-01 14:28:04.938000+05:30,2026-01-01,Thursday,'14:28:04.938000
2db7a252-241d-4c33-842a-8ad1c3474089,_auth_generate-otp,application,2026-01-01 14:28:05.722000+05:30,2026-01-01,Thursday,'14:28:05.722000
2db7a252-241d-4c33-842a-8ad1c3474089,get_otp,application,2026-01-01 14:28:05.735000+05:30,2026-01-01,Thursday,'14:28:05.735000
2db7a252-241d-4c33-842a-8ad1c3474089,Onboarding_signup_,application,2026-01-01 14:28:05.764000+05:30,2026-01-01,Thursday,'14:28:05.764000
2db7a252-241d-4c33-842a-8ad1c3474089,verify_otp,application,2026-01-01 14:28:07.439000+05:30,2026-01-01,Thursday,'14:28:07.439000
2db7a252-241d-4c33-842a-8ad1c3474089,_auth_verify-otp,application,2026-01-01 14:28:07.681000+05:30,2026-01-01,Thursday,'14:28:07.681000
2db7a252-241d-4c33-842a-8ad1c3474089,enter_otp,application,2026-01-01 14:28:07.779000+05:30,2026-01-01,Thursday,'14:28:07.779000
2db7a252-241d-4c33-842a-8ad1c3474089,User Login,system,2026-01-01 14:28:07.805000+05:30,2026-01-01,Thursday,'14:28:07.805000
2db7a252-241d-4c33-842a-8ad1c3474089,Journey Ended,system,2026-01-01 14:28:07.849000+05:30,2026-01-01,Thursday,'14:28:07.849000
2db7a252-241d-4c33-842a-8ad1c3474089,Journey Started,system,2026-01-01 14:28:07.849000+05:30,2026-01-01,Thursday,'14:28:07.849000
2db7a252-241d-4c33-842a-8ad1c3474089,login,application,2026-01-01 14:28:08.074000+05:30,2026-01-01,Thursday,'14:28:08.074000
2db7a252-241d-4c33-842a-8ad1c3474089,_user,application,2026-01-01 14:28:08.108000+05:30,2026-01-01,Thursday,'14:28:08.108000
2db7a252-241d-4c33-842a-8ad1c3474089,_location_from-town,application,2026-01-01 14:28:08.381000+05:30,2026-01-01,Thursday,'14:28:08.381000
2db7a252-241d-4c33-842a-8ad1c3474089,Onboarding_Profile Saved,application,2026-01-01 14:28:09.461000+05:30,2026-01-01,Thursday,'14:28:09.461000
