user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2f68f148-19a5-44ee-8ecb-6e1d19e91577,App Installed,system,2026-01-11 14:07:36.105000+05:30,2026-01-11,Sunday,'14:07:36.105000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,DeviceInfo,application,2026-01-11 14:07:36.318000+05:30,2026-01-11,Sunday,'14:07:36.318000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Journey Started,system,2026-01-11 14:07:36.464000+05:30,2026-01-11,Sunday,'14:07:36.464000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Session Started,system,2026-01-11 14:07:37.028000+05:30,2026-01-11,Sunday,'14:07:37.028000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Push Subscribe Process - Device Registered (Push),system,2026-01-11 14:07:38.480000+05:30,2026-01-11,Sunday,'14:07:38.480000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,app_start,application,2026-01-11 14:07:39.172000+05:30,2026-01-11,Sunday,'14:07:39.172000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,choose_language,application,2026-01-11 14:07:41.496000+05:30,2026-01-11,Sunday,'14:07:41.496000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Onboarding_Language,application,2026-01-11 14:07:41.532000+05:30,2026-01-11,Sunday,'14:07:41.532000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,generate_otp,application,2026-01-11 14:07:51.380000+05:30,2026-01-11,Sunday,'14:07:51.380000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Onboarding_get_otp,application,2026-01-11 14:07:51.403000+05:30,2026-01-11,Sunday,'14:07:51.403000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Journey Started,system,2026-01-11 14:07:51.679000+05:30,2026-01-11,Sunday,'14:07:51.679000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Journey Ended,system,2026-01-11 14:07:51.679000+05:30,2026-01-11,Sunday,'14:07:51.679000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,_auth_generate-otp,application,2026-01-11 14:07:52.427000+05:30,2026-01-11,Sunday,'14:07:52.427000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,get_otp,application,2026-01-11 14:07:52.443000+05:30,2026-01-11,Sunday,'14:07:52.443000
2f68f148-19a5-44ee-8ecb-6e1d19e91577,Onboarding_signup_,application,2026-01-11 14:07:52.464000+05:30,2026-01-11,Sunday,'14:07:52.464000
