user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
337308f3-332b-4f95-a28f-16187a830ae7,DeviceInfo,application,2026-01-16 22:01:58.778000+05:30,2026-01-16,Friday,'22:01:58.778000
337308f3-332b-4f95-a28f-16187a830ae7,Session Started,system,2026-01-16 22:02:02.321000+05:30,2026-01-16,Friday,'22:02:02.321000
337308f3-332b-4f95-a28f-16187a830ae7,App Installed,system,2026-01-16 22:02:02.341000+05:30,2026-01-16,Friday,'22:02:02.341000
337308f3-332b-4f95-a28f-16187a830ae7,Push Subscribe Process - Device Registered (Push),system,2026-01-16 22:02:06.173000+05:30,2026-01-16,Friday,'22:02:06.173000
337308f3-332b-4f95-a28f-16187a830ae7,app_start,application,2026-01-16 22:02:08.520000+05:30,2026-01-16,Friday,'22:02:08.520000
337308f3-332b-4f95-a28f-16187a830ae7,choose_language,application,2026-01-16 22:02:10.331000+05:30,2026-01-16,Friday,'22:02:10.331000
337308f3-332b-4f95-a28f-16187a830ae7,Onboarding_Language,application,2026-01-16 22:02:10.337000+05:30,2026-01-16,Friday,'22:02:10.337000
337308f3-332b-4f95-a28f-16187a830ae7,Journey Started,system,2026-01-16 22:02:22.614000+05:30,2026-01-16,Friday,'22:02:22.614000
337308f3-332b-4f95-a28f-16187a830ae7,generate_otp,application,2026-01-16 22:02:30.888000+05:30,2026-01-16,Friday,'22:02:30.888000
337308f3-332b-4f95-a28f-16187a830ae7,Onboarding_get_otp,application,2026-01-16 22:02:30.904000+05:30,2026-01-16,Friday,'22:02:30.904000
337308f3-332b-4f95-a28f-16187a830ae7,_auth_generate-otp,application,2026-01-16 22:02:32.744000+05:30,2026-01-16,Friday,'22:02:32.744000
337308f3-332b-4f95-a28f-16187a830ae7,get_otp,application,2026-01-16 22:02:32.765000+05:30,2026-01-16,Friday,'22:02:32.765000
337308f3-332b-4f95-a28f-16187a830ae7,Onboarding_signup_,application,2026-01-16 22:02:32.794000+05:30,2026-01-16,Friday,'22:02:32.794000
337308f3-332b-4f95-a28f-16187a830ae7,verify_otp,application,2026-01-16 22:02:38.471000+05:30,2026-01-16,Friday,'22:02:38.471000
337308f3-332b-4f95-a28f-16187a830ae7,_auth_verify-otp,application,2026-01-16 22:02:38.754000+05:30,2026-01-16,Friday,'22:02:38.754000
337308f3-332b-4f95-a28f-16187a830ae7,enter_otp,application,2026-01-16 22:02:38.772000+05:30,2026-01-16,Friday,'22:02:38.772000
337308f3-332b-4f95-a28f-16187a830ae7,User Login,system,2026-01-16 22:02:38.779000+05:30,2026-01-16,Friday,'22:02:38.779000
337308f3-332b-4f95-a28f-16187a830ae7,login,application,2026-01-16 22:02:39.241000+05:30,2026-01-16,Friday,'22:02:39.241000
337308f3-332b-4f95-a28f-16187a830ae7,_user,application,2026-01-16 22:02:39.280000+05:30,2026-01-16,Friday,'22:02:39.280000
337308f3-332b-4f95-a28f-16187a830ae7,Onboarding_Profile Saved,application,2026-01-16 22:02:41.022000+05:30,2026-01-16,Friday,'22:02:41.022000
337308f3-332b-4f95-a28f-16187a830ae7,_location_from-town,application,2026-01-16 22:02:41.062000+05:30,2026-01-16,Friday,'22:02:41.062000
337308f3-332b-4f95-a28f-16187a830ae7,_user,application,2026-01-16 22:02:50.686000+05:30,2026-01-16,Friday,'22:02:50.686000
337308f3-332b-4f95-a28f-16187a830ae7,Journey Started,system,2026-01-16 22:02:51.537000+05:30,2026-01-16,Friday,'22:02:51.537000
337308f3-332b-4f95-a28f-16187a830ae7,Journey Ended,system,2026-01-16 22:02:51.537000+05:30,2026-01-16,Friday,'22:02:51.537000
337308f3-332b-4f95-a28f-16187a830ae7,_user,application,2026-01-16 22:02:53.430000+05:30,2026-01-16,Friday,'22:02:53.430000
337308f3-332b-4f95-a28f-16187a830ae7,_history_recommended-journey,application,2026-01-16 22:02:53.526000+05:30,2026-01-16,Friday,'22:02:53.526000
337308f3-332b-4f95-a28f-16187a830ae7,_location_from-town,application,2026-01-16 22:02:53.553000+05:30,2026-01-16,Friday,'22:02:53.553000
337308f3-332b-4f95-a28f-16187a830ae7,_user_device,application,2026-01-16 22:02:53.731000+05:30,2026-01-16,Friday,'22:02:53.731000
337308f3-332b-4f95-a28f-16187a830ae7,_user,application,2026-01-16 22:02:53.766000+05:30,2026-01-16,Friday,'22:02:53.766000
337308f3-332b-4f95-a28f-16187a830ae7,_location_special-town-search,application,2026-01-16 22:02:54.112000+05:30,2026-01-16,Friday,'22:02:54.112000
337308f3-332b-4f95-a28f-16187a830ae7,_ticket,application,2026-01-16 22:02:54.135000+05:30,2026-01-16,Friday,'22:02:54.135000
337308f3-332b-4f95-a28f-16187a830ae7,_location_special-town-search,application,2026-01-16 22:02:54.245000+05:30,2026-01-16,Friday,'22:02:54.245000
337308f3-332b-4f95-a28f-16187a830ae7,_location_elastic-town-search,application,2026-01-16 22:02:54.481000+05:30,2026-01-16,Friday,'22:02:54.481000
337308f3-332b-4f95-a28f-16187a830ae7,_location_special-town-search,application,2026-01-16 22:03:11.418000+05:30,2026-01-16,Friday,'22:03:11.418000
