user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
33e654df-8062-4333-a1e3-ee4270f0c0d5,DeviceInfo,application,2026-01-11 10:53:32.371000+05:30,2026-01-11,Sunday,'10:53:32.371000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Session Started,system,2026-01-11 10:53:32.594000+05:30,2026-01-11,Sunday,'10:53:32.594000
33e654df-8062-4333-a1e3-ee4270f0c0d5,App Installed,system,2026-01-11 10:53:32.625000+05:30,2026-01-11,Sunday,'10:53:32.625000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Started,system,2026-01-11 10:53:32.661000+05:30,2026-01-11,Sunday,'10:53:32.661000
33e654df-8062-4333-a1e3-ee4270f0c0d5,app_start,application,2026-01-11 10:53:33.444000+05:30,2026-01-11,Sunday,'10:53:33.444000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Push Subscribe Process - Device Registered (Push),system,2026-01-11 10:53:34.280000+05:30,2026-01-11,Sunday,'10:53:34.280000
33e654df-8062-4333-a1e3-ee4270f0c0d5,choose_language,application,2026-01-11 10:53:35.541000+05:30,2026-01-11,Sunday,'10:53:35.541000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Onboarding_Language,application,2026-01-11 10:53:35.565000+05:30,2026-01-11,Sunday,'10:53:35.565000
33e654df-8062-4333-a1e3-ee4270f0c0d5,choose_language,application,2026-01-11 10:53:36.926000+05:30,2026-01-11,Sunday,'10:53:36.926000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Onboarding_Language,application,2026-01-11 10:53:36.933000+05:30,2026-01-11,Sunday,'10:53:36.933000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Started,system,2026-01-11 10:53:37.055000+05:30,2026-01-11,Sunday,'10:53:37.055000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Ended,system,2026-01-11 10:53:37.056000+05:30,2026-01-11,Sunday,'10:53:37.056000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Started,system,2026-01-11 10:53:37.061000+05:30,2026-01-11,Sunday,'10:53:37.061000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Ended,system,2026-01-11 10:53:37.062000+05:30,2026-01-11,Sunday,'10:53:37.062000
33e654df-8062-4333-a1e3-ee4270f0c0d5,choose_language,application,2026-01-11 10:53:37.407000+05:30,2026-01-11,Sunday,'10:53:37.407000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Onboarding_Language,application,2026-01-11 10:53:37.413000+05:30,2026-01-11,Sunday,'10:53:37.413000
33e654df-8062-4333-a1e3-ee4270f0c0d5,generate_otp,application,2026-01-11 10:53:44.069000+05:30,2026-01-11,Sunday,'10:53:44.069000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Onboarding_get_otp,application,2026-01-11 10:53:44.085000+05:30,2026-01-11,Sunday,'10:53:44.085000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Started,system,2026-01-11 10:53:44.157000+05:30,2026-01-11,Sunday,'10:53:44.157000
33e654df-8062-4333-a1e3-ee4270f0c0d5,Journey Ended,system,2026-01-11 10:53:44.157000+05:30,2026-01-11,Sunday,'10:53:44.157000
