user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
3442a136-012b-4c72-b7c2-d09f9693dec7,App Installed,system,2026-01-12 19:14:49.106000+05:30,2026-01-12,Monday,'19:14:49.106000
3442a136-012b-4c72-b7c2-d09f9693dec7,Buslist_date change,application,2026-01-12 19:20:24.597000+05:30,2026-01-12,Monday,'19:20:24.597000
3442a136-012b-4c72-b7c2-d09f9693dec7,DeviceInfo,application,2026-01-12 19:14:48.778000+05:30,2026-01-12,Monday,'19:14:48.778000
3442a136-012b-4c72-b7c2-d09f9693dec7,Journey Ended,system,2026-01-12 19:15:17.888000+05:30,2026-01-12,Monday,'19:15:17.888000
3442a136-012b-4c72-b7c2-d09f9693dec7,Journey Started,system,2026-01-12 19:14:49.509000+05:30,2026-01-12,Monday,'19:14:49.509000
3442a136-012b-4c72-b7c2-d09f9693dec7,Journey Started,system,2026-01-12 19:15:17.888000+05:30,2026-01-12,Monday,'19:15:17.888000
3442a136-012b-4c72-b7c2-d09f9693dec7,Onboarding_Language,application,2026-01-12 19:15:00.369000+05:30,2026-01-12,Monday,'19:15:00.369000
3442a136-012b-4c72-b7c2-d09f9693dec7,Onboarding_Profile Saved,application,2026-01-12 19:15:33.792000+05:30,2026-01-12,Monday,'19:15:33.792000
3442a136-012b-4c72-b7c2-d09f9693dec7,Onboarding_get_otp,application,2026-01-12 19:15:17.964000+05:30,2026-01-12,Monday,'19:15:17.964000
3442a136-012b-4c72-b7c2-d09f9693dec7,Onboarding_signup_,application,2026-01-12 19:15:19.312000+05:30,2026-01-12,Monday,'19:15:19.312000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-13 19:15:14.621000+05:30,2026-01-13,Tuesday,'19:15:14.621000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-14 19:15:22.211000+05:30,2026-01-14,Wednesday,'19:15:22.211000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-15 19:15:40.554000+05:30,2026-01-15,Thursday,'19:15:40.554000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-16 19:15:51.135000+05:30,2026-01-16,Friday,'19:15:51.135000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-17 19:16:11.898000+05:30,2026-01-17,Saturday,'19:16:11.898000
3442a136-012b-4c72-b7c2-d09f9693dec7,Push Failure,system,2026-01-19 19:16:40.760000+05:30,2026-01-19,Monday,'19:16:40.760000
