user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
34f00bd6-75b8-49b2-9dc1-fa2e42300050,App Installed,system,2026-01-06 20:07:08.859000+05:30,2026-01-06,Tuesday,'20:07:08.859000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Buslist_date change,application,2026-01-06 20:09:32.262000+05:30,2026-01-06,Tuesday,'20:09:32.262000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Buslist_date change,application,2026-01-06 20:09:40.058000+05:30,2026-01-06,Tuesday,'20:09:40.058000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,DeviceInfo,application,2026-01-06 20:07:08.504000+05:30,2026-01-06,Tuesday,'20:07:08.504000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Journey Ended,system,2026-01-06 20:07:34.922000+05:30,2026-01-06,Tuesday,'20:07:34.922000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Journey Ended,system,2026-01-07 02:25:20.313000+05:30,2026-01-07,Wednesday,'02:25:20.313000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Journey Started,system,2026-01-06 20:07:34.922000+05:30,2026-01-06,Tuesday,'20:07:34.922000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Journey Started,system,2026-01-06 20:09:03.872000+05:30,2026-01-06,Tuesday,'20:09:03.872000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Journey Started,system,2026-01-06 20:09:41.508000+05:30,2026-01-06,Tuesday,'20:09:41.508000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Onboarding_Language,application,2026-01-06 20:07:24.762000+05:30,2026-01-06,Tuesday,'20:07:24.762000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Onboarding_Profile Saved,application,2026-01-06 20:07:43.703000+05:30,2026-01-06,Tuesday,'20:07:43.703000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Onboarding_get_otp,application,2026-01-06 20:07:33.100000+05:30,2026-01-06,Tuesday,'20:07:33.100000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Onboarding_signup_,application,2026-01-06 20:07:36.870000+05:30,2026-01-06,Tuesday,'20:07:36.870000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-06 20:25:09.726000+05:30,2026-01-06,Tuesday,'20:25:09.726000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-07 20:09:25.353000+05:30,2026-01-07,Wednesday,'20:09:25.353000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-08 20:09:55.371000+05:30,2026-01-08,Thursday,'20:09:55.371000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-09 20:10:27.115000+05:30,2026-01-09,Friday,'20:10:27.115000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-10 20:10:47.502000+05:30,2026-01-10,Saturday,'20:10:47.502000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-11 20:11:14.430000+05:30,2026-01-11,Sunday,'20:11:14.430000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-13 20:11:20.836000+05:30,2026-01-13,Tuesday,'20:11:20.836000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-15 20:11:39.007000+05:30,2026-01-15,Thursday,'20:11:39.007000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Failure,system,2026-01-17 20:11:44.139000+05:30,2026-01-17,Saturday,'20:11:44.139000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Push Subscribe Process - Device Registered (Push),system,2026-01-06 20:07:14.902000+05:30,2026-01-06,Tuesday,'20:07:14.902000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Session Started,system,2026-01-06 20:07:08.840000+05:30,2026-01-06,Tuesday,'20:07:08.840000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,Session Started,system,2026-01-06 20:08:44.189000+05:30,2026-01-06,Tuesday,'20:08:44.189000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,User Login,system,2026-01-06 20:07:41.396000+05:30,2026-01-06,Tuesday,'20:07:41.396000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_auth_generate-otp,application,2026-01-06 20:07:36.839000+05:30,2026-01-06,Tuesday,'20:07:36.839000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_auth_verify-otp,application,2026-01-06 20:07:41.355000+05:30,2026-01-06,Tuesday,'20:07:41.355000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_bus-search_list,application,2026-01-06 20:09:37.421000+05:30,2026-01-06,Tuesday,'20:09:37.421000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_bus-search_user-bus-search,application,2026-01-06 20:09:33.640000+05:30,2026-01-06,Tuesday,'20:09:33.640000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_history_recommended-journey,application,2026-01-06 20:08:49.114000+05:30,2026-01-06,Tuesday,'20:08:49.114000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:08:54.581000+05:30,2026-01-06,Tuesday,'20:08:54.581000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:08:56.588000+05:30,2026-01-06,Tuesday,'20:08:56.588000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:08:59.401000+05:30,2026-01-06,Tuesday,'20:08:59.401000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:08:59.610000+05:30,2026-01-06,Tuesday,'20:08:59.610000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:08:59.795000+05:30,2026-01-06,Tuesday,'20:08:59.795000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:00.024000+05:30,2026-01-06,Tuesday,'20:09:00.024000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:00.990000+05:30,2026-01-06,Tuesday,'20:09:00.990000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:01.229000+05:30,2026-01-06,Tuesday,'20:09:01.229000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:01.462000+05:30,2026-01-06,Tuesday,'20:09:01.462000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:01.810000+05:30,2026-01-06,Tuesday,'20:09:01.810000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:02.123000+05:30,2026-01-06,Tuesday,'20:09:02.123000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:04.193000+05:30,2026-01-06,Tuesday,'20:09:04.193000
34f00bd6-75b8-49b2-9dc1-fa2e42300050,_location_elastic-town-search,application,2026-01-06 20:09:06.259000+05:30,2026-01-06,Tuesday,'20:09:06.259000
