user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,App Installed,system,2026-01-02 20:15:38.477000+05:30,2026-01-02,Friday,'20:15:38.477000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-02 20:17:18.417000+05:30,2026-01-02,Friday,'20:17:18.417000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-02 20:18:00.165000+05:30,2026-01-02,Friday,'20:18:00.165000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-02 20:19:19.114000+05:30,2026-01-02,Friday,'20:19:19.114000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-04 22:06:46.105000+05:30,2026-01-04,Sunday,'22:06:46.105000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-04 22:07:05.655000+05:30,2026-01-04,Sunday,'22:07:05.655000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-04 22:07:19.937000+05:30,2026-01-04,Sunday,'22:07:19.937000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_bus_selection,application,2026-01-04 22:07:42.092000+05:30,2026-01-04,Sunday,'22:07:42.092000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:17:00.969000+05:30,2026-01-02,Friday,'20:17:00.969000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:17:05.123000+05:30,2026-01-02,Friday,'20:17:05.123000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:17:55.375000+05:30,2026-01-02,Friday,'20:17:55.375000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:17:57.924000+05:30,2026-01-02,Friday,'20:17:57.924000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:19:09.094000+05:30,2026-01-02,Friday,'20:19:09.094000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:19:11.611000+05:30,2026-01-02,Friday,'20:19:11.611000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:09.131000+05:30,2026-01-02,Friday,'20:20:09.131000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:12.758000+05:30,2026-01-02,Friday,'20:20:12.758000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:28.030000+05:30,2026-01-02,Friday,'20:20:28.030000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:31.314000+05:30,2026-01-02,Friday,'20:20:31.314000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:45.912000+05:30,2026-01-02,Friday,'20:20:45.912000
354daf55-b31f-4fb1-94fc-0fd3dd3da06d,Buslist_date change,application,2026-01-02 20:20:48.406000+05:30,2026-01-02,Friday,'20:20:48.406000
