user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
35a5236d-0d43-4c78-af13-453f9d1d1799,DeviceInfo,application,2026-01-07 22:59:50.233000+05:30,2026-01-07,Wednesday,'22:59:50.233000
35a5236d-0d43-4c78-af13-453f9d1d1799,Session Started,system,2026-01-07 22:59:50.725000+05:30,2026-01-07,Wednesday,'22:59:50.725000
35a5236d-0d43-4c78-af13-453f9d1d1799,App Installed,system,2026-01-07 22:59:50.798000+05:30,2026-01-07,Wednesday,'22:59:50.798000
35a5236d-0d43-4c78-af13-453f9d1d1799,app_start,application,2026-01-07 22:59:51.886000+05:30,2026-01-07,Wednesday,'22:59:51.886000
35a5236d-0d43-4c78-af13-453f9d1d1799,Push Subscribe Process - Device Registered (Push),system,2026-01-07 22:59:52.283000+05:30,2026-01-07,Wednesday,'22:59:52.283000
35a5236d-0d43-4c78-af13-453f9d1d1799,choose_language,application,2026-01-07 22:59:54.553000+05:30,2026-01-07,Wednesday,'22:59:54.553000
35a5236d-0d43-4c78-af13-453f9d1d1799,Onboarding_Language,application,2026-01-07 22:59:54.573000+05:30,2026-01-07,Wednesday,'22:59:54.573000
35a5236d-0d43-4c78-af13-453f9d1d1799,generate_otp,application,2026-01-07 23:00:05.043000+05:30,2026-01-07,Wednesday,'23:00:05.043000
35a5236d-0d43-4c78-af13-453f9d1d1799,Onboarding_get_otp,application,2026-01-07 23:00:05.061000+05:30,2026-01-07,Wednesday,'23:00:05.061000
35a5236d-0d43-4c78-af13-453f9d1d1799,Journey Started,system,2026-01-07 23:00:06.929000+05:30,2026-01-07,Wednesday,'23:00:06.929000
35a5236d-0d43-4c78-af13-453f9d1d1799,Journey Ended,system,2026-01-07 23:00:06.929000+05:30,2026-01-07,Wednesday,'23:00:06.929000
35a5236d-0d43-4c78-af13-453f9d1d1799,_auth_generate-otp,application,2026-01-07 23:00:07.041000+05:30,2026-01-07,Wednesday,'23:00:07.041000
35a5236d-0d43-4c78-af13-453f9d1d1799,get_otp,application,2026-01-07 23:00:07.058000+05:30,2026-01-07,Wednesday,'23:00:07.058000
35a5236d-0d43-4c78-af13-453f9d1d1799,Onboarding_signup_,application,2026-01-07 23:00:07.081000+05:30,2026-01-07,Wednesday,'23:00:07.081000
35a5236d-0d43-4c78-af13-453f9d1d1799,verify_otp,application,2026-01-07 23:00:32.365000+05:30,2026-01-07,Wednesday,'23:00:32.365000
35a5236d-0d43-4c78-af13-453f9d1d1799,_auth_verify-otp,application,2026-01-07 23:00:32.727000+05:30,2026-01-07,Wednesday,'23:00:32.727000
35a5236d-0d43-4c78-af13-453f9d1d1799,enter_otp,application,2026-01-07 23:00:32.798000+05:30,2026-01-07,Wednesday,'23:00:32.798000
35a5236d-0d43-4c78-af13-453f9d1d1799,User Login,system,2026-01-07 23:00:32.865000+05:30,2026-01-07,Wednesday,'23:00:32.865000
35a5236d-0d43-4c78-af13-453f9d1d1799,login,application,2026-01-07 23:00:33.892000+05:30,2026-01-07,Wednesday,'23:00:33.892000
35a5236d-0d43-4c78-af13-453f9d1d1799,_user,application,2026-01-07 23:00:33.943000+05:30,2026-01-07,Wednesday,'23:00:33.943000
35a5236d-0d43-4c78-af13-453f9d1d1799,Onboarding_Profile Saved,application,2026-01-07 23:00:34.418000+05:30,2026-01-07,Wednesday,'23:00:34.418000
35a5236d-0d43-4c78-af13-453f9d1d1799,_location_from-town,application,2026-01-07 23:00:34.728000+05:30,2026-01-07,Wednesday,'23:00:34.728000
35a5236d-0d43-4c78-af13-453f9d1d1799,_user,application,2026-01-07 23:00:41.286000+05:30,2026-01-07,Wednesday,'23:00:41.286000
35a5236d-0d43-4c78-af13-453f9d1d1799,_location_from-town,application,2026-01-07 23:00:44.447000+05:30,2026-01-07,Wednesday,'23:00:44.447000
