user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,DeviceInfo,application,2026-01-06 10:16:10.261000+05:30,2026-01-06,Tuesday,'10:16:10.261000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Session Started,system,2026-01-06 10:16:10.786000+05:30,2026-01-06,Tuesday,'10:16:10.786000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,App Installed,system,2026-01-06 10:16:10.825000+05:30,2026-01-06,Tuesday,'10:16:10.825000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,app_start,application,2026-01-06 10:16:11.891000+05:30,2026-01-06,Tuesday,'10:16:11.891000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Journey Started,system,2026-01-06 10:16:12.104000+05:30,2026-01-06,Tuesday,'10:16:12.104000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Push Subscribe Process - Device Registered (Push),system,2026-01-06 10:16:12.187000+05:30,2026-01-06,Tuesday,'10:16:12.187000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,choose_language,application,2026-01-06 10:16:14.247000+05:30,2026-01-06,Tuesday,'10:16:14.247000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Onboarding_Language,application,2026-01-06 10:16:14.252000+05:30,2026-01-06,Tuesday,'10:16:14.252000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,choose_language,application,2026-01-06 10:16:14.732000+05:30,2026-01-06,Tuesday,'10:16:14.732000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Onboarding_Language,application,2026-01-06 10:16:14.738000+05:30,2026-01-06,Tuesday,'10:16:14.738000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Journey Started,system,2026-01-06 10:16:16.351000+05:30,2026-01-06,Tuesday,'10:16:16.351000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Journey Ended,system,2026-01-06 10:16:16.351000+05:30,2026-01-06,Tuesday,'10:16:16.351000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Journey Started,system,2026-01-06 10:16:16.366000+05:30,2026-01-06,Tuesday,'10:16:16.366000
35ad1f8c-106f-4b0e-86c6-5da696dd35b4,Journey Ended,system,2026-01-06 10:16:16.366000+05:30,2026-01-06,Tuesday,'10:16:16.366000
