user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,DeviceInfo,application,2026-01-09 19:29:37.792000+05:30,2026-01-09,Friday,'19:29:37.792000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Session Started,system,2026-01-09 19:29:38.092000+05:30,2026-01-09,Friday,'19:29:38.092000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,App Installed,system,2026-01-09 19:29:38.093000+05:30,2026-01-09,Friday,'19:29:38.093000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Started,system,2026-01-09 19:29:38.127000+05:30,2026-01-09,Friday,'19:29:38.127000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Push Subscribe Process - Device Registered (Push),system,2026-01-09 19:29:38.500000+05:30,2026-01-09,Friday,'19:29:38.500000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,app_start,application,2026-01-09 19:29:43.667000+05:30,2026-01-09,Friday,'19:29:43.667000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,choose_language,application,2026-01-09 19:30:06.375000+05:30,2026-01-09,Friday,'19:30:06.375000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Onboarding_Language,application,2026-01-09 19:30:06.387000+05:30,2026-01-09,Friday,'19:30:06.387000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,generate_otp,application,2026-01-09 19:30:26.395000+05:30,2026-01-09,Friday,'19:30:26.395000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Onboarding_get_otp,application,2026-01-09 19:30:26.664000+05:30,2026-01-09,Friday,'19:30:26.664000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Ended,system,2026-01-09 19:30:27.180000+05:30,2026-01-09,Friday,'19:30:27.180000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Started,system,2026-01-09 19:30:27.180000+05:30,2026-01-09,Friday,'19:30:27.180000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_auth_generate-otp,application,2026-01-09 19:30:29.072000+05:30,2026-01-09,Friday,'19:30:29.072000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,get_otp,application,2026-01-09 19:30:29.093000+05:30,2026-01-09,Friday,'19:30:29.093000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Onboarding_signup_,application,2026-01-09 19:30:29.120000+05:30,2026-01-09,Friday,'19:30:29.120000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,resend_otp,application,2026-01-09 19:31:01.629000+05:30,2026-01-09,Friday,'19:31:01.629000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_auth_generate-otp,application,2026-01-09 19:31:02.506000+05:30,2026-01-09,Friday,'19:31:02.506000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Onboarding_signup_,application,2026-01-09 19:31:03.520000+05:30,2026-01-09,Friday,'19:31:03.520000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,get_otp,application,2026-01-09 19:31:03.520000+05:30,2026-01-09,Friday,'19:31:03.520000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,verify_otp,application,2026-01-09 19:31:36.542000+05:30,2026-01-09,Friday,'19:31:36.542000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_auth_verify-otp,application,2026-01-09 19:31:40.300000+05:30,2026-01-09,Friday,'19:31:40.300000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,enter_otp,application,2026-01-09 19:31:40.323000+05:30,2026-01-09,Friday,'19:31:40.323000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,User Login,system,2026-01-09 19:31:40.409000+05:30,2026-01-09,Friday,'19:31:40.409000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,login,application,2026-01-09 19:31:48.906000+05:30,2026-01-09,Friday,'19:31:48.906000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_user,application,2026-01-09 19:31:49.031000+05:30,2026-01-09,Friday,'19:31:49.031000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Onboarding_Profile Saved,application,2026-01-09 19:31:49.031000+05:30,2026-01-09,Friday,'19:31:49.031000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_from-town,application,2026-01-09 19:31:49.368000+05:30,2026-01-09,Friday,'19:31:49.368000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_user,application,2026-01-09 19:31:50.783000+05:30,2026-01-09,Friday,'19:31:50.783000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_user_device,application,2026-01-09 19:31:50.784000+05:30,2026-01-09,Friday,'19:31:50.784000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_from-town,application,2026-01-09 19:31:50.784000+05:30,2026-01-09,Friday,'19:31:50.784000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_history_recommended-journey,application,2026-01-09 19:31:50.784000+05:30,2026-01-09,Friday,'19:31:50.784000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_ticket,application,2026-01-09 19:31:52.485000+05:30,2026-01-09,Friday,'19:31:52.485000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_special-town-search,application,2026-01-09 19:31:52.505000+05:30,2026-01-09,Friday,'19:31:52.505000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_ticket,application,2026-01-09 19:32:03.708000+05:30,2026-01-09,Friday,'19:32:03.708000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_ticket_v2,application,2026-01-09 19:32:03.882000+05:30,2026-01-09,Friday,'19:32:03.882000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_special-town-search,application,2026-01-09 19:32:08.683000+05:30,2026-01-09,Friday,'19:32:08.683000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_elastic-town-search,application,2026-01-09 19:32:10.453000+05:30,2026-01-09,Friday,'19:32:10.453000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_special-town-search,application,2026-01-09 19:32:20.217000+05:30,2026-01-09,Friday,'19:32:20.217000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_location_elastic-town-search,application,2026-01-09 19:32:22.188000+05:30,2026-01-09,Friday,'19:32:22.188000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Buslist_date change,application,2026-01-09 19:32:26.592000+05:30,2026-01-09,Friday,'19:32:26.592000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_user,application,2026-01-09 19:32:26.592000+05:30,2026-01-09,Friday,'19:32:26.592000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,pageview_bus_list,application,2026-01-09 19:32:28.053000+05:30,2026-01-09,Friday,'19:32:28.053000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_bus-search_user-bus-search,application,2026-01-09 19:32:28.474000+05:30,2026-01-09,Friday,'19:32:28.474000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_bus-search_list,application,2026-01-09 19:32:32.231000+05:30,2026-01-09,Friday,'19:32:32.231000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_user,application,2026-01-09 19:32:32.498000+05:30,2026-01-09,Friday,'19:32:32.498000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Buslist_date change,application,2026-01-09 19:32:32.498000+05:30,2026-01-09,Friday,'19:32:32.498000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_bus-search_user-bus-search,application,2026-01-09 19:32:33.918000+05:30,2026-01-09,Friday,'19:32:33.918000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,pageview_bus_list,application,2026-01-09 19:32:33.931000+05:30,2026-01-09,Friday,'19:32:33.931000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_rewards_best-V2,application,2026-01-09 19:32:50.934000+05:30,2026-01-09,Friday,'19:32:50.934000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Buslist_date change,application,2026-01-09 19:32:50.934000+05:30,2026-01-09,Friday,'19:32:50.934000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,bus_result,application,2026-01-09 19:32:50.934000+05:30,2026-01-09,Friday,'19:32:50.934000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,bus_search,application,2026-01-09 19:32:50.934000+05:30,2026-01-09,Friday,'19:32:50.934000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_bus-search_list,application,2026-01-09 19:32:50.934000+05:30,2026-01-09,Friday,'19:32:50.934000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Started,system,2026-01-09 19:32:50.987000+05:30,2026-01-09,Friday,'19:32:50.987000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,pageview_seat_selection,application,2026-01-09 19:33:04.636000+05:30,2026-01-09,Friday,'19:33:04.636000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Buslist_bus_selection,application,2026-01-09 19:33:04.636000+05:30,2026-01-09,Friday,'19:33:04.636000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,bus_detail,application,2026-01-09 19:33:04.636000+05:30,2026-01-09,Friday,'19:33:04.636000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,SeatSelection_Click On Back,application,2026-01-09 19:33:04.637000+05:30,2026-01-09,Friday,'19:33:04.637000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Ended,system,2026-01-09 19:33:04.711000+05:30,2026-01-09,Friday,'19:33:04.711000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,Journey Started,system,2026-01-09 19:33:04.716000+05:30,2026-01-09,Friday,'19:33:04.716000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_profile,application,2026-01-09 19:33:06.427000+05:30,2026-01-09,Friday,'19:33:06.427000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,_bus-search_v2_layout,application,2026-01-09 19:33:10.790000+05:30,2026-01-09,Friday,'19:33:10.790000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,select_seat,application,2026-01-09 19:33:19.265000+05:30,2026-01-09,Friday,'19:33:19.265000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,pageview_seat_selection,application,2026-01-09 19:33:22.194000+05:30,2026-01-09,Friday,'19:33:22.194000
35dc33d7-4217-4fc1-80d9-731ecb24c4f6,SeatSelection_Click On Back,application,2026-01-09 19:33:22.195000+05:30,2026-01-09,Friday,'19:33:22.195000
