user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
3d076618-50ac-47a3-9d7c-eaabb11feaec,DeviceInfo,application,2026-01-05 18:53:43.888000+05:30,2026-01-05,Monday,'18:53:43.888000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Session Started,system,2026-01-05 18:53:44.116000+05:30,2026-01-05,Monday,'18:53:44.116000
3d076618-50ac-47a3-9d7c-eaabb11feaec,App Installed,system,2026-01-05 18:53:44.148000+05:30,2026-01-05,Monday,'18:53:44.148000
3d076618-50ac-47a3-9d7c-eaabb11feaec,app_start,application,2026-01-05 18:53:44.854000+05:30,2026-01-05,Monday,'18:53:44.854000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Journey Started,system,2026-01-05 18:53:45.512000+05:30,2026-01-05,Monday,'18:53:45.512000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Push Subscribe Process - Device Registered (Push),system,2026-01-05 18:53:45.657000+05:30,2026-01-05,Monday,'18:53:45.657000
3d076618-50ac-47a3-9d7c-eaabb11feaec,choose_language,application,2026-01-05 18:53:46.653000+05:30,2026-01-05,Monday,'18:53:46.653000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Onboarding_Language,application,2026-01-05 18:53:46.673000+05:30,2026-01-05,Monday,'18:53:46.673000
3d076618-50ac-47a3-9d7c-eaabb11feaec,generate_otp,application,2026-01-05 18:53:53.674000+05:30,2026-01-05,Monday,'18:53:53.674000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Onboarding_get_otp,application,2026-01-05 18:53:53.716000+05:30,2026-01-05,Monday,'18:53:53.716000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_auth_generate-otp,application,2026-01-05 18:53:54.692000+05:30,2026-01-05,Monday,'18:53:54.692000
3d076618-50ac-47a3-9d7c-eaabb11feaec,get_otp,application,2026-01-05 18:53:54.733000+05:30,2026-01-05,Monday,'18:53:54.733000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Onboarding_signup_,application,2026-01-05 18:53:54.754000+05:30,2026-01-05,Monday,'18:53:54.754000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Journey Started,system,2026-01-05 18:53:55.203000+05:30,2026-01-05,Monday,'18:53:55.203000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Journey Ended,system,2026-01-05 18:53:55.203000+05:30,2026-01-05,Monday,'18:53:55.203000
3d076618-50ac-47a3-9d7c-eaabb11feaec,verify_otp,application,2026-01-05 18:53:57.234000+05:30,2026-01-05,Monday,'18:53:57.234000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_auth_verify-otp,application,2026-01-05 18:53:57.453000+05:30,2026-01-05,Monday,'18:53:57.453000
3d076618-50ac-47a3-9d7c-eaabb11feaec,enter_otp,application,2026-01-05 18:53:57.481000+05:30,2026-01-05,Monday,'18:53:57.481000
3d076618-50ac-47a3-9d7c-eaabb11feaec,User Login,system,2026-01-05 18:53:57.503000+05:30,2026-01-05,Monday,'18:53:57.503000
3d076618-50ac-47a3-9d7c-eaabb11feaec,login,application,2026-01-05 18:53:57.930000+05:30,2026-01-05,Monday,'18:53:57.930000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_user,application,2026-01-05 18:53:57.953000+05:30,2026-01-05,Monday,'18:53:57.953000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_from-town,application,2026-01-05 18:53:58.083000+05:30,2026-01-05,Monday,'18:53:58.083000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Onboarding_Profile Saved,application,2026-01-05 18:54:05.017000+05:30,2026-01-05,Monday,'18:54:05.017000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_user,application,2026-01-05 18:54:06.281000+05:30,2026-01-05,Monday,'18:54:06.281000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_history_recommended-journey,application,2026-01-05 18:54:08.856000+05:30,2026-01-05,Monday,'18:54:08.856000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_user_device,application,2026-01-05 18:54:08.914000+05:30,2026-01-05,Monday,'18:54:08.914000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_user,application,2026-01-05 18:54:08.992000+05:30,2026-01-05,Monday,'18:54:08.992000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_from-town,application,2026-01-05 18:54:09.015000+05:30,2026-01-05,Monday,'18:54:09.015000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_ticket,application,2026-01-05 18:54:09.164000+05:30,2026-01-05,Monday,'18:54:09.164000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_special-town-search,application,2026-01-05 18:54:09.249000+05:30,2026-01-05,Monday,'18:54:09.249000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_elastic-town-search,application,2026-01-05 18:54:16.700000+05:30,2026-01-05,Monday,'18:54:16.700000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_special-town-search,application,2026-01-05 18:54:43.312000+05:30,2026-01-05,Monday,'18:54:43.312000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_location_elastic-town-search,application,2026-01-05 18:54:45.114000+05:30,2026-01-05,Monday,'18:54:45.114000
3d076618-50ac-47a3-9d7c-eaabb11feaec,Buslist_date change,application,2026-01-05 18:55:15.697000+05:30,2026-01-05,Monday,'18:55:15.697000
3d076618-50ac-47a3-9d7c-eaabb11feaec,_user,application,2026-01-05 18:55:15.988000+05:30,2026-01-05,Monday,'18:55:15.988000
