user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
3d6cbed4-db56-4064-b51e-32275c20486a,DeviceInfo,application,2026-01-08 17:30:33.680000+05:30,2026-01-08,Thursday,'17:30:33.680000
3d6cbed4-db56-4064-b51e-32275c20486a,Session Started,system,2026-01-08 17:30:34.198000+05:30,2026-01-08,Thursday,'17:30:34.198000
3d6cbed4-db56-4064-b51e-32275c20486a,App Installed,system,2026-01-08 17:30:34.292000+05:30,2026-01-08,Thursday,'17:30:34.292000
3d6cbed4-db56-4064-b51e-32275c20486a,app_start,application,2026-01-08 17:30:35.398000+05:30,2026-01-08,Thursday,'17:30:35.398000
3d6cbed4-db56-4064-b51e-32275c20486a,Push Subscribe Process - Device Registered (Push),system,2026-01-08 17:30:35.491000+05:30,2026-01-08,Thursday,'17:30:35.491000
3d6cbed4-db56-4064-b51e-32275c20486a,Journey Started,system,2026-01-08 17:30:35.757000+05:30,2026-01-08,Thursday,'17:30:35.757000
3d6cbed4-db56-4064-b51e-32275c20486a,choose_language,application,2026-01-08 17:30:36.953000+05:30,2026-01-08,Thursday,'17:30:36.953000
3d6cbed4-db56-4064-b51e-32275c20486a,Onboarding_Language,application,2026-01-08 17:30:37.056000+05:30,2026-01-08,Thursday,'17:30:37.056000
3d6cbed4-db56-4064-b51e-32275c20486a,generate_otp,application,2026-01-08 17:30:48.862000+05:30,2026-01-08,Thursday,'17:30:48.862000
3d6cbed4-db56-4064-b51e-32275c20486a,Onboarding_get_otp,application,2026-01-08 17:30:48.894000+05:30,2026-01-08,Thursday,'17:30:48.894000
3d6cbed4-db56-4064-b51e-32275c20486a,_auth_generate-otp,application,2026-01-08 17:30:49.795000+05:30,2026-01-08,Thursday,'17:30:49.795000
3d6cbed4-db56-4064-b51e-32275c20486a,get_otp,application,2026-01-08 17:30:49.817000+05:30,2026-01-08,Thursday,'17:30:49.817000
3d6cbed4-db56-4064-b51e-32275c20486a,Onboarding_signup_,application,2026-01-08 17:30:50.118000+05:30,2026-01-08,Thursday,'17:30:50.118000
3d6cbed4-db56-4064-b51e-32275c20486a,Journey Started,system,2026-01-08 17:30:50.632000+05:30,2026-01-08,Thursday,'17:30:50.632000
3d6cbed4-db56-4064-b51e-32275c20486a,Journey Ended,system,2026-01-08 17:30:50.632000+05:30,2026-01-08,Thursday,'17:30:50.632000
3d6cbed4-db56-4064-b51e-32275c20486a,verify_otp,application,2026-01-08 17:30:59.506000+05:30,2026-01-08,Thursday,'17:30:59.506000
3d6cbed4-db56-4064-b51e-32275c20486a,_auth_verify-otp,application,2026-01-08 17:31:00.019000+05:30,2026-01-08,Thursday,'17:31:00.019000
3d6cbed4-db56-4064-b51e-32275c20486a,enter_otp,application,2026-01-08 17:31:00.061000+05:30,2026-01-08,Thursday,'17:31:00.061000
3d6cbed4-db56-4064-b51e-32275c20486a,User Login,system,2026-01-08 17:31:00.090000+05:30,2026-01-08,Thursday,'17:31:00.090000
3d6cbed4-db56-4064-b51e-32275c20486a,login,application,2026-01-08 17:31:00.286000+05:30,2026-01-08,Thursday,'17:31:00.286000
3d6cbed4-db56-4064-b51e-32275c20486a,_user,application,2026-01-08 17:31:00.765000+05:30,2026-01-08,Thursday,'17:31:00.765000
3d6cbed4-db56-4064-b51e-32275c20486a,_location_from-town,application,2026-01-08 17:31:01.367000+05:30,2026-01-08,Thursday,'17:31:01.367000
3d6cbed4-db56-4064-b51e-32275c20486a,_user,application,2026-01-08 17:31:04.603000+05:30,2026-01-08,Thursday,'17:31:04.603000
3d6cbed4-db56-4064-b51e-32275c20486a,_location_from-town,application,2026-01-08 17:31:04.719000+05:30,2026-01-08,Thursday,'17:31:04.719000
3d6cbed4-db56-4064-b51e-32275c20486a,_user,application,2026-01-08 17:31:04.767000+05:30,2026-01-08,Thursday,'17:31:04.767000
3d6cbed4-db56-4064-b51e-32275c20486a,_user_device,application,2026-01-08 17:31:05.401000+05:30,2026-01-08,Thursday,'17:31:05.401000
3d6cbed4-db56-4064-b51e-32275c20486a,_history_recommended-journey,application,2026-01-08 17:31:05.431000+05:30,2026-01-08,Thursday,'17:31:05.431000
3d6cbed4-db56-4064-b51e-32275c20486a,_location_special-town-search,application,2026-01-08 17:31:05.444000+05:30,2026-01-08,Thursday,'17:31:05.444000
3d6cbed4-db56-4064-b51e-32275c20486a,_ticket,application,2026-01-08 17:31:05.484000+05:30,2026-01-08,Thursday,'17:31:05.484000
3d6cbed4-db56-4064-b51e-32275c20486a,_location_special-town-search,application,2026-01-08 17:31:07.830000+05:30,2026-01-08,Thursday,'17:31:07.830000
3d6cbed4-db56-4064-b51e-32275c20486a,_location_elastic-town-search,application,2026-01-08 17:31:07.916000+05:30,2026-01-08,Thursday,'17:31:07.916000
3d6cbed4-db56-4064-b51e-32275c20486a,Push Failure,system,2026-01-09 17:31:04.144000+05:30,2026-01-09,Friday,'17:31:04.144000
