user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
3dddc905-abe3-4576-988d-8cb047657cdd,DeviceInfo,application,2026-01-17 07:49:27.557000+05:30,2026-01-17,Saturday,'07:49:27.557000
3dddc905-abe3-4576-988d-8cb047657cdd,App Installed,system,2026-01-17 07:49:28.016000+05:30,2026-01-17,Saturday,'07:49:28.016000
3dddc905-abe3-4576-988d-8cb047657cdd,Session Started,system,2026-01-17 07:49:28.016000+05:30,2026-01-17,Saturday,'07:49:28.016000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:28.029000+05:30,2026-01-17,Saturday,'07:49:28.029000
3dddc905-abe3-4576-988d-8cb047657cdd,Push Subscribe Process - Device Registered (Push),system,2026-01-17 07:49:28.106000+05:30,2026-01-17,Saturday,'07:49:28.106000
3dddc905-abe3-4576-988d-8cb047657cdd,app_start,application,2026-01-17 07:49:32.059000+05:30,2026-01-17,Saturday,'07:49:32.059000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:36.434000+05:30,2026-01-17,Saturday,'07:49:36.434000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:36.434000+05:30,2026-01-17,Saturday,'07:49:36.434000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:36.434000+05:30,2026-01-17,Saturday,'07:49:36.434000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:36.451000+05:30,2026-01-17,Saturday,'07:49:36.451000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:36.451000+05:30,2026-01-17,Saturday,'07:49:36.451000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:36.454000+05:30,2026-01-17,Saturday,'07:49:36.454000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:36.454000+05:30,2026-01-17,Saturday,'07:49:36.454000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:36.929000+05:30,2026-01-17,Saturday,'07:49:36.929000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:37.191000+05:30,2026-01-17,Saturday,'07:49:37.191000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:37.254000+05:30,2026-01-17,Saturday,'07:49:37.254000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:39.021000+05:30,2026-01-17,Saturday,'07:49:39.021000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:39.028000+05:30,2026-01-17,Saturday,'07:49:39.028000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:39.043000+05:30,2026-01-17,Saturday,'07:49:39.043000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:39.043000+05:30,2026-01-17,Saturday,'07:49:39.043000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:39.047000+05:30,2026-01-17,Saturday,'07:49:39.047000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:39.048000+05:30,2026-01-17,Saturday,'07:49:39.048000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:39.769000+05:30,2026-01-17,Saturday,'07:49:39.769000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:39.809000+05:30,2026-01-17,Saturday,'07:49:39.809000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:40.804000+05:30,2026-01-17,Saturday,'07:49:40.804000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:40.824000+05:30,2026-01-17,Saturday,'07:49:40.824000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:46.999000+05:30,2026-01-17,Saturday,'07:49:46.999000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:47.511000+05:30,2026-01-17,Saturday,'07:49:47.511000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:47.842000+05:30,2026-01-17,Saturday,'07:49:47.842000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:47.842000+05:30,2026-01-17,Saturday,'07:49:47.842000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:47.844000+05:30,2026-01-17,Saturday,'07:49:47.844000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:47.847000+05:30,2026-01-17,Saturday,'07:49:47.847000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:47.928000+05:30,2026-01-17,Saturday,'07:49:47.928000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:47.928000+05:30,2026-01-17,Saturday,'07:49:47.928000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:49:47.936000+05:30,2026-01-17,Saturday,'07:49:47.936000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Ended,system,2026-01-17 07:49:47.937000+05:30,2026-01-17,Saturday,'07:49:47.937000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:50.074000+05:30,2026-01-17,Saturday,'07:49:50.074000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:50.090000+05:30,2026-01-17,Saturday,'07:49:50.090000
3dddc905-abe3-4576-988d-8cb047657cdd,choose_language,application,2026-01-17 07:49:50.726000+05:30,2026-01-17,Saturday,'07:49:50.726000
3dddc905-abe3-4576-988d-8cb047657cdd,Onboarding_Language,application,2026-01-17 07:49:50.739000+05:30,2026-01-17,Saturday,'07:49:50.739000
3dddc905-abe3-4576-988d-8cb047657cdd,generate_otp,application,2026-01-17 07:50:22.284000+05:30,2026-01-17,Saturday,'07:50:22.284000
3dddc905-abe3-4576-988d-8cb047657cdd,Journey Started,system,2026-01-17 07:50:22.298000+05:30,2026-01-17,Saturday,'07:50:22.298000
