user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
42b1c247-d3b6-481e-a83f-52fffd57bab5,DeviceInfo,application,2026-01-12 06:42:45.884000+05:30,2026-01-12,Monday,'06:42:45.884000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Session Started,system,2026-01-12 06:42:46.323000+05:30,2026-01-12,Monday,'06:42:46.323000
42b1c247-d3b6-481e-a83f-52fffd57bab5,App Installed,system,2026-01-12 06:42:46.324000+05:30,2026-01-12,Monday,'06:42:46.324000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Journey Started,system,2026-01-12 06:42:46.343000+05:30,2026-01-12,Monday,'06:42:46.343000
42b1c247-d3b6-481e-a83f-52fffd57bab5,app_start,application,2026-01-12 06:42:47.448000+05:30,2026-01-12,Monday,'06:42:47.448000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Push Subscribe Process - Device Registered (Push),system,2026-01-12 06:42:47.448000+05:30,2026-01-12,Monday,'06:42:47.448000
42b1c247-d3b6-481e-a83f-52fffd57bab5,choose_language,application,2026-01-12 06:42:50.675000+05:30,2026-01-12,Monday,'06:42:50.675000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_Language,application,2026-01-12 06:42:50.688000+05:30,2026-01-12,Monday,'06:42:50.688000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_get_otp,application,2026-01-12 06:42:54.180000+05:30,2026-01-12,Monday,'06:42:54.180000
42b1c247-d3b6-481e-a83f-52fffd57bab5,generate_otp,application,2026-01-12 06:42:54.180000+05:30,2026-01-12,Monday,'06:42:54.180000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Journey Started,system,2026-01-12 06:42:54.199000+05:30,2026-01-12,Monday,'06:42:54.199000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Journey Ended,system,2026-01-12 06:42:54.200000+05:30,2026-01-12,Monday,'06:42:54.200000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_auth_generate-otp,application,2026-01-12 06:42:56.420000+05:30,2026-01-12,Monday,'06:42:56.420000
42b1c247-d3b6-481e-a83f-52fffd57bab5,get_otp,application,2026-01-12 06:42:56.447000+05:30,2026-01-12,Monday,'06:42:56.447000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_signup_,application,2026-01-12 06:42:56.453000+05:30,2026-01-12,Monday,'06:42:56.453000
42b1c247-d3b6-481e-a83f-52fffd57bab5,verify_otp,application,2026-01-12 06:42:57.585000+05:30,2026-01-12,Monday,'06:42:57.585000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_auth_verify-otp,application,2026-01-12 06:42:57.585000+05:30,2026-01-12,Monday,'06:42:57.585000
42b1c247-d3b6-481e-a83f-52fffd57bab5,enter_otp,application,2026-01-12 06:42:58.603000+05:30,2026-01-12,Monday,'06:42:58.603000
42b1c247-d3b6-481e-a83f-52fffd57bab5,User Login,system,2026-01-12 06:42:59.165000+05:30,2026-01-12,Monday,'06:42:59.165000
42b1c247-d3b6-481e-a83f-52fffd57bab5,login,application,2026-01-12 06:42:59.814000+05:30,2026-01-12,Monday,'06:42:59.814000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_user,application,2026-01-12 06:42:59.819000+05:30,2026-01-12,Monday,'06:42:59.819000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_location_from-town,application,2026-01-12 06:43:00.251000+05:30,2026-01-12,Monday,'06:43:00.251000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_Profile Saved,application,2026-01-12 06:43:00.676000+05:30,2026-01-12,Monday,'06:43:00.676000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_user,application,2026-01-12 06:43:15.623000+05:30,2026-01-12,Monday,'06:43:15.623000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_backpressed,application,2026-01-12 06:44:12.347000+05:30,2026-01-12,Monday,'06:44:12.347000
42b1c247-d3b6-481e-a83f-52fffd57bab5,_user,application,2026-01-12 06:44:20.955000+05:30,2026-01-12,Monday,'06:44:20.955000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Onboarding_backpressed,application,2026-01-12 06:44:30.365000+05:30,2026-01-12,Monday,'06:44:30.365000
42b1c247-d3b6-481e-a83f-52fffd57bab5,Push Failure,system,2026-01-13 06:43:13.079000+05:30,2026-01-13,Tuesday,'06:43:13.079000
