user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
43f34c9b-1108-4460-89b3-4b1bda8762ba,DeviceInfo,application,2026-01-10 10:13:20.542000+05:30,2026-01-10,Saturday,'10:13:20.542000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Session Started,system,2026-01-10 10:13:20.801000+05:30,2026-01-10,Saturday,'10:13:20.801000
43f34c9b-1108-4460-89b3-4b1bda8762ba,App Installed,system,2026-01-10 10:13:20.833000+05:30,2026-01-10,Saturday,'10:13:20.833000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Journey Started,system,2026-01-10 10:13:20.911000+05:30,2026-01-10,Saturday,'10:13:20.911000
43f34c9b-1108-4460-89b3-4b1bda8762ba,app_start,application,2026-01-10 10:13:21.619000+05:30,2026-01-10,Saturday,'10:13:21.619000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Push Subscribe Process - Device Registered (Push),system,2026-01-10 10:13:22.330000+05:30,2026-01-10,Saturday,'10:13:22.330000
43f34c9b-1108-4460-89b3-4b1bda8762ba,choose_language,application,2026-01-10 10:13:23.792000+05:30,2026-01-10,Saturday,'10:13:23.792000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Onboarding_Language,application,2026-01-10 10:13:23.822000+05:30,2026-01-10,Saturday,'10:13:23.822000
43f34c9b-1108-4460-89b3-4b1bda8762ba,choose_language,application,2026-01-10 10:13:24.106000+05:30,2026-01-10,Saturday,'10:13:24.106000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Onboarding_Language,application,2026-01-10 10:13:24.113000+05:30,2026-01-10,Saturday,'10:13:24.113000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Journey Ended,system,2026-01-10 10:13:24.236000+05:30,2026-01-10,Saturday,'10:13:24.236000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Journey Started,system,2026-01-10 10:13:24.236000+05:30,2026-01-10,Saturday,'10:13:24.236000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Journey Ended,system,2026-01-10 10:13:24.251000+05:30,2026-01-10,Saturday,'10:13:24.251000
43f34c9b-1108-4460-89b3-4b1bda8762ba,generate_otp,application,2026-01-10 10:13:30.517000+05:30,2026-01-10,Saturday,'10:13:30.517000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Onboarding_get_otp,application,2026-01-10 10:13:30.531000+05:30,2026-01-10,Saturday,'10:13:30.531000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_auth_generate-otp,application,2026-01-10 10:13:31.575000+05:30,2026-01-10,Saturday,'10:13:31.575000
43f34c9b-1108-4460-89b3-4b1bda8762ba,get_otp,application,2026-01-10 10:13:31.587000+05:30,2026-01-10,Saturday,'10:13:31.587000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Onboarding_signup_,application,2026-01-10 10:13:31.713000+05:30,2026-01-10,Saturday,'10:13:31.713000
43f34c9b-1108-4460-89b3-4b1bda8762ba,verify_otp,application,2026-01-10 10:13:37.197000+05:30,2026-01-10,Saturday,'10:13:37.197000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_auth_verify-otp,application,2026-01-10 10:13:37.511000+05:30,2026-01-10,Saturday,'10:13:37.511000
43f34c9b-1108-4460-89b3-4b1bda8762ba,enter_otp,application,2026-01-10 10:13:37.591000+05:30,2026-01-10,Saturday,'10:13:37.591000
43f34c9b-1108-4460-89b3-4b1bda8762ba,User Login,system,2026-01-10 10:13:37.684000+05:30,2026-01-10,Saturday,'10:13:37.684000
43f34c9b-1108-4460-89b3-4b1bda8762ba,login,application,2026-01-10 10:13:37.872000+05:30,2026-01-10,Saturday,'10:13:37.872000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:13:38.493000+05:30,2026-01-10,Saturday,'10:13:38.493000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_from-town,application,2026-01-10 10:13:38.892000+05:30,2026-01-10,Saturday,'10:13:38.892000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Onboarding_Profile Saved,application,2026-01-10 10:13:43.610000+05:30,2026-01-10,Saturday,'10:13:43.610000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:13:52.703000+05:30,2026-01-10,Saturday,'10:13:52.703000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_history_recommended-journey,application,2026-01-10 10:13:54.869000+05:30,2026-01-10,Saturday,'10:13:54.869000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_from-town,application,2026-01-10 10:13:54.985000+05:30,2026-01-10,Saturday,'10:13:54.985000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user_device,application,2026-01-10 10:13:55.068000+05:30,2026-01-10,Saturday,'10:13:55.068000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:13:55.104000+05:30,2026-01-10,Saturday,'10:13:55.104000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:13:55.306000+05:30,2026-01-10,Saturday,'10:13:55.306000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_ticket,application,2026-01-10 10:13:55.338000+05:30,2026-01-10,Saturday,'10:13:55.338000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:13:57.300000+05:30,2026-01-10,Saturday,'10:13:57.300000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:13:59.033000+05:30,2026-01-10,Saturday,'10:13:59.033000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:14:13.503000+05:30,2026-01-10,Saturday,'10:14:13.503000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:14:13.777000+05:30,2026-01-10,Saturday,'10:14:13.777000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:14:13.786000+05:30,2026-01-10,Saturday,'10:14:13.786000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:14:14.040000+05:30,2026-01-10,Saturday,'10:14:14.040000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:14:15.689000+05:30,2026-01-10,Saturday,'10:14:15.689000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:14:16.353000+05:30,2026-01-10,Saturday,'10:14:16.353000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:14:16.376000+05:30,2026-01-10,Saturday,'10:14:16.376000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:14:16.420000+05:30,2026-01-10,Saturday,'10:14:16.420000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:14:16.439000+05:30,2026-01-10,Saturday,'10:14:16.439000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Journey Started,system,2026-01-10 10:14:28.608000+05:30,2026-01-10,Saturday,'10:14:28.608000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:14:30.634000+05:30,2026-01-10,Saturday,'10:14:30.634000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:14:30.809000+05:30,2026-01-10,Saturday,'10:14:30.809000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:14:58.360000+05:30,2026-01-10,Saturday,'10:14:58.360000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:14:58.624000+05:30,2026-01-10,Saturday,'10:14:58.624000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:14:58.676000+05:30,2026-01-10,Saturday,'10:14:58.676000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:14:58.683000+05:30,2026-01-10,Saturday,'10:14:58.683000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:15:00.052000+05:30,2026-01-10,Saturday,'10:15:00.052000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:15:00.192000+05:30,2026-01-10,Saturday,'10:15:00.192000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:15:00.205000+05:30,2026-01-10,Saturday,'10:15:00.205000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:15:00.231000+05:30,2026-01-10,Saturday,'10:15:00.231000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:15:00.238000+05:30,2026-01-10,Saturday,'10:15:00.238000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:15:10.846000+05:30,2026-01-10,Saturday,'10:15:10.846000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:15:10.991000+05:30,2026-01-10,Saturday,'10:15:10.991000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:15:22.270000+05:30,2026-01-10,Saturday,'10:15:22.270000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:15:22.424000+05:30,2026-01-10,Saturday,'10:15:22.424000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:15:49.326000+05:30,2026-01-10,Saturday,'10:15:49.326000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:15:49.570000+05:30,2026-01-10,Saturday,'10:15:49.570000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:15:49.595000+05:30,2026-01-10,Saturday,'10:15:49.595000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:15:49.639000+05:30,2026-01-10,Saturday,'10:15:49.639000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:15:50.922000+05:30,2026-01-10,Saturday,'10:15:50.922000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:15:51.099000+05:30,2026-01-10,Saturday,'10:15:51.099000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:15:51.107000+05:30,2026-01-10,Saturday,'10:15:51.107000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:15:51.120000+05:30,2026-01-10,Saturday,'10:15:51.120000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:15:51.130000+05:30,2026-01-10,Saturday,'10:15:51.130000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_Live Chat Icon,application,2026-01-10 10:15:52.600000+05:30,2026-01-10,Saturday,'10:15:52.600000
43f34c9b-1108-4460-89b3-4b1bda8762ba,enquire_now,application,2026-01-10 10:15:52.619000+05:30,2026-01-10,Saturday,'10:15:52.619000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:00.354000+05:30,2026-01-10,Saturday,'10:16:00.354000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:16:00.600000+05:30,2026-01-10,Saturday,'10:16:00.600000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:16:00.625000+05:30,2026-01-10,Saturday,'10:16:00.625000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:16:00.648000+05:30,2026-01-10,Saturday,'10:16:00.648000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:16:01.726000+05:30,2026-01-10,Saturday,'10:16:01.726000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:16:01.897000+05:30,2026-01-10,Saturday,'10:16:01.897000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:01.921000+05:30,2026-01-10,Saturday,'10:16:01.921000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:16:01.947000+05:30,2026-01-10,Saturday,'10:16:01.947000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:16:01.975000+05:30,2026-01-10,Saturday,'10:16:01.975000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:07.861000+05:30,2026-01-10,Saturday,'10:16:07.861000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:16:08.178000+05:30,2026-01-10,Saturday,'10:16:08.178000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:16:08.248000+05:30,2026-01-10,Saturday,'10:16:08.248000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:16:08.259000+05:30,2026-01-10,Saturday,'10:16:08.259000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:16:10.694000+05:30,2026-01-10,Saturday,'10:16:10.694000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:16:10.832000+05:30,2026-01-10,Saturday,'10:16:10.832000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:10.852000+05:30,2026-01-10,Saturday,'10:16:10.852000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:16:10.877000+05:30,2026-01-10,Saturday,'10:16:10.877000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:16:10.886000+05:30,2026-01-10,Saturday,'10:16:10.886000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:16:13.540000+05:30,2026-01-10,Saturday,'10:16:13.540000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:16:13.725000+05:30,2026-01-10,Saturday,'10:16:13.725000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:19.398000+05:30,2026-01-10,Saturday,'10:16:19.398000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:16:19.583000+05:30,2026-01-10,Saturday,'10:16:19.583000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:16:19.592000+05:30,2026-01-10,Saturday,'10:16:19.592000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:16:19.720000+05:30,2026-01-10,Saturday,'10:16:19.720000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:16:20.741000+05:30,2026-01-10,Saturday,'10:16:20.741000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:16:20.990000+05:30,2026-01-10,Saturday,'10:16:20.990000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:20.998000+05:30,2026-01-10,Saturday,'10:16:20.998000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:16:21.007000+05:30,2026-01-10,Saturday,'10:16:21.007000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:16:21.014000+05:30,2026-01-10,Saturday,'10:16:21.014000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:25.604000+05:30,2026-01-10,Saturday,'10:16:25.604000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:16:25.853000+05:30,2026-01-10,Saturday,'10:16:25.853000
43f34c9b-1108-4460-89b3-4b1bda8762ba,pageview_bus_list,application,2026-01-10 10:16:25.864000+05:30,2026-01-10,Saturday,'10:16:25.864000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_user-bus-search,application,2026-01-10 10:16:25.870000+05:30,2026-01-10,Saturday,'10:16:25.870000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_bus-search_list,application,2026-01-10 10:16:27.261000+05:30,2026-01-10,Saturday,'10:16:27.261000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_rewards_best-V2,application,2026-01-10 10:16:27.429000+05:30,2026-01-10,Saturday,'10:16:27.429000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:27.438000+05:30,2026-01-10,Saturday,'10:16:27.438000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_search,application,2026-01-10 10:16:27.446000+05:30,2026-01-10,Saturday,'10:16:27.446000
43f34c9b-1108-4460-89b3-4b1bda8762ba,bus_result,application,2026-01-10 10:16:27.458000+05:30,2026-01-10,Saturday,'10:16:27.458000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_special-town-search,application,2026-01-10 10:16:30.322000+05:30,2026-01-10,Saturday,'10:16:30.322000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_location_elastic-town-search,application,2026-01-10 10:16:30.514000+05:30,2026-01-10,Saturday,'10:16:30.514000
43f34c9b-1108-4460-89b3-4b1bda8762ba,Buslist_date change,application,2026-01-10 10:16:37.838000+05:30,2026-01-10,Saturday,'10:16:37.838000
43f34c9b-1108-4460-89b3-4b1bda8762ba,_user,application,2026-01-10 10:16:38.101000+05:30,2026-01-10,Saturday,'10:16:38.101000
