user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
44e21e76-3d27-4368-827a-2233071b7004,DeviceInfo,application,2026-01-05 19:56:21.024000+05:30,2026-01-05,Monday,'19:56:21.024000
44e21e76-3d27-4368-827a-2233071b7004,Session Started,system,2026-01-05 19:56:21.640000+05:30,2026-01-05,Monday,'19:56:21.640000
44e21e76-3d27-4368-827a-2233071b7004,App Installed,system,2026-01-05 19:56:21.709000+05:30,2026-01-05,Monday,'19:56:21.709000
44e21e76-3d27-4368-827a-2233071b7004,app_start,application,2026-01-05 19:56:21.826000+05:30,2026-01-05,Monday,'19:56:21.826000
44e21e76-3d27-4368-827a-2233071b7004,Push Subscribe Process - Device Registered (Push),system,2026-01-05 19:56:22.626000+05:30,2026-01-05,Monday,'19:56:22.626000
44e21e76-3d27-4368-827a-2233071b7004,Journey Started,system,2026-01-05 19:56:22.809000+05:30,2026-01-05,Monday,'19:56:22.809000
44e21e76-3d27-4368-827a-2233071b7004,choose_language,application,2026-01-05 19:56:28.703000+05:30,2026-01-05,Monday,'19:56:28.703000
44e21e76-3d27-4368-827a-2233071b7004,Onboarding_Language,application,2026-01-05 19:56:28.711000+05:30,2026-01-05,Monday,'19:56:28.711000
44e21e76-3d27-4368-827a-2233071b7004,generate_otp,application,2026-01-05 19:56:35.027000+05:30,2026-01-05,Monday,'19:56:35.027000
44e21e76-3d27-4368-827a-2233071b7004,Onboarding_get_otp,application,2026-01-05 19:56:35.044000+05:30,2026-01-05,Monday,'19:56:35.044000
44e21e76-3d27-4368-827a-2233071b7004,_auth_generate-otp,application,2026-01-05 19:56:35.882000+05:30,2026-01-05,Monday,'19:56:35.882000
44e21e76-3d27-4368-827a-2233071b7004,get_otp,application,2026-01-05 19:56:35.893000+05:30,2026-01-05,Monday,'19:56:35.893000
44e21e76-3d27-4368-827a-2233071b7004,Onboarding_signup_,application,2026-01-05 19:56:35.917000+05:30,2026-01-05,Monday,'19:56:35.917000
44e21e76-3d27-4368-827a-2233071b7004,Journey Ended,system,2026-01-05 19:56:36.126000+05:30,2026-01-05,Monday,'19:56:36.126000
44e21e76-3d27-4368-827a-2233071b7004,Journey Started,system,2026-01-05 19:56:36.126000+05:30,2026-01-05,Monday,'19:56:36.126000
44e21e76-3d27-4368-827a-2233071b7004,verify_otp,application,2026-01-05 19:56:40.486000+05:30,2026-01-05,Monday,'19:56:40.486000
44e21e76-3d27-4368-827a-2233071b7004,_auth_verify-otp,application,2026-01-05 19:56:40.708000+05:30,2026-01-05,Monday,'19:56:40.708000
44e21e76-3d27-4368-827a-2233071b7004,enter_otp,application,2026-01-05 19:56:40.730000+05:30,2026-01-05,Monday,'19:56:40.730000
44e21e76-3d27-4368-827a-2233071b7004,User Login,system,2026-01-05 19:56:40.749000+05:30,2026-01-05,Monday,'19:56:40.749000
44e21e76-3d27-4368-827a-2233071b7004,login,application,2026-01-05 19:56:40.982000+05:30,2026-01-05,Monday,'19:56:40.982000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 19:56:40.990000+05:30,2026-01-05,Monday,'19:56:40.990000
44e21e76-3d27-4368-827a-2233071b7004,_location_from-town,application,2026-01-05 19:56:41.307000+05:30,2026-01-05,Monday,'19:56:41.307000
44e21e76-3d27-4368-827a-2233071b7004,Onboarding_Profile Saved,application,2026-01-05 19:56:43.219000+05:30,2026-01-05,Monday,'19:56:43.219000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 19:56:58.458000+05:30,2026-01-05,Monday,'19:56:58.458000
44e21e76-3d27-4368-827a-2233071b7004,_location_from-town,application,2026-01-05 19:57:00.656000+05:30,2026-01-05,Monday,'19:57:00.656000
44e21e76-3d27-4368-827a-2233071b7004,_history_recommended-journey,application,2026-01-05 19:57:00.698000+05:30,2026-01-05,Monday,'19:57:00.698000
44e21e76-3d27-4368-827a-2233071b7004,_user_device,application,2026-01-05 19:57:00.994000+05:30,2026-01-05,Monday,'19:57:00.994000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 19:57:01.213000+05:30,2026-01-05,Monday,'19:57:01.213000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 19:57:01.295000+05:30,2026-01-05,Monday,'19:57:01.295000
44e21e76-3d27-4368-827a-2233071b7004,_ticket,application,2026-01-05 19:57:01.458000+05:30,2026-01-05,Monday,'19:57:01.458000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 19:57:09.761000+05:30,2026-01-05,Monday,'19:57:09.761000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 19:57:09.906000+05:30,2026-01-05,Monday,'19:57:09.906000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 19:58:00.735000+05:30,2026-01-05,Monday,'19:58:00.735000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 19:58:00.888000+05:30,2026-01-05,Monday,'19:58:00.888000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 19:59:15.157000+05:30,2026-01-05,Monday,'19:59:15.157000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 19:59:15.303000+05:30,2026-01-05,Monday,'19:59:15.303000
44e21e76-3d27-4368-827a-2233071b7004,Session Started,system,2026-01-05 20:01:49.634000+05:30,2026-01-05,Monday,'20:01:49.634000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 20:01:54.919000+05:30,2026-01-05,Monday,'20:01:54.919000
44e21e76-3d27-4368-827a-2233071b7004,_history_recommended-journey,application,2026-01-05 20:01:54.937000+05:30,2026-01-05,Monday,'20:01:54.937000
44e21e76-3d27-4368-827a-2233071b7004,_location_from-town,application,2026-01-05 20:01:55.003000+05:30,2026-01-05,Monday,'20:01:55.003000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 20:01:55.475000+05:30,2026-01-05,Monday,'20:01:55.475000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 20:01:55.522000+05:30,2026-01-05,Monday,'20:01:55.522000
44e21e76-3d27-4368-827a-2233071b7004,_ticket,application,2026-01-05 20:01:55.798000+05:30,2026-01-05,Monday,'20:01:55.798000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 20:02:09.402000+05:30,2026-01-05,Monday,'20:02:09.402000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 20:02:20.044000+05:30,2026-01-05,Monday,'20:02:20.044000
44e21e76-3d27-4368-827a-2233071b7004,Session Started,system,2026-01-05 20:22:59.783000+05:30,2026-01-05,Monday,'20:22:59.783000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 20:47:53.841000+05:30,2026-01-05,Monday,'20:47:53.841000
44e21e76-3d27-4368-827a-2233071b7004,_history_recommended-journey,application,2026-01-05 20:47:53.855000+05:30,2026-01-05,Monday,'20:47:53.855000
44e21e76-3d27-4368-827a-2233071b7004,_location_from-town,application,2026-01-05 20:47:54.136000+05:30,2026-01-05,Monday,'20:47:54.136000
44e21e76-3d27-4368-827a-2233071b7004,_user,application,2026-01-05 20:47:54.150000+05:30,2026-01-05,Monday,'20:47:54.150000
44e21e76-3d27-4368-827a-2233071b7004,_ticket,application,2026-01-05 20:47:54.367000+05:30,2026-01-05,Monday,'20:47:54.367000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 20:47:54.411000+05:30,2026-01-05,Monday,'20:47:54.411000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 20:48:29.802000+05:30,2026-01-05,Monday,'20:48:29.802000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 20:48:56.306000+05:30,2026-01-05,Monday,'20:48:56.306000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 20:48:56.531000+05:30,2026-01-05,Monday,'20:48:56.531000
44e21e76-3d27-4368-827a-2233071b7004,_ticket,application,2026-01-05 20:49:55.182000+05:30,2026-01-05,Monday,'20:49:55.182000
44e21e76-3d27-4368-827a-2233071b7004,_ticket_v2,application,2026-01-05 20:49:55.429000+05:30,2026-01-05,Monday,'20:49:55.429000
44e21e76-3d27-4368-827a-2233071b7004,_location_special-town-search,application,2026-01-05 20:50:02.142000+05:30,2026-01-05,Monday,'20:50:02.142000
44e21e76-3d27-4368-827a-2233071b7004,_location_elastic-town-search,application,2026-01-05 20:50:02.330000+05:30,2026-01-05,Monday,'20:50:02.330000
44e21e76-3d27-4368-827a-2233071b7004,Push Failure,system,2026-01-06 19:56:52.080000+05:30,2026-01-06,Tuesday,'19:56:52.080000
