user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
44f91370-bf68-4cb1-81a8-a766f52106d6,DeviceInfo,application,2026-01-08 08:06:46.392000+05:30,2026-01-08,Thursday,'08:06:46.392000
44f91370-bf68-4cb1-81a8-a766f52106d6,Session Started,system,2026-01-08 08:06:48.385000+05:30,2026-01-08,Thursday,'08:06:48.385000
44f91370-bf68-4cb1-81a8-a766f52106d6,Push Subscribe Process - Device Registered (Push),system,2026-01-08 08:06:50.148000+05:30,2026-01-08,Thursday,'08:06:50.148000
44f91370-bf68-4cb1-81a8-a766f52106d6,App Installed,system,2026-01-08 08:06:50.442000+05:30,2026-01-08,Thursday,'08:06:50.442000
44f91370-bf68-4cb1-81a8-a766f52106d6,app_start,application,2026-01-08 08:06:51.581000+05:30,2026-01-08,Thursday,'08:06:51.581000
44f91370-bf68-4cb1-81a8-a766f52106d6,Journey Started,system,2026-01-08 08:06:52.995000+05:30,2026-01-08,Thursday,'08:06:52.995000
44f91370-bf68-4cb1-81a8-a766f52106d6,choose_language,application,2026-01-08 08:07:19.461000+05:30,2026-01-08,Thursday,'08:07:19.461000
44f91370-bf68-4cb1-81a8-a766f52106d6,Onboarding_Language,application,2026-01-08 08:07:19.648000+05:30,2026-01-08,Thursday,'08:07:19.648000
44f91370-bf68-4cb1-81a8-a766f52106d6,generate_otp,application,2026-01-08 08:07:29.964000+05:30,2026-01-08,Thursday,'08:07:29.964000
44f91370-bf68-4cb1-81a8-a766f52106d6,Onboarding_get_otp,application,2026-01-08 08:07:30.076000+05:30,2026-01-08,Thursday,'08:07:30.076000
44f91370-bf68-4cb1-81a8-a766f52106d6,_auth_generate-otp,application,2026-01-08 08:07:31.170000+05:30,2026-01-08,Thursday,'08:07:31.170000
44f91370-bf68-4cb1-81a8-a766f52106d6,get_otp,application,2026-01-08 08:07:31.202000+05:30,2026-01-08,Thursday,'08:07:31.202000
44f91370-bf68-4cb1-81a8-a766f52106d6,Onboarding_signup_,application,2026-01-08 08:07:31.315000+05:30,2026-01-08,Thursday,'08:07:31.315000
