user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,DeviceInfo,application,2026-01-11 21:21:14.321000+05:30,2026-01-11,Sunday,'21:21:14.321000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Session Started,system,2026-01-11 21:21:15.635000+05:30,2026-01-11,Sunday,'21:21:15.635000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,App Installed,system,2026-01-11 21:21:15.663000+05:30,2026-01-11,Sunday,'21:21:15.663000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Journey Started,system,2026-01-11 21:21:16.456000+05:30,2026-01-11,Sunday,'21:21:16.456000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Push Subscribe Process - Device Registered (Push),system,2026-01-11 21:21:16.747000+05:30,2026-01-11,Sunday,'21:21:16.747000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,app_start,application,2026-01-11 21:21:17.812000+05:30,2026-01-11,Sunday,'21:21:17.812000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,choose_language,application,2026-01-11 21:21:21.614000+05:30,2026-01-11,Sunday,'21:21:21.614000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Onboarding_Language,application,2026-01-11 21:21:22.074000+05:30,2026-01-11,Sunday,'21:21:22.074000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Journey Ended,system,2026-01-11 21:21:23.975000+05:30,2026-01-11,Sunday,'21:21:23.975000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Journey Started,system,2026-01-11 21:21:23.975000+05:30,2026-01-11,Sunday,'21:21:23.975000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,generate_otp,application,2026-01-11 21:21:36.147000+05:30,2026-01-11,Sunday,'21:21:36.147000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Onboarding_get_otp,application,2026-01-11 21:21:36.166000+05:30,2026-01-11,Sunday,'21:21:36.166000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,_auth_generate-otp,application,2026-01-11 21:21:37.859000+05:30,2026-01-11,Sunday,'21:21:37.859000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,get_otp,application,2026-01-11 21:21:37.872000+05:30,2026-01-11,Sunday,'21:21:37.872000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,Onboarding_signup_,application,2026-01-11 21:21:37.901000+05:30,2026-01-11,Sunday,'21:21:37.901000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,verify_otp,application,2026-01-11 21:21:42.482000+05:30,2026-01-11,Sunday,'21:21:42.482000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,_auth_verify-otp,application,2026-01-11 21:21:42.888000+05:30,2026-01-11,Sunday,'21:21:42.888000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,enter_otp,application,2026-01-11 21:21:42.911000+05:30,2026-01-11,Sunday,'21:21:42.911000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,User Login,system,2026-01-11 21:21:42.925000+05:30,2026-01-11,Sunday,'21:21:42.925000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,login,application,2026-01-11 21:21:43.279000+05:30,2026-01-11,Sunday,'21:21:43.279000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,_user,application,2026-01-11 21:21:43.289000+05:30,2026-01-11,Sunday,'21:21:43.289000
47ae09da-ecd4-4ba9-9532-0f2ec66f3d58,_location_from-town,application,2026-01-11 21:21:43.771000+05:30,2026-01-11,Sunday,'21:21:43.771000
