user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
49cd6701-f1cf-4cbc-a6a2-052144382721,App Installed,system,2026-01-07 20:52:12.010000+05:30,2026-01-07,Wednesday,'20:52:12.010000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:15.470000+05:30,2026-01-07,Wednesday,'20:54:15.470000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:22.516000+05:30,2026-01-07,Wednesday,'20:54:22.516000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:23.694000+05:30,2026-01-07,Wednesday,'20:54:23.694000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:26.774000+05:30,2026-01-07,Wednesday,'20:54:26.774000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:44.358000+05:30,2026-01-07,Wednesday,'20:54:44.358000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:54:46.534000+05:30,2026-01-07,Wednesday,'20:54:46.534000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:55:07.497000+05:30,2026-01-07,Wednesday,'20:55:07.497000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-07 20:55:10.311000+05:30,2026-01-07,Wednesday,'20:55:10.311000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-08 11:55:26.823000+05:30,2026-01-08,Thursday,'11:55:26.823000
49cd6701-f1cf-4cbc-a6a2-052144382721,Buslist_date change,application,2026-01-08 11:55:30.986000+05:30,2026-01-08,Thursday,'11:55:30.986000
49cd6701-f1cf-4cbc-a6a2-052144382721,DeviceInfo,application,2026-01-07 20:52:11.519000+05:30,2026-01-07,Wednesday,'20:52:11.519000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Ended,system,2026-01-07 20:52:16.308000+05:30,2026-01-07,Wednesday,'20:52:16.308000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Ended,system,2026-01-08 04:19:10.181000+05:30,2026-01-08,Thursday,'04:19:10.181000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Ended,system,2026-01-08 15:16:53.217000+05:30,2026-01-08,Thursday,'15:16:53.217000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Started,system,2026-01-07 20:52:13.003000+05:30,2026-01-07,Wednesday,'20:52:13.003000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Started,system,2026-01-07 20:52:16.308000+05:30,2026-01-07,Wednesday,'20:52:16.308000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Started,system,2026-01-07 20:54:25.040000+05:30,2026-01-07,Wednesday,'20:54:25.040000
49cd6701-f1cf-4cbc-a6a2-052144382721,Journey Started,system,2026-01-08 09:01:04.693000+05:30,2026-01-08,Thursday,'09:01:04.693000
49cd6701-f1cf-4cbc-a6a2-052144382721,Onboarding_Language,application,2026-01-07 20:52:15.399000+05:30,2026-01-07,Wednesday,'20:52:15.399000
49cd6701-f1cf-4cbc-a6a2-052144382721,Onboarding_Profile Saved,application,2026-01-07 20:52:30.808000+05:30,2026-01-07,Wednesday,'20:52:30.808000
49cd6701-f1cf-4cbc-a6a2-052144382721,Onboarding_get_otp,application,2026-01-07 20:52:21.170000+05:30,2026-01-07,Wednesday,'20:52:21.170000
49cd6701-f1cf-4cbc-a6a2-052144382721,Onboarding_signup_,application,2026-01-07 20:52:21.931000+05:30,2026-01-07,Wednesday,'20:52:21.931000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-07 21:09:54.797000+05:30,2026-01-07,Wednesday,'21:09:54.797000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-08 09:16:32.867000+05:30,2026-01-08,Thursday,'09:16:32.867000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-08 20:52:27.200000+05:30,2026-01-08,Thursday,'20:52:27.200000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-09 20:52:56.205000+05:30,2026-01-09,Friday,'20:52:56.205000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-10 20:53:18.365000+05:30,2026-01-10,Saturday,'20:53:18.365000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-11 20:53:47.206000+05:30,2026-01-11,Sunday,'20:53:47.206000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-12 20:54:14.683000+05:30,2026-01-12,Monday,'20:54:14.683000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-14 20:54:24.064000+05:30,2026-01-14,Wednesday,'20:54:24.064000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Failure,system,2026-01-16 20:54:47.868000+05:30,2026-01-16,Friday,'20:54:47.868000
49cd6701-f1cf-4cbc-a6a2-052144382721,Push Subscribe Process - Device Registered (Push),system,2026-01-07 20:52:13.268000+05:30,2026-01-07,Wednesday,'20:52:13.268000
49cd6701-f1cf-4cbc-a6a2-052144382721,Session Started,system,2026-01-07 20:52:11.857000+05:30,2026-01-07,Wednesday,'20:52:11.857000
49cd6701-f1cf-4cbc-a6a2-052144382721,Session Started,system,2026-01-07 20:53:34.166000+05:30,2026-01-07,Wednesday,'20:53:34.166000
49cd6701-f1cf-4cbc-a6a2-052144382721,Session Started,system,2026-01-08 11:55:02.984000+05:30,2026-01-08,Thursday,'11:55:02.984000
49cd6701-f1cf-4cbc-a6a2-052144382721,User Login,system,2026-01-07 20:52:28.917000+05:30,2026-01-07,Wednesday,'20:52:28.917000
49cd6701-f1cf-4cbc-a6a2-052144382721,_auth_generate-otp,application,2026-01-07 20:52:21.895000+05:30,2026-01-07,Wednesday,'20:52:21.895000
49cd6701-f1cf-4cbc-a6a2-052144382721,_auth_verify-otp,application,2026-01-07 20:52:28.715000+05:30,2026-01-07,Wednesday,'20:52:28.715000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_list,application,2026-01-07 20:54:21.338000+05:30,2026-01-07,Wednesday,'20:54:21.338000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_list,application,2026-01-07 20:54:26.513000+05:30,2026-01-07,Wednesday,'20:54:26.513000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_list,application,2026-01-07 20:54:46.319000+05:30,2026-01-07,Wednesday,'20:54:46.319000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_list,application,2026-01-07 20:55:10.083000+05:30,2026-01-07,Wednesday,'20:55:10.083000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_list,application,2026-01-08 11:55:29.970000+05:30,2026-01-08,Thursday,'11:55:29.970000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_user-bus-search,application,2026-01-07 20:54:17.611000+05:30,2026-01-07,Wednesday,'20:54:17.611000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_user-bus-search,application,2026-01-07 20:54:24.124000+05:30,2026-01-07,Wednesday,'20:54:24.124000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_user-bus-search,application,2026-01-07 20:54:44.615000+05:30,2026-01-07,Wednesday,'20:54:44.615000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_user-bus-search,application,2026-01-07 20:55:07.894000+05:30,2026-01-07,Wednesday,'20:55:07.894000
49cd6701-f1cf-4cbc-a6a2-052144382721,_bus-search_user-bus-search,application,2026-01-08 11:55:27.527000+05:30,2026-01-08,Thursday,'11:55:27.527000
49cd6701-f1cf-4cbc-a6a2-052144382721,_history_recommended-journey,application,2026-01-07 20:52:46.828000+05:30,2026-01-07,Wednesday,'20:52:46.828000
49cd6701-f1cf-4cbc-a6a2-052144382721,_history_recommended-journey,application,2026-01-07 20:53:40.328000+05:30,2026-01-07,Wednesday,'20:53:40.328000
49cd6701-f1cf-4cbc-a6a2-052144382721,_history_recommended-journey,application,2026-01-08 11:55:05.352000+05:30,2026-01-08,Thursday,'11:55:05.352000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:00.712000+05:30,2026-01-07,Wednesday,'20:53:00.712000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:01.164000+05:30,2026-01-07,Wednesday,'20:53:01.164000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:01.610000+05:30,2026-01-07,Wednesday,'20:53:01.610000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:02.642000+05:30,2026-01-07,Wednesday,'20:53:02.642000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:05.113000+05:30,2026-01-07,Wednesday,'20:53:05.113000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:05.530000+05:30,2026-01-07,Wednesday,'20:53:05.530000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:06.397000+05:30,2026-01-07,Wednesday,'20:53:06.397000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:06.967000+05:30,2026-01-07,Wednesday,'20:53:06.967000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:08.247000+05:30,2026-01-07,Wednesday,'20:53:08.247000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:09.901000+05:30,2026-01-07,Wednesday,'20:53:09.901000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:10.216000+05:30,2026-01-07,Wednesday,'20:53:10.216000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:14.817000+05:30,2026-01-07,Wednesday,'20:53:14.817000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:15.498000+05:30,2026-01-07,Wednesday,'20:53:15.498000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:17.070000+05:30,2026-01-07,Wednesday,'20:53:17.070000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:17.833000+05:30,2026-01-07,Wednesday,'20:53:17.833000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:18.768000+05:30,2026-01-07,Wednesday,'20:53:18.768000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:21.085000+05:30,2026-01-07,Wednesday,'20:53:21.085000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:52.197000+05:30,2026-01-07,Wednesday,'20:53:52.197000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:52.531000+05:30,2026-01-07,Wednesday,'20:53:52.531000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:52.625000+05:30,2026-01-07,Wednesday,'20:53:52.625000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:54.376000+05:30,2026-01-07,Wednesday,'20:53:54.376000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:54.611000+05:30,2026-01-07,Wednesday,'20:53:54.611000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:56.055000+05:30,2026-01-07,Wednesday,'20:53:56.055000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:56.341000+05:30,2026-01-07,Wednesday,'20:53:56.341000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:57.013000+05:30,2026-01-07,Wednesday,'20:53:57.013000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:57.421000+05:30,2026-01-07,Wednesday,'20:53:57.421000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:58.859000+05:30,2026-01-07,Wednesday,'20:53:58.859000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:59.051000+05:30,2026-01-07,Wednesday,'20:53:59.051000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:53:59.314000+05:30,2026-01-07,Wednesday,'20:53:59.314000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:54:00.068000+05:30,2026-01-07,Wednesday,'20:54:00.068000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-07 20:54:00.372000+05:30,2026-01-07,Wednesday,'20:54:00.372000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:08.332000+05:30,2026-01-08,Thursday,'11:55:08.332000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:10.886000+05:30,2026-01-08,Thursday,'11:55:10.886000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:13.360000+05:30,2026-01-08,Thursday,'11:55:13.360000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:13.748000+05:30,2026-01-08,Thursday,'11:55:13.748000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:13.898000+05:30,2026-01-08,Thursday,'11:55:13.898000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:14.145000+05:30,2026-01-08,Thursday,'11:55:14.145000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:15.270000+05:30,2026-01-08,Thursday,'11:55:15.270000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:15.496000+05:30,2026-01-08,Thursday,'11:55:15.496000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:15.782000+05:30,2026-01-08,Thursday,'11:55:15.782000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:16.204000+05:30,2026-01-08,Thursday,'11:55:16.204000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:17.168000+05:30,2026-01-08,Thursday,'11:55:17.168000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:17.932000+05:30,2026-01-08,Thursday,'11:55:17.932000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:18.679000+05:30,2026-01-08,Thursday,'11:55:18.679000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:18.989000+05:30,2026-01-08,Thursday,'11:55:18.989000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:20.681000+05:30,2026-01-08,Thursday,'11:55:20.681000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:21.963000+05:30,2026-01-08,Thursday,'11:55:21.963000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:22.092000+05:30,2026-01-08,Thursday,'11:55:22.092000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:22.354000+05:30,2026-01-08,Thursday,'11:55:22.354000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_elastic-town-search,application,2026-01-08 11:55:22.663000+05:30,2026-01-08,Thursday,'11:55:22.663000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_from-town,application,2026-01-07 20:52:29.557000+05:30,2026-01-07,Wednesday,'20:52:29.557000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_from-town,application,2026-01-07 20:52:46.852000+05:30,2026-01-07,Wednesday,'20:52:46.852000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_from-town,application,2026-01-07 20:53:40.502000+05:30,2026-01-07,Wednesday,'20:53:40.502000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_from-town,application,2026-01-08 11:55:05.490000+05:30,2026-01-08,Thursday,'11:55:05.490000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-07 20:52:47.449000+05:30,2026-01-07,Wednesday,'20:52:47.449000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-07 20:52:49.024000+05:30,2026-01-07,Wednesday,'20:52:49.024000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-07 20:53:40.776000+05:30,2026-01-07,Wednesday,'20:53:40.776000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-07 20:53:47.997000+05:30,2026-01-07,Wednesday,'20:53:47.997000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-08 11:55:05.752000+05:30,2026-01-08,Thursday,'11:55:05.752000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-08 11:55:08.161000+05:30,2026-01-08,Thursday,'11:55:08.161000
49cd6701-f1cf-4cbc-a6a2-052144382721,_location_special-town-search,application,2026-01-08 11:55:20.525000+05:30,2026-01-08,Thursday,'11:55:20.525000
49cd6701-f1cf-4cbc-a6a2-052144382721,_rewards_best-V2,application,2026-01-07 20:54:22.499000+05:30,2026-01-07,Wednesday,'20:54:22.499000
49cd6701-f1cf-4cbc-a6a2-052144382721,_rewards_best-V2,application,2026-01-07 20:54:26.762000+05:30,2026-01-07,Wednesday,'20:54:26.762000
49cd6701-f1cf-4cbc-a6a2-052144382721,_rewards_best-V2,application,2026-01-07 20:54:46.524000+05:30,2026-01-07,Wednesday,'20:54:46.524000
49cd6701-f1cf-4cbc-a6a2-052144382721,_rewards_best-V2,application,2026-01-07 20:55:10.299000+05:30,2026-01-07,Wednesday,'20:55:10.299000
49cd6701-f1cf-4cbc-a6a2-052144382721,_rewards_best-V2,application,2026-01-08 11:55:30.971000+05:30,2026-01-08,Thursday,'11:55:30.971000
49cd6701-f1cf-4cbc-a6a2-052144382721,_ticket,application,2026-01-07 20:52:47.465000+05:30,2026-01-07,Wednesday,'20:52:47.465000
49cd6701-f1cf-4cbc-a6a2-052144382721,_ticket,application,2026-01-07 20:53:41.080000+05:30,2026-01-07,Wednesday,'20:53:41.080000
49cd6701-f1cf-4cbc-a6a2-052144382721,_ticket,application,2026-01-08 11:55:05.706000+05:30,2026-01-08,Thursday,'11:55:05.706000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:52:29.178000+05:30,2026-01-07,Wednesday,'20:52:29.178000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:52:43.697000+05:30,2026-01-07,Wednesday,'20:52:43.697000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:52:46.785000+05:30,2026-01-07,Wednesday,'20:52:46.785000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:52:47.127000+05:30,2026-01-07,Wednesday,'20:52:47.127000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:53:40.672000+05:30,2026-01-07,Wednesday,'20:53:40.672000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:53:40.914000+05:30,2026-01-07,Wednesday,'20:53:40.914000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:54:15.839000+05:30,2026-01-07,Wednesday,'20:54:15.839000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:54:24.114000+05:30,2026-01-07,Wednesday,'20:54:24.114000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:54:44.602000+05:30,2026-01-07,Wednesday,'20:54:44.602000
49cd6701-f1cf-4cbc-a6a2-052144382721,_user,application,2026-01-07 20:55:07.880000+05:30,2026-01-07,Wednesday,'20:55:07.880000
