user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,DeviceInfo,application,2026-01-14 00:26:34.574000+05:30,2026-01-14,Wednesday,'00:26:34.574000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Session Started,system,2026-01-14 00:26:34.678000+05:30,2026-01-14,Wednesday,'00:26:34.678000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,App Installed,system,2026-01-14 00:26:34.678000+05:30,2026-01-14,Wednesday,'00:26:34.678000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Journey Started,system,2026-01-14 00:26:34.689000+05:30,2026-01-14,Wednesday,'00:26:34.689000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,app_start,application,2026-01-14 00:26:35.595000+05:30,2026-01-14,Wednesday,'00:26:35.595000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,choose_language,application,2026-01-14 00:26:36.939000+05:30,2026-01-14,Wednesday,'00:26:36.939000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Onboarding_Language,application,2026-01-14 00:26:36.971000+05:30,2026-01-14,Wednesday,'00:26:36.971000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Push Subscribe Process - Device Registered (Push),system,2026-01-14 00:26:37.219000+05:30,2026-01-14,Wednesday,'00:26:37.219000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Journey Ended,system,2026-01-14 00:26:37.230000+05:30,2026-01-14,Wednesday,'00:26:37.230000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Journey Started,system,2026-01-14 00:26:37.230000+05:30,2026-01-14,Wednesday,'00:26:37.230000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Onboarding_get_otp,application,2026-01-14 00:26:44.029000+05:30,2026-01-14,Wednesday,'00:26:44.029000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,generate_otp,application,2026-01-14 00:26:44.029000+05:30,2026-01-14,Wednesday,'00:26:44.029000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_auth_generate-otp,application,2026-01-14 00:26:45.878000+05:30,2026-01-14,Wednesday,'00:26:45.878000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,get_otp,application,2026-01-14 00:26:45.890000+05:30,2026-01-14,Wednesday,'00:26:45.890000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Onboarding_signup_,application,2026-01-14 00:26:45.916000+05:30,2026-01-14,Wednesday,'00:26:45.916000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,verify_otp,application,2026-01-14 00:26:47.839000+05:30,2026-01-14,Wednesday,'00:26:47.839000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_auth_verify-otp,application,2026-01-14 00:26:47.920000+05:30,2026-01-14,Wednesday,'00:26:47.920000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,enter_otp,application,2026-01-14 00:26:48.131000+05:30,2026-01-14,Wednesday,'00:26:48.131000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,User Login,system,2026-01-14 00:26:48.149000+05:30,2026-01-14,Wednesday,'00:26:48.149000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,login,application,2026-01-14 00:26:48.434000+05:30,2026-01-14,Wednesday,'00:26:48.434000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_user,application,2026-01-14 00:26:48.440000+05:30,2026-01-14,Wednesday,'00:26:48.440000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_location_from-town,application,2026-01-14 00:26:48.801000+05:30,2026-01-14,Wednesday,'00:26:48.801000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,Onboarding_Profile Saved,application,2026-01-14 00:26:51.415000+05:30,2026-01-14,Wednesday,'00:26:51.415000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_user,application,2026-01-14 00:26:59.605000+05:30,2026-01-14,Wednesday,'00:26:59.605000
4a7c015f-e3cc-4834-bb3e-17f016adbd5a,_user_device,application,2026-01-14 00:27:00.930000+05:30,2026-01-14,Wednesday,'00:27:00.930000
