user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4b8f2304-db71-4b5a-9103-3397a230c2bb,App Installed,system,2026-01-17 10:23:05.349000+05:30,2026-01-17,Saturday,'10:23:05.349000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_Live Chat Icon,application,2026-01-17 13:28:44.239000+05:30,2026-01-17,Saturday,'13:28:44.239000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 10:25:04.822000+05:30,2026-01-17,Saturday,'10:25:04.822000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 10:25:19.873000+05:30,2026-01-17,Saturday,'10:25:19.873000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 11:31:41.880000+05:30,2026-01-17,Saturday,'11:31:41.880000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 11:32:23.910000+05:30,2026-01-17,Saturday,'11:32:23.910000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 11:32:38.363000+05:30,2026-01-17,Saturday,'11:32:38.363000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_bus_selection,application,2026-01-17 11:32:48.772000+05:30,2026-01-17,Saturday,'11:32:48.772000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 10:24:08.728000+05:30,2026-01-17,Saturday,'10:24:08.728000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 10:24:12.222000+05:30,2026-01-17,Saturday,'10:24:12.222000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 10:24:12.319000+05:30,2026-01-17,Saturday,'10:24:12.319000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 10:24:14.196000+05:30,2026-01-17,Saturday,'10:24:14.196000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:14:11.912000+05:30,2026-01-17,Saturday,'11:14:11.912000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:14:17.001000+05:30,2026-01-17,Saturday,'11:14:17.001000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:14:23.822000+05:30,2026-01-17,Saturday,'11:14:23.822000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:14:26.723000+05:30,2026-01-17,Saturday,'11:14:26.723000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:29:00.576000+05:30,2026-01-17,Saturday,'11:29:00.576000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:29:04.372000+05:30,2026-01-17,Saturday,'11:29:04.372000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:30:29.850000+05:30,2026-01-17,Saturday,'11:30:29.850000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:30:32.318000+05:30,2026-01-17,Saturday,'11:30:32.318000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:31:05.500000+05:30,2026-01-17,Saturday,'11:31:05.500000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:31:07.201000+05:30,2026-01-17,Saturday,'11:31:07.201000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:31:23.812000+05:30,2026-01-17,Saturday,'11:31:23.812000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:31:30.258000+05:30,2026-01-17,Saturday,'11:31:30.258000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:31:59.142000+05:30,2026-01-17,Saturday,'11:31:59.142000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 11:32:00.963000+05:30,2026-01-17,Saturday,'11:32:00.963000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 12:26:38.594000+05:30,2026-01-17,Saturday,'12:26:38.594000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 12:26:44.974000+05:30,2026-01-17,Saturday,'12:26:44.974000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 13:28:34.173000+05:30,2026-01-17,Saturday,'13:28:34.173000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 13:28:38.897000+05:30,2026-01-17,Saturday,'13:28:38.897000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 13:29:14.692000+05:30,2026-01-17,Saturday,'13:29:14.692000
4b8f2304-db71-4b5a-9103-3397a230c2bb,Buslist_date change,application,2026-01-17 13:29:17.745000+05:30,2026-01-17,Saturday,'13:29:17.745000
