user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4c4abac9-166d-45b5-9aab-d5f1c062abe0,DeviceInfo,application,2026-01-02 16:28:34.467000+05:30,2026-01-02,Friday,'16:28:34.467000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Session Started,system,2026-01-02 16:28:34.878000+05:30,2026-01-02,Friday,'16:28:34.878000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,App Installed,system,2026-01-02 16:28:34.878000+05:30,2026-01-02,Friday,'16:28:34.878000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Journey Started,system,2026-01-02 16:28:34.920000+05:30,2026-01-02,Friday,'16:28:34.920000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Push Subscribe Process - Device Registered (Push),system,2026-01-02 16:28:35.616000+05:30,2026-01-02,Friday,'16:28:35.616000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,app_start,application,2026-01-02 16:28:36.678000+05:30,2026-01-02,Friday,'16:28:36.678000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,choose_language,application,2026-01-02 16:28:42.831000+05:30,2026-01-02,Friday,'16:28:42.831000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Onboarding_Language,application,2026-01-02 16:28:42.845000+05:30,2026-01-02,Friday,'16:28:42.845000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,generate_otp,application,2026-01-02 16:29:01.357000+05:30,2026-01-02,Friday,'16:29:01.357000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Onboarding_get_otp,application,2026-01-02 16:29:01.381000+05:30,2026-01-02,Friday,'16:29:01.381000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Journey Started,system,2026-01-02 16:29:01.479000+05:30,2026-01-02,Friday,'16:29:01.479000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Journey Ended,system,2026-01-02 16:29:01.479000+05:30,2026-01-02,Friday,'16:29:01.479000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,_auth_generate-otp,application,2026-01-02 16:29:02.493000+05:30,2026-01-02,Friday,'16:29:02.493000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,get_otp,application,2026-01-02 16:29:02.507000+05:30,2026-01-02,Friday,'16:29:02.507000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,Onboarding_signup_,application,2026-01-02 16:29:02.540000+05:30,2026-01-02,Friday,'16:29:02.540000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,verify_otp,application,2026-01-02 16:29:19.254000+05:30,2026-01-02,Friday,'16:29:19.254000
4c4abac9-166d-45b5-9aab-d5f1c062abe0,_auth_verify-otp,application,2026-01-02 16:29:19.993000+05:30,2026-01-02,Friday,'16:29:19.993000
