user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,DeviceInfo,application,2026-01-10 08:09:12.119000+05:30,2026-01-10,Saturday,'08:09:12.119000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Session Started,system,2026-01-10 08:09:13.711000+05:30,2026-01-10,Saturday,'08:09:13.711000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,App Installed,system,2026-01-10 08:09:13.891000+05:30,2026-01-10,Saturday,'08:09:13.891000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Push Subscribe Process - Device Registered (Push),system,2026-01-10 08:09:14.074000+05:30,2026-01-10,Saturday,'08:09:14.074000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,app_start,application,2026-01-10 08:09:14.151000+05:30,2026-01-10,Saturday,'08:09:14.151000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Journey Started,system,2026-01-10 08:09:15.561000+05:30,2026-01-10,Saturday,'08:09:15.561000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,choose_language,application,2026-01-10 08:09:19.264000+05:30,2026-01-10,Saturday,'08:09:19.264000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Onboarding_Language,application,2026-01-10 08:09:19.331000+05:30,2026-01-10,Saturday,'08:09:19.331000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,choose_language,application,2026-01-10 08:09:19.986000+05:30,2026-01-10,Saturday,'08:09:19.986000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Onboarding_Language,application,2026-01-10 08:09:20.019000+05:30,2026-01-10,Saturday,'08:09:20.019000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Journey Started,system,2026-01-10 08:09:21.701000+05:30,2026-01-10,Saturday,'08:09:21.701000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Journey Ended,system,2026-01-10 08:09:21.701000+05:30,2026-01-10,Saturday,'08:09:21.701000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Journey Started,system,2026-01-10 08:09:21.713000+05:30,2026-01-10,Saturday,'08:09:21.713000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Journey Ended,system,2026-01-10 08:09:21.713000+05:30,2026-01-10,Saturday,'08:09:21.713000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,generate_otp,application,2026-01-10 08:09:30.545000+05:30,2026-01-10,Saturday,'08:09:30.545000
4d5e8e23-ec71-4f2e-a1a7-f7ae880dd309,Onboarding_get_otp,application,2026-01-10 08:09:30.577000+05:30,2026-01-10,Saturday,'08:09:30.577000
