user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,DeviceInfo,application,2026-01-09 07:31:33.935000+05:30,2026-01-09,Friday,'07:31:33.935000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Session Started,system,2026-01-09 07:31:35.474000+05:30,2026-01-09,Friday,'07:31:35.474000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,App Installed,system,2026-01-09 07:31:36.332000+05:30,2026-01-09,Friday,'07:31:36.332000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Push Subscribe Process - Device Registered (Push),system,2026-01-09 07:31:36.593000+05:30,2026-01-09,Friday,'07:31:36.593000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Journey Started,system,2026-01-09 07:31:37.936000+05:30,2026-01-09,Friday,'07:31:37.936000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,app_start,application,2026-01-09 07:31:39.357000+05:30,2026-01-09,Friday,'07:31:39.357000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,choose_language,application,2026-01-09 07:31:43.406000+05:30,2026-01-09,Friday,'07:31:43.406000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Onboarding_Language,application,2026-01-09 07:31:43.467000+05:30,2026-01-09,Friday,'07:31:43.467000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,choose_language,application,2026-01-09 07:31:44.514000+05:30,2026-01-09,Friday,'07:31:44.514000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Onboarding_Language,application,2026-01-09 07:31:44.618000+05:30,2026-01-09,Friday,'07:31:44.618000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Journey Ended,system,2026-01-09 07:31:46.213000+05:30,2026-01-09,Friday,'07:31:46.213000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Journey Started,system,2026-01-09 07:31:46.213000+05:30,2026-01-09,Friday,'07:31:46.213000
4e2a44ab-1c1b-4453-9b5c-f5407e7505ad,Journey Ended,system,2026-01-09 07:31:46.215000+05:30,2026-01-09,Friday,'07:31:46.215000
