user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4fd3b955-443d-4d4b-8787-e2166b2cd62b,DeviceInfo,application,2026-01-16 00:12:21.859000+05:30,2026-01-16,Friday,'00:12:21.859000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Session Started,system,2026-01-16 00:12:26.277000+05:30,2026-01-16,Friday,'00:12:26.277000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,App Installed,system,2026-01-16 00:12:26.304000+05:30,2026-01-16,Friday,'00:12:26.304000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Push Subscribe Process - Device Registered (Push),system,2026-01-16 00:12:27.551000+05:30,2026-01-16,Friday,'00:12:27.551000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Journey Started,system,2026-01-16 00:12:27.729000+05:30,2026-01-16,Friday,'00:12:27.729000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,app_start,application,2026-01-16 00:12:28.650000+05:30,2026-01-16,Friday,'00:12:28.650000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,choose_language,application,2026-01-16 00:12:31.164000+05:30,2026-01-16,Friday,'00:12:31.164000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Onboarding_Language,application,2026-01-16 00:12:31.176000+05:30,2026-01-16,Friday,'00:12:31.176000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,generate_otp,application,2026-01-16 00:12:36.181000+05:30,2026-01-16,Friday,'00:12:36.181000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Onboarding_get_otp,application,2026-01-16 00:12:36.208000+05:30,2026-01-16,Friday,'00:12:36.208000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_auth_generate-otp,application,2026-01-16 00:12:40.551000+05:30,2026-01-16,Friday,'00:12:40.551000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,get_otp,application,2026-01-16 00:12:40.568000+05:30,2026-01-16,Friday,'00:12:40.568000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Onboarding_signup_,application,2026-01-16 00:12:40.578000+05:30,2026-01-16,Friday,'00:12:40.578000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,verify_otp,application,2026-01-16 00:12:48.154000+05:30,2026-01-16,Friday,'00:12:48.154000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_auth_verify-otp,application,2026-01-16 00:12:48.359000+05:30,2026-01-16,Friday,'00:12:48.359000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,enter_otp,application,2026-01-16 00:12:48.407000+05:30,2026-01-16,Friday,'00:12:48.407000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,User Login,system,2026-01-16 00:12:48.416000+05:30,2026-01-16,Friday,'00:12:48.416000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,login,application,2026-01-16 00:12:49.115000+05:30,2026-01-16,Friday,'00:12:49.115000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_user,application,2026-01-16 00:12:49.125000+05:30,2026-01-16,Friday,'00:12:49.125000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_from-town,application,2026-01-16 00:12:49.466000+05:30,2026-01-16,Friday,'00:12:49.466000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Onboarding_Profile Saved,application,2026-01-16 00:12:56.408000+05:30,2026-01-16,Friday,'00:12:56.408000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Journey Started,system,2026-01-16 00:13:09.071000+05:30,2026-01-16,Friday,'00:13:09.071000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Journey Ended,system,2026-01-16 00:13:09.071000+05:30,2026-01-16,Friday,'00:13:09.071000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_user,application,2026-01-16 00:13:09.111000+05:30,2026-01-16,Friday,'00:13:09.111000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_history_recommended-journey,application,2026-01-16 00:13:17.645000+05:30,2026-01-16,Friday,'00:13:17.645000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_from-town,application,2026-01-16 00:13:17.756000+05:30,2026-01-16,Friday,'00:13:17.756000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_user,application,2026-01-16 00:13:18.056000+05:30,2026-01-16,Friday,'00:13:18.056000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_user_device,application,2026-01-16 00:13:18.223000+05:30,2026-01-16,Friday,'00:13:18.223000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_ticket,application,2026-01-16 00:13:18.525000+05:30,2026-01-16,Friday,'00:13:18.525000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_special-town-search,application,2026-01-16 00:13:19.007000+05:30,2026-01-16,Friday,'00:13:19.007000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_elastic-town-search,application,2026-01-16 00:13:21.487000+05:30,2026-01-16,Friday,'00:13:21.487000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_special-town-search,application,2026-01-16 00:13:28.879000+05:30,2026-01-16,Friday,'00:13:28.879000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_location_elastic-town-search,application,2026-01-16 00:13:28.991000+05:30,2026-01-16,Friday,'00:13:28.991000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,Buslist_date change,application,2026-01-16 00:14:06.711000+05:30,2026-01-16,Friday,'00:14:06.711000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_bus-search_user-bus-search,application,2026-01-16 00:14:07.296000+05:30,2026-01-16,Friday,'00:14:07.296000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,_user,application,2026-01-16 00:14:07.533000+05:30,2026-01-16,Friday,'00:14:07.533000
4fd3b955-443d-4d4b-8787-e2166b2cd62b,pageview_bus_list,application,2026-01-16 00:14:07.563000+05:30,2026-01-16,Friday,'00:14:07.563000
