user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
500221a4-7a93-4337-a582-ce397614501a,DeviceInfo,application,2026-01-04 18:45:39.079000+05:30,2026-01-04,Sunday,'18:45:39.079000
500221a4-7a93-4337-a582-ce397614501a,Session Started,system,2026-01-04 18:45:39.353000+05:30,2026-01-04,Sunday,'18:45:39.353000
500221a4-7a93-4337-a582-ce397614501a,App Installed,system,2026-01-04 18:45:39.374000+05:30,2026-01-04,Sunday,'18:45:39.374000
500221a4-7a93-4337-a582-ce397614501a,Journey Started,system,2026-01-04 18:45:39.822000+05:30,2026-01-04,Sunday,'18:45:39.822000
500221a4-7a93-4337-a582-ce397614501a,Push Subscribe Process - Device Registered (Push),system,2026-01-04 18:45:41.797000+05:30,2026-01-04,Sunday,'18:45:41.797000
500221a4-7a93-4337-a582-ce397614501a,app_start,application,2026-01-04 18:45:43.547000+05:30,2026-01-04,Sunday,'18:45:43.547000
500221a4-7a93-4337-a582-ce397614501a,choose_language,application,2026-01-04 18:45:46.310000+05:30,2026-01-04,Sunday,'18:45:46.310000
500221a4-7a93-4337-a582-ce397614501a,Onboarding_Language,application,2026-01-04 18:45:46.317000+05:30,2026-01-04,Sunday,'18:45:46.317000
500221a4-7a93-4337-a582-ce397614501a,choose_language,application,2026-01-04 18:45:47.365000+05:30,2026-01-04,Sunday,'18:45:47.365000
500221a4-7a93-4337-a582-ce397614501a,Onboarding_Language,application,2026-01-04 18:45:47.377000+05:30,2026-01-04,Sunday,'18:45:47.377000
500221a4-7a93-4337-a582-ce397614501a,Journey Started,system,2026-01-04 18:45:49.451000+05:30,2026-01-04,Sunday,'18:45:49.451000
500221a4-7a93-4337-a582-ce397614501a,Journey Ended,system,2026-01-04 18:45:49.451000+05:30,2026-01-04,Sunday,'18:45:49.451000
500221a4-7a93-4337-a582-ce397614501a,Journey Started,system,2026-01-04 18:45:49.464000+05:30,2026-01-04,Sunday,'18:45:49.464000
500221a4-7a93-4337-a582-ce397614501a,Journey Ended,system,2026-01-04 18:45:49.464000+05:30,2026-01-04,Sunday,'18:45:49.464000
500221a4-7a93-4337-a582-ce397614501a,generate_otp,application,2026-01-04 18:45:53.924000+05:30,2026-01-04,Sunday,'18:45:53.924000
500221a4-7a93-4337-a582-ce397614501a,Onboarding_get_otp,application,2026-01-04 18:45:53.933000+05:30,2026-01-04,Sunday,'18:45:53.933000
500221a4-7a93-4337-a582-ce397614501a,_auth_generate-otp,application,2026-01-04 18:45:55.127000+05:30,2026-01-04,Sunday,'18:45:55.127000
500221a4-7a93-4337-a582-ce397614501a,get_otp,application,2026-01-04 18:45:55.137000+05:30,2026-01-04,Sunday,'18:45:55.137000
500221a4-7a93-4337-a582-ce397614501a,Onboarding_signup_,application,2026-01-04 18:45:55.160000+05:30,2026-01-04,Sunday,'18:45:55.160000
500221a4-7a93-4337-a582-ce397614501a,verify_otp,application,2026-01-04 18:45:57.776000+05:30,2026-01-04,Sunday,'18:45:57.776000
500221a4-7a93-4337-a582-ce397614501a,_auth_verify-otp,application,2026-01-04 18:45:57.996000+05:30,2026-01-04,Sunday,'18:45:57.996000
500221a4-7a93-4337-a582-ce397614501a,enter_otp,application,2026-01-04 18:45:58.005000+05:30,2026-01-04,Sunday,'18:45:58.005000
500221a4-7a93-4337-a582-ce397614501a,User Login,system,2026-01-04 18:45:58.010000+05:30,2026-01-04,Sunday,'18:45:58.010000
500221a4-7a93-4337-a582-ce397614501a,login,application,2026-01-04 18:45:58.305000+05:30,2026-01-04,Sunday,'18:45:58.305000
500221a4-7a93-4337-a582-ce397614501a,_user,application,2026-01-04 18:45:58.309000+05:30,2026-01-04,Sunday,'18:45:58.309000
500221a4-7a93-4337-a582-ce397614501a,_location_from-town,application,2026-01-04 18:45:58.616000+05:30,2026-01-04,Sunday,'18:45:58.616000
500221a4-7a93-4337-a582-ce397614501a,Onboarding_Profile Saved,application,2026-01-04 18:45:59.518000+05:30,2026-01-04,Sunday,'18:45:59.518000
500221a4-7a93-4337-a582-ce397614501a,_user,application,2026-01-04 18:46:08.638000+05:30,2026-01-04,Sunday,'18:46:08.638000
500221a4-7a93-4337-a582-ce397614501a,_history_recommended-journey,application,2026-01-04 18:46:12.300000+05:30,2026-01-04,Sunday,'18:46:12.300000
500221a4-7a93-4337-a582-ce397614501a,_user_device,application,2026-01-04 18:46:12.341000+05:30,2026-01-04,Sunday,'18:46:12.341000
500221a4-7a93-4337-a582-ce397614501a,_location_from-town,application,2026-01-04 18:46:12.406000+05:30,2026-01-04,Sunday,'18:46:12.406000
500221a4-7a93-4337-a582-ce397614501a,_user,application,2026-01-04 18:46:12.655000+05:30,2026-01-04,Sunday,'18:46:12.655000
500221a4-7a93-4337-a582-ce397614501a,_location_special-town-search,application,2026-01-04 18:46:13.071000+05:30,2026-01-04,Sunday,'18:46:13.071000
500221a4-7a93-4337-a582-ce397614501a,_ticket,application,2026-01-04 18:46:13.140000+05:30,2026-01-04,Sunday,'18:46:13.140000
500221a4-7a93-4337-a582-ce397614501a,_location_special-town-search,application,2026-01-04 18:46:13.209000+05:30,2026-01-04,Sunday,'18:46:13.209000
500221a4-7a93-4337-a582-ce397614501a,_location_elastic-town-search,application,2026-01-04 18:46:13.412000+05:30,2026-01-04,Sunday,'18:46:13.412000
500221a4-7a93-4337-a582-ce397614501a,_location_special-town-search,application,2026-01-04 18:46:29.512000+05:30,2026-01-04,Sunday,'18:46:29.512000
500221a4-7a93-4337-a582-ce397614501a,_location_elastic-town-search,application,2026-01-04 18:46:31.949000+05:30,2026-01-04,Sunday,'18:46:31.949000
500221a4-7a93-4337-a582-ce397614501a,Buslist_date change,application,2026-01-04 18:47:19.072000+05:30,2026-01-04,Sunday,'18:47:19.072000
500221a4-7a93-4337-a582-ce397614501a,_user,application,2026-01-04 18:47:19.480000+05:30,2026-01-04,Sunday,'18:47:19.480000
500221a4-7a93-4337-a582-ce397614501a,pageview_bus_list,application,2026-01-04 18:47:19.492000+05:30,2026-01-04,Sunday,'18:47:19.492000
500221a4-7a93-4337-a582-ce397614501a,_bus-search_user-bus-search,application,2026-01-04 18:47:19.660000+05:30,2026-01-04,Sunday,'18:47:19.660000
500221a4-7a93-4337-a582-ce397614501a,_bus-search_list,application,2026-01-04 18:47:22.494000+05:30,2026-01-04,Sunday,'18:47:22.494000
500221a4-7a93-4337-a582-ce397614501a,_rewards_best-V2,application,2026-01-04 18:47:24.036000+05:30,2026-01-04,Sunday,'18:47:24.036000
500221a4-7a93-4337-a582-ce397614501a,Buslist_date change,application,2026-01-04 18:47:24.049000+05:30,2026-01-04,Sunday,'18:47:24.049000
500221a4-7a93-4337-a582-ce397614501a,bus_search,application,2026-01-04 18:47:24.099000+05:30,2026-01-04,Sunday,'18:47:24.099000
500221a4-7a93-4337-a582-ce397614501a,bus_result,application,2026-01-04 18:47:24.103000+05:30,2026-01-04,Sunday,'18:47:24.103000
500221a4-7a93-4337-a582-ce397614501a,Journey Started,system,2026-01-04 18:47:48.120000+05:30,2026-01-04,Sunday,'18:47:48.120000
500221a4-7a93-4337-a582-ce397614501a,Buslist_bus_selection,application,2026-01-04 18:47:55.861000+05:30,2026-01-04,Sunday,'18:47:55.861000
500221a4-7a93-4337-a582-ce397614501a,bus_detail,application,2026-01-04 18:47:55.872000+05:30,2026-01-04,Sunday,'18:47:55.872000
