user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
520d1221-ce48-4d9a-b039-55ab89764a7e,DeviceInfo,application,2026-01-09 22:46:15.309000+05:30,2026-01-09,Friday,'22:46:15.309000
520d1221-ce48-4d9a-b039-55ab89764a7e,Session Started,system,2026-01-09 22:46:15.902000+05:30,2026-01-09,Friday,'22:46:15.902000
520d1221-ce48-4d9a-b039-55ab89764a7e,App Installed,system,2026-01-09 22:46:15.921000+05:30,2026-01-09,Friday,'22:46:15.921000
520d1221-ce48-4d9a-b039-55ab89764a7e,Journey Started,system,2026-01-09 22:46:16.296000+05:30,2026-01-09,Friday,'22:46:16.296000
520d1221-ce48-4d9a-b039-55ab89764a7e,Push Subscribe Process - Device Registered (Push),system,2026-01-09 22:46:17.159000+05:30,2026-01-09,Friday,'22:46:17.159000
520d1221-ce48-4d9a-b039-55ab89764a7e,app_start,application,2026-01-09 22:46:17.456000+05:30,2026-01-09,Friday,'22:46:17.456000
520d1221-ce48-4d9a-b039-55ab89764a7e,choose_language,application,2026-01-09 22:46:23.032000+05:30,2026-01-09,Friday,'22:46:23.032000
520d1221-ce48-4d9a-b039-55ab89764a7e,Onboarding_Language,application,2026-01-09 22:46:23.041000+05:30,2026-01-09,Friday,'22:46:23.041000
520d1221-ce48-4d9a-b039-55ab89764a7e,generate_otp,application,2026-01-09 22:46:39.337000+05:30,2026-01-09,Friday,'22:46:39.337000
520d1221-ce48-4d9a-b039-55ab89764a7e,Onboarding_get_otp,application,2026-01-09 22:46:39.351000+05:30,2026-01-09,Friday,'22:46:39.351000
520d1221-ce48-4d9a-b039-55ab89764a7e,Journey Ended,system,2026-01-09 22:46:39.862000+05:30,2026-01-09,Friday,'22:46:39.862000
520d1221-ce48-4d9a-b039-55ab89764a7e,Journey Started,system,2026-01-09 22:46:39.862000+05:30,2026-01-09,Friday,'22:46:39.862000
520d1221-ce48-4d9a-b039-55ab89764a7e,_auth_generate-otp,application,2026-01-09 22:46:40.278000+05:30,2026-01-09,Friday,'22:46:40.278000
520d1221-ce48-4d9a-b039-55ab89764a7e,get_otp,application,2026-01-09 22:46:40.291000+05:30,2026-01-09,Friday,'22:46:40.291000
520d1221-ce48-4d9a-b039-55ab89764a7e,Onboarding_signup_,application,2026-01-09 22:46:40.307000+05:30,2026-01-09,Friday,'22:46:40.307000
520d1221-ce48-4d9a-b039-55ab89764a7e,verify_otp,application,2026-01-09 22:46:43.122000+05:30,2026-01-09,Friday,'22:46:43.122000
520d1221-ce48-4d9a-b039-55ab89764a7e,_auth_verify-otp,application,2026-01-09 22:46:43.503000+05:30,2026-01-09,Friday,'22:46:43.503000
520d1221-ce48-4d9a-b039-55ab89764a7e,enter_otp,application,2026-01-09 22:46:43.525000+05:30,2026-01-09,Friday,'22:46:43.525000
520d1221-ce48-4d9a-b039-55ab89764a7e,User Login,system,2026-01-09 22:46:43.546000+05:30,2026-01-09,Friday,'22:46:43.546000
520d1221-ce48-4d9a-b039-55ab89764a7e,login,application,2026-01-09 22:46:44.302000+05:30,2026-01-09,Friday,'22:46:44.302000
520d1221-ce48-4d9a-b039-55ab89764a7e,_user,application,2026-01-09 22:46:44.312000+05:30,2026-01-09,Friday,'22:46:44.312000
